database,schema,table,layer,status,source_family,domain,row_count_live,row_count_error,bytes,column_count,grain,spine_wired,has_entity_grade_key,carries_measured_spine_edge,created,last_altered,data_quality_flags
LIBRARY_RAW,LANDING,FED_BIA_TRIBAL_GEO,landing,active,FED_BIA,,100,,11264,12,"one row = one geospatial feature (e.g. tribal land parcel, boundary polygon, or point of interest)",False,False,False,2026-07-01 13:56:59.035000-07:00,2026-07-12 12:09:06.823000-07:00,
LIBRARY_RAW,LANDING,FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS,landing,active,FED_CMS,,6880,,344576,5,,True,True,False,2026-07-26 12:06:48.334000-07:00,2026-07-26 12:06:51.526000-07:00,
LIBRARY_RAW,LANDING,FED_ED_COLLEGE_SCORECARD_INSTITUTION,landing,active,FED_ED,,6273,,27774464,3311,,False,False,False,2026-08-07 18:56:36.262000-07:00,2026-08-07 18:58:00.492000-07:00,
LIBRARY_RAW,LANDING,FED_COURTLISTENER_JUDGE_RETENTION_EVENTS,landing,active,FED_COURTLISTENER,,0,,0,15,,False,False,False,2026-08-11 17:04:16.162000-07:00,2026-08-11 17:04:17.648000-07:00,
LIBRARY_RAW,LANDING,FED_FRACFOCUS_REGISTRY,landing,active,FED_FRACFOCUS,,7200550,,350304768,34,,False,False,False,2026-08-05 14:36:45.486000-07:00,2026-08-05 14:45:17.179000-07:00,
LIBRARY_RAW,LANDING,FED_FJC_JUDGES,landing,active,FED_FJC,,4067,,1409024,204,one row = one Article III federal judge,False,False,False,2026-06-30 20:47:31.431000-07:00,2026-07-12 12:09:06.705000-07:00,
LIBRARY_RAW,LANDING,FED_IRS_990,landing,active,FED_IRS,,200,,11776,21,one row = one Form 990 filing (one tax-exempt organization for one tax year),True,True,False,2026-07-02 09:39:34.676000-07:00,2026-07-12 12:09:10.894000-07:00,
LIBRARY_RAW,LANDING,FED_IRS_EO_PR,landing,active,FED_IRS,,2587,,201728,31,one row = one exempt organization,True,True,False,2026-07-23 13:03:38.881000-07:00,2026-07-23 13:03:42.652000-07:00,
LIBRARY_RAW,LANDING,FED_ITIS_VERN_REF_LINKS,landing,active,FED_ITIS,,93078,,1205248,8,,False,False,False,2026-08-07 21:48:46.767000-07:00,2026-08-07 21:48:48.717000-07:00,
LIBRARY_RAW,LANDING,FED_SAM_EXCLUSIONS,landing,active,FED_SAM,,10000,,544768,24,one row = one exclusion record (party x program),False,True,False,2026-08-22 17:22:00.178000-07:00,2026-08-22 17:22:01.966000-07:00,
