-- S11 Google geo spend: advertiser id to name as the geo table spells it
ADVERTISER_ID | NM | NAMES
AR13019423089799200769 | GABRIEL FOR COLORADO | 1
AR13765893396595998721 | DIALOGUE COLLABORATIVE INC | 1
AR06250535999735070721 | Oregon AFL-CIO | 1
AR05972248507233337345 | MEEHAN COMMITTEE | 1
AR14997642102433644545 | HURD FOR AMERICA, INC. | 1
AR12353849179217330177 | FRIENDS OF ANN WILLIAMS | 1
AR11989901244056469505 | CLEAN ENERGY FOR AMERICA EDUCATION FUND | 1
AR02616630699632885761 | MIKE COX 2026 | 1
AR07793843677628989441 | Good Rebellion LLC | 1
AR15143435351411916801 | APRIL FOR ASSEMBLY | 1
AR01121871708555313153 | JIM MCLEAN FOR HD 94 | 1
AR07830990385915625473 | Anand Chhatpar | 1
AR05381412946066800641 | PROJECT 50 | 1
AR08431213903777628161 | CASA DE MARYLAND | 1
AR09485767257008111617 | FISCHBACH FOR CONGRESS | 1
AR01473655231182012417 | PROGRESS MICHIGAN EDUCATION | 1
AR03483819531959271425 | BREWBAKER FOR CONGRESS | 1
AR06413601270715645953 | DEMOTTFORCOLORADO | 1
AR11804410024678129665 | VOTEBRIZZI | 1
AR08525940988038873089 | SPANBERGER FOR GOVERNOR | 1
AR00279698578237030401 | CAMPSEN FOR SC SENATE | 1
AR03666776377035587585 | Council For citizens Against Government Waste Political Action Committee (CCAGW PAC) | 1
AR12701886545469112321 | WERNER FOR AZ | 1
AR01261483297003798529 | MAYFORPA | 1
AR03100942026657497089 | Kevin Volk for Arizona | 1
AR11808913624305500161 | FRIENDS OF SESSIONS SENATE COMMITTEE INC | 1
AR07520528760823611393 | NOEM VICTORY FUND | 1
AR10903690099204030465 | TED CRUZ FOR SENATE | 1
AR07655955041081098241 | SELIGMAN FOR AG | 1
AR11122042113364066305 | Giglio for Congress | 1
AR16122517642396303361 | COMMITTEE TO ELECT LEIGH BROWN | 1
AR17201624473254494209 | Stephanie Itkin-Goodman | 1
AR11174896736822886401 | CITIZENS FOR PAUL DAIGLE | 1
AR03905096278270279681 | STITT FOR GOVERNOR 2022 | 1
AR01532145281229914113 | ALLEN4HD11 | 1
AR14846142431056887809 | WORKING FAMILIES IN SUPPORT OF EUNISSES HERNANDEZ FOR CITY COUNCIL | 1
AR16571347188026703873 | Tennesseans for Student Success INC. | 1
AR03212160376586108929 | Spencer Gosch for South Dakota | 1
AR16705619341852278785 | Virginia Senate Democratic Caucus. | 1
AR02783699971055026177 | AMY FOR AMERICA | 1
AR17305981844855980033 | KEEP GEORGIA STRONG ACTION INC | 1
AR08068283257390628865 | CASTELLI FOR CONGRESS | 1
AR10207196040453423105 | ROSENTHAL4SHERIFF | 1
AR02665761955813261313 | CINDY AXNE FOR CONGRESS | 1
AR07011370214767984641 | Scott Schwab for Secretary of State | 1
AR09638160943007399937 | Santa Clara County United Democratic Campaign | 1
AR07107155613330702337 | STEVE CHABOT FOR CONGRESS | 1
AR07208821663935234049 | Don Coover for Congress | 1
AR13149999157978595329 | Senate Majority PAC | 1
AR09331933829251727361 | COMMITTEE TO ELECT STAN VANDERWERF COUNTY COMMISSIONER | 1
AR11605420616441659393 | EVA 4 SENATE | 1
AR01247972498121687041 | OUR.NEWS HOLDINGS INC. | 1
AR15067092840301461505 | JOE DALIA COMMITTEE TO ELECT | 1
AR09019111784623112193 | Bakari Kafele | 1
AR15911257478235422721 | American Free Enterprise Chamber of Commerce | 1
AR05225006918799458305 | Friends of Jaime Arroyo | 1
AR15565967499483676673 | ROGERS FOR SENATE | 1
AR08942875213175980033 | LEE 2020 - A PROGRESSIVE DEMOCRAT FOR CITY COUNCIL; STEVEN | 1
AR08758284098683797505 | The Venetoulis Institute for Local Journalism | 1
AR03057044076458147841 | AMERICAN INNOVATORS NETWORK % JILL BARCLAY | 1
(16102 rows; csv has all)
