-- S16 Every ad those official-office accounts ran: dates, spend range, impressions, where it was aimed
ADVERTISER_ID | AD_ID | AD_TYPE | DATE_RANGE_START | DATE_RANGE_END | NUM_OF_DAYS | IMPRESSIONS | SPEND_RANGE_MIN_USD | SPEND_RANGE_MAX_USD | GEO_TARGETING_INCLUDED | GEO_TARGETING_EXCLUDED | AD_URL
AR11143245336112267265 | CR00504351446859251713 | IMAGE | 2024-08-10 | 2024-09-05 | 26 | 0-1000 | 0 | 100 | WA-3 (2022 redistricting),Washington,United States | Oregon,United States, Vancouver,Washington,United States | https://adstransparency.google.com/advertiser/AR11143245336112267265/creative/CR00504351446859251713?political=&region=US
AR15487617555018809345 | CR18297293488280043521 | VIDEO | 2025-12-02 | 2026-01-03 | 32 | 1000000-1250000 | 2500 | 3000 | NY-4 (2024 redistricting),New York,United States | Brooklyn,New York,United States, NY-1 (2024 redistricting),New York,United States, NY-2 (2024 redistricting),New York,United States, NY-3 (2024 redistricting),New York,United States, NY-5 (2024 redistricting),New York,United States, Queens,New York,United States | https://adstransparency.google.com/advertiser/AR15487617555018809345/creative/CR18297293488280043521?political=&region=US
AR13578828277862105089 | CR00889830912068419585 | TEXT | 2021-05-16 | 2021-12-30 | 225 | 1000000-1250000 | 1500 | 2000 | OK-5 (2012 redistricting),Oklahoma,United States |  | https://adstransparency.google.com/advertiser/AR13578828277862105089/creative/CR00889830912068419585?political=&region=US
AR11776064889791971329 | CR09509859446558294017 | IMAGE | 2023-10-15 | 2023-10-28 | 12 | 3000-4000 | 0 | 100 | UT-1 (2022 redistricting),Utah,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR09509859446558294017?political=&region=US
AR11776064889791971329 | CR12383633471745032193 | TEXT | 2023-07-14 | 2023-07-27 | 14 | 0-1000 | 0 | 100 | CO-7 (2022 redistricting),Colorado,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR12383633471745032193?political=&region=US
AR03283599529693151233 | CR00699923813474762753 | IMAGE | 2021-02-25 | 2022-01-02 | 313 | 1250000-1500000 | 3000 | 3500 | Citrus County,Florida,United States, Hernando County,Florida,United States, Lake County,Florida,United States, Marion County,Florida,United States, Sumter County,Florida,United States |  | https://adstransparency.google.com/advertiser/AR03283599529693151233/creative/CR00699923813474762753?political=&region=US
AR02657599181488652289 | CR12118857156082532353 | IMAGE | 2019-11-16 | 2019-11-25 | 11 | 60000-70000 | 100 | 200 | CA-21 (2012 redistricting),California,United States |  | https://adstransparency.google.com/advertiser/AR02657599181488652289/creative/CR12118857156082532353?political=&region=US
AR11776064889791971329 | CR04798057809180622849 | IMAGE | 2023-10-29 | 2023-12-05 | 37 | 25000-30000 | 0 | 100 | North Carolina's 14th Congressional District 2022 redistricting,North Carolina,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR04798057809180622849?political=&region=US
AR11776064889791971329 | CR05370163361566687233 | TEXT | 2020-03-06 | 2020-03-29 | 9 | 0-1000 | 0 | 100 | San Joaquin County,California,United States, Stanislaus County,California,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR05370163361566687233?political=&region=US
AR11776064889791971329 | CR16708526295977295873 | VIDEO | 2024-12-22 | 2025-01-02 | 11 | 100000-125000 | 700 | 800 | FL-9 (2022 redistricting),Florida,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR16708526295977295873?political=&region=US
AR11776064889791971329 | CR04781915715764486145 | VIDEO | 2026-01-09 | 2026-02-01 | 23 | 15000-20000 | 100 | 200 | SC-1 (2022 redistricting),South Carolina,United States | Alabama,United States, Alaska,United States, Arizona,United States, Arkansas,United States, California,United States, Colorado,United States, Connecticut,United States, Delaware,United States, Florida,United States, Georgia,United States, Hawaii,United States, Idaho,United States, Illinois,United States, Indiana,United States, Iowa,United States, Kansas,United States, Kentucky,United States, Louisiana,United States, Maine,United States, Maryland,United States, Massachusetts,United States, Michigan,United States, Minnesota,United States, Mississippi,United States, Missouri,United States, Montana,United States, Nebraska,United States, Nevada,United States, New Hampshire,United States, New Jersey,United States, New Mexico,United States, New York,United States, North Carolina,United States, North Dakota,United States, Ohio,United States, Oklahoma,United States, Oregon,United States, Pennsylvania,United States, Rhode Island,United States, South Dakota,United States, Tennessee,United States, Texas,United States, Utah,United States, Vermont,United States, Virginia,United States, Washington,District of Columbia,United States, Washington,United States, West Virginia,United States, Wisconsin,United States, Wyoming,United States | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR04781915715764486145?political=&region=US
AR00315727375255994369 | CR10095269914274168833 | TEXT | 2020-04-17 | 2020-05-05 | 19 | 80000-90000 | 1500 | 2000 | KS-3 (2012 redistricting),Kansas,United States |  | https://adstransparency.google.com/advertiser/AR00315727375255994369/creative/CR10095269914274168833?political=&region=US
AR11776064889791971329 | CR04438678413552648193 | TEXT | 2020-03-04 | 2020-04-20 | 31 | 5000-6000 | 0 | 100 | San Joaquin County,California,United States, Stanislaus County,California,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR04438678413552648193?political=&region=US
AR01252476097749057537 | CR15896979357676077057 | TEXT | 2020-02-25 | 2020-02-25 | 1 | 0-1000 | 0 | 100 | Alexandria,Virginia,United States, Cheverly,Maryland,United States, Chillum,Maryland,United States, Hillcrest Heights,Maryland,United States, Hyattsville,Maryland,United States, NJ-1 (2012 redistricting),New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR15896979357676077057?political=&region=US
AR10507373331995426817 | CR01699453138085347329 | TEXT | 2020-06-20 | 2020-07-06 | 17 | 4000-5000 | 500 | 600 | CA-46 (2012 redistricting),California,United States |  | https://adstransparency.google.com/advertiser/AR10507373331995426817/creative/CR01699453138085347329?political=&region=US
AR01252476097749057537 | CR09838775841746583553 | TEXT | 2020-02-22 | 2020-03-01 | 6 | 0-1000 | 0 | 100 | Barrington,New Jersey,United States, Cherry Hill Township,New Jersey,United States, Haddon Heights,New Jersey,United States, Haddonfield,New Jersey,United States, NJ-1 (2012 redistricting),New Jersey,United States, Voorhees Township,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR09838775841746583553?political=&region=US
AR11776064889791971329 | CR13997557842278612993 | TEXT | 2026-07-31 | 2026-07-31 | 1 | 0-1000 | 0 | 100 | CO-7 (2022 redistricting),Colorado,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR13997557842278612993?political=&region=US
AR11776064889791971329 | CR01608665329108516865 | VIDEO | 2024-03-11 | 2024-04-03 | 24 | 20000-25000 | 200 | 300 | KS-2 (2022 redistricting),Kansas,United States | Shawnee County,Kansas,United States, Wyandotte County,Kansas,United States | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR01608665329108516865?political=&region=US
AR11333783863617912833 | CR12793608406753607681 | TEXT | 2022-08-30 | 2022-09-05 | 3 | 0-1000 | 0 | 100 | North Dakota,United States |  | https://adstransparency.google.com/advertiser/AR11333783863617912833/creative/CR12793608406753607681?political=&region=US
AR01252476097749057537 | CR16251215615866437633 | TEXT | 2019-11-26 | 2020-01-01 | 13 | 0-1000 | 0 | 100 | Camden County,New Jersey,United States, Deptford,New Jersey,United States, Glassboro,New Jersey,United States, Greenwich Township,Gloucester County,New Jersey,United States, Logan Township,New Jersey,United States, Maple Shade,New Jersey,United States, Monroe,New Jersey,United States, National Park,New Jersey,United States, Palmyra,New Jersey,United States, Paulsboro,New Jersey,United States, Washington Township,New Jersey,United States, West Deptford,New Jersey,United States, Westville,New Jersey,United States, Woodbury Heights,New Jersey,United States, Woodbury,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR16251215615866437633?political=&region=US
AR11776064889791971329 | CR06639860543005917185 | VIDEO | 2025-12-15 | 2025-12-29 | 14 | 450000-500000 | 5000 | 6000 | MI-7 (2022 redistricting),Michigan,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR06639860543005917185?political=&region=US
AR11776064889791971329 | CR17171546362014072833 | TEXT | 2023-05-03 | 2023-09-24 | 43 | 0-1000 | 0 | 100 | Florida's 28th Congressional District 2022 redistricting,Florida,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR17171546362014072833?political=&region=US
AR03792506287586017281 | CR17285196350626988033 | TEXT | 2019-12-06 | 2020-01-01 | 26 | 0-1000 | 0 | 100 | WI-6 (2012 redistricting),Wisconsin,United States |  | https://adstransparency.google.com/advertiser/AR03792506287586017281/creative/CR17285196350626988033?political=&region=US
AR11776064889791971329 | CR06250750438862225409 | IMAGE | 2023-12-10 | 2023-12-11 | 2 | 0-1000 | 0 | 100 | CA-49 (2022 redistricting),California,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR06250750438862225409?political=&region=US
AR11776064889791971329 | CR03671063046454771713 | VIDEO | 2025-02-12 | 2025-04-01 | 49 | 800000-900000 | 4000 | 4500 | IL-2 (2022 redistricting),Illinois,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR03671063046454771713?political=&region=US
AR03283599529693151233 | CR16034753249877688321 | TEXT | 2022-01-15 | 2022-05-16 | 1 | 0-1000 | 0 | 100 | FL-11 (2012 redistricting),Florida,United States |  | https://adstransparency.google.com/advertiser/AR03283599529693151233/creative/CR16034753249877688321?political=&region=US
AR03283599529693151233 | CR06438056608340639745 | TEXT | 2022-04-13 | 2022-05-08 | 17 | 0-1000 | 0 | 100 | 32159,Florida,United States, 32162,Florida,United States, 34491,Florida,United States, Belleview,Florida,United States, Bushnell,Florida,United States, FL-11 (2012 redistricting),Florida,United States, Fruitland Park,Florida,United States, Leesburg,Florida,United States, Okahumpka,Florida,United States, Wildwood,Florida,United States |  | https://adstransparency.google.com/advertiser/AR03283599529693151233/creative/CR06438056608340639745?political=&region=US
AR01252476097749057537 | CR00368432052816576513 | TEXT | 2021-05-06 | 2021-05-10 | 4 | 0-1000 | 0 | 100 | Barrington,New Jersey,United States, Cherry Hill Township,New Jersey,United States, Haddon Heights,New Jersey,United States, Haddonfield,New Jersey,United States, NJ-1 (2012 redistricting),New Jersey,United States, Voorhees Township,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR00368432052816576513?political=&region=US
AR12331331181080477697 | CR06954438533473894401 | TEXT | 2021-01-10 | 2021-01-14 | 5 | 0-1000 | 0 | 100 | 46106,Indiana,United States, 46111,Indiana,United States, 46113,Indiana,United States, 46124,Indiana,United States, 46131,Indiana,United States, 46142,Indiana,United States, 46143,Indiana,United States, 46151,Indiana,United States, 46158,Indiana,United States, 46160,Indiana,United States, 46162,Indiana,United States, 46164,Indiana,United States, 46166,Indiana,United States, 46181,Indiana,United States, 46184,Indiana,United States, 46259,Indiana,United States, 47102,Indiana,United States, 47104,Indiana,United States, 47106,Indiana,United States, 47108,Indiana,United States, 47110,Indiana,United States, 47112,Indiana,United States, 47114,Indiana,United States, 47115,Indiana,United States, 47116,Indiana,United States, 47117,Indiana,United States, 47118,Indiana,United States, 47120,Indiana,United States, 47122,Indiana,United States, 47123,Indiana,United States, 47124,Indiana,United States, 47125,Indiana,United States, 47126,Indiana,United States, 47129,Indiana,United States, 47130,Indiana,United States, 47135,Indiana,United States, 47136,Indiana,United States, 47140,Indiana,United States, 47141,Indiana,United States, 47142,Indiana,United States, 47145,Indiana,United States, 47147,Indiana,United States, 47150,Indiana,United States, 47160,Indiana,United States, 47161,Indiana,United States, 47162,Indiana,United States, 47163,Indiana,United States, 47164,Indiana,United States, 47165,Indiana,United States, 47170,Indiana,United States, 47172,Indiana,United States, 47175,Indiana,United States, 47177,Indiana,United States, 47201,Indiana,United States, 47220,Indiana,United States, 47235,Indiana,United States, 47260,Indiana,United States, 47264,Indiana,United States, 47274,Indiana,United States, 47281,Indiana,United States, 47401,Indiana,United States, 47403,Indiana,United States, 47404,Indiana,United States, 47405,Indiana,United States, 47406,Indiana,United States, 47408,Indiana,United States, 47420,Indiana,United States, 47421,Indiana,United States, 47429,Indiana,United States, 47432,Indiana,United States, 47433,Indiana,United States, 47436,Indiana,United States, 47446,Indiana,United States, 47448,Indiana,United States, 47451,Indiana,United States, 47452,Indiana,United States, 47454,Indiana,United States, 47460,Indiana,United States, 47462,Indiana,United States, 47468,Indiana,United States, 47469,Indiana,United States, 47470,Indiana,United States, 47527,Indiana,United States | Alabama,United States, Alaska,United States, Arizona,United States, Arkansas,United States, California,United States, Colorado,United States, Connecticut,United States, Delaware,United States, Florida,United States, Georgia,United States, Hawaii,United States, Idaho,United States, Illinois,United States, Iowa,United States, Kansas,United States, Kentucky,United States, Louisiana,United States, Maine,United States, Maryland,United States, Massachusetts,United States, Michigan,United States, Minnesota,United States, Mississippi,United States, Missouri,United States, Montana,United States, Nebraska,United States, Nevada,United States, New Hampshire,United States, New Jersey,United States, New Mexico,United States, New York,United States, North Carolina,United States, North Dakota,United States, Ohio,United States, Oklahoma,United States, Oregon,United States, Pennsylvania,United States, Rhode Island,United States, South Carolina,United States, South Dakota,United States, Tennessee,United States, Texas,United States, Utah,United States, Vermont,United States, Virginia,United States, Washington,United States, West Virginia,United States, Wisconsin,United States, Wyoming,United States | https://adstransparency.google.com/advertiser/AR12331331181080477697/creative/CR06954438533473894401?political=&region=US
AR12331331181080477697 | CR10237274040024694785 | TEXT | 2020-01-06 | 2020-02-05 | 30 | 15000-20000 | 500 | 600 | IN-9 (2012 redistricting),Indiana,United States |  | https://adstransparency.google.com/advertiser/AR12331331181080477697/creative/CR10237274040024694785?political=&region=US
AR11776064889791971329 | CR07543709592673320961 | TEXT | 2024-02-06 | 2024-02-06 | 2 | 0-1000 | 0 | 100 | UT-1 (2022 redistricting),Utah,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR07543709592673320961?political=&region=US
AR01252476097749057537 | CR12822548033833009153 | IMAGE | 2021-07-27 | 2021-11-28 | 47 | 0-1000 | 0 | 100 | Barrington,New Jersey,United States, Cherry Hill Township,New Jersey,United States, Haddon Heights,New Jersey,United States, Haddonfield,New Jersey,United States, NJ-1 (2012 redistricting),New Jersey,United States, Voorhees Township,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR12822548033833009153?political=&region=US
AR11776064889791971329 | CR09897829958439403521 | IMAGE | 2024-02-09 | 2024-02-12 | 3 | 0-1000 | 0 | 100 | UT-1 (2022 redistricting),Utah,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR09897829958439403521?political=&region=US
AR11776064889791971329 | CR08430041034108436481 | IMAGE | 2023-11-30 | 2024-01-19 | 51 | 700000-800000 | 300 | 400 | KS-2 (2022 redistricting),Kansas,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR08430041034108436481?political=&region=US
AR11776064889791971329 | CR01096116507668119553 | TEXT | 2023-10-30 | 2023-10-30 | 1 | 0-1000 | 0 | 100 | TX-35 (2022 redistricting),Texas,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR01096116507668119553?political=&region=US
AR11776064889791971329 | CR09163810401056456705 | VIDEO | 2026-01-05 | 2026-01-05 | 1 | 50000-60000 | 400 | 500 | United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR09163810401056456705?political=&region=US
AR11776064889791971329 | CR08966924693571371009 | TEXT | 2020-03-05 | 2020-07-31 | 100 | 25000-30000 | 100 | 200 | San Joaquin County,California,United States, Stanislaus County,California,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR08966924693571371009?political=&region=US
AR10259675352490049537 | CR05929609446308184065 | TEXT | 2019-06-29 | 2019-09-30 | 84 | 0-1000 | 0 | 100 | OH-16 (2012 redistricting),Ohio,United States |  | https://adstransparency.google.com/advertiser/AR10259675352490049537/creative/CR05929609446308184065?political=&region=US
AR01252476097749057537 | CR10360823962614628353 | TEXT | 2021-04-01 | 2022-02-12 | 19 | 0-1000 | 0 | 100 | Barrington,New Jersey,United States, Cherry Hill Township,New Jersey,United States, Haddon Heights,New Jersey,United States, Haddonfield,New Jersey,United States, NJ-1 (2012 redistricting),New Jersey,United States, Voorhees Township,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR10360823962614628353?political=&region=US
AR11776064889791971329 | CR17552697393542070273 | TEXT | 2023-09-20 | 2023-09-23 | 3 | 0-1000 | 0 | 100 | CO-7 (2022 redistricting),Colorado,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR17552697393542070273?political=&region=US
AR08066422333960617985 | CR06771268211343097857 | VIDEO | 2022-09-06 | 2022-09-09 | 3 | 60000-70000 | 300 | 400 | NV-4 (2022 redistricting),Nevada,United States | 89011,Nevada,United States, 89101,Nevada,United States, 89102,Nevada,United States, 89104,Nevada,United States, 89106,Nevada,United States, 89107,Nevada,United States, 89108,Nevada,United States, 89109,Nevada,United States, 89146,Nevada,United States | https://adstransparency.google.com/advertiser/AR08066422333960617985/creative/CR06771268211343097857?political=&region=US
AR00315727375255994369 | CR03816126133812854785 | TEXT | 2020-04-17 | 2020-05-05 | 19 | 9000-10000 | 100 | 200 | KS-3 (2012 redistricting),Kansas,United States |  | https://adstransparency.google.com/advertiser/AR00315727375255994369/creative/CR03816126133812854785?political=&region=US
AR01252476097749057537 | CR08536602230738911233 | TEXT | 2020-02-25 | 2020-02-25 | 1 | 0-1000 | 0 | 100 | Camden County,New Jersey,United States, Deptford,New Jersey,United States, Glassboro,New Jersey,United States, Greenwich Township,Gloucester County,New Jersey,United States, Logan Township,New Jersey,United States, Maple Shade,New Jersey,United States, Monroe,New Jersey,United States, National Park,New Jersey,United States, Palmyra,New Jersey,United States, Paulsboro,New Jersey,United States, Washington Township,New Jersey,United States, West Deptford,New Jersey,United States, Westville,New Jersey,United States, Woodbury Heights,New Jersey,United States, Woodbury,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR08536602230738911233?political=&region=US
AR10259675352490049537 | CR08276864461470433281 | TEXT | 2019-06-29 | 2019-09-30 | 61 | 0-1000 | 0 | 100 | OH-16 (2012 redistricting),Ohio,United States |  | https://adstransparency.google.com/advertiser/AR10259675352490049537/creative/CR08276864461470433281?political=&region=US
AR11011776490260922369 | CR03075646696508620801 | TEXT | 2019-09-17 | 2019-11-07 | 52 | 1000-2000 | 100 | 200 | NY-1 (2012 redistricting),New York,United States |  | https://adstransparency.google.com/advertiser/AR11011776490260922369/creative/CR03075646696508620801?political=&region=US
AR01252476097749057537 | CR08827410411901943809 | TEXT | 2021-04-13 | 2021-04-13 | 1 | 0-1000 | 0 | 100 | Barrington,New Jersey,United States, Cherry Hill Township,New Jersey,United States, Haddon Heights,New Jersey,United States, Haddonfield,New Jersey,United States, NJ-1 (2012 redistricting),New Jersey,United States, Voorhees Township,New Jersey,United States |  | https://adstransparency.google.com/advertiser/AR01252476097749057537/creative/CR08827410411901943809?political=&region=US
AR11776064889791971329 | CR13578097686745186305 | IMAGE | 2024-02-10 | 2024-02-12 | 2 | 0-1000 | 0 | 100 | UT-1 (2022 redistricting),Utah,United States |  | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR13578097686745186305?political=&region=US
AR11776064889791971329 | CR00310374892522438657 | VIDEO | 2026-06-10 | 2026-07-25 | 45 | 200000-225000 | 1500 | 2000 | NV-3 (2022 redistricting),Nevada,United States | Arizona,United States, California,United States, NV-1 (2022 redistricting),Nevada,United States, NV-4 (2022 redistricting),Nevada,United States, Utah,United States | https://adstransparency.google.com/advertiser/AR11776064889791971329/creative/CR00310374892522438657?political=&region=US
AR03076433946834108417 | CR08185908289775599617 | VIDEO | 2024-05-22 | 2024-09-01 | 103 | 100000-125000 | 1000 | 1500 | Zapata County,Texas,United States |  | https://adstransparency.google.com/advertiser/AR03076433946834108417/creative/CR08185908289775599617?political=&region=US
AR00315727375255994369 | CR11532287631312289793 | TEXT | 2020-07-13 | 2020-08-05 | 23 | 9000-10000 | 0 | 100 | KS-3 (2012 redistricting),Kansas,United States |  | https://adstransparency.google.com/advertiser/AR00315727375255994369/creative/CR11532287631312289793?political=&region=US
(4988 rows; csv has all)
