source,target,join_key,overlap_rate,tier,join_class
CA_LOBBY_CHG_LOG,FED_EPA_FRS_FRS_PROGRAM_LINKS,NAME@ZIP,5.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_FRS_FULL,NAME@ZIP,5.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_RCRA_FACILITIES,NAME@ZIP,4.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_FAC_SINGLE_AUDIT,NAME@ZIP,3.4,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_IRS_BMF,NAME@ZIP,2.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_IRS_EO_BMF,NAME@ZIP,2.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_SEC_13F_FILERS,NAME@ZIP,1.8,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,IRS527_RELATED_ENTITIES,NAME@ZIP,1.5,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_USASPENDING_CONTRACTS,NAME@ZIP,1.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_300A_SUMMARY_2024,NAME@ZIP,1.0,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_FEC_INDIV_CONTRIBUTIONS,NAME@ZIP,0.9,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_300A_SUMMARY_2023,NAME@ZIP,0.9,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_300A_SUMMARY_2025,NAME@ZIP,0.9,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_NPDES_ICIS_FACILITIES,NAME@ZIP,0.8,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_USCG_NRC_INCIDENTS,NAME@ZIP,0.7,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,NAME@ZIP,0.6,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_ICIS_FEC_CASE_FACILITIES,NAME@ZIP,0.6,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_DOL_OFCCP_CSAL,NAME@ZIP,0.5,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EIA860_1_UTILITY,NAME@ZIP,0.5,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,NAME@ZIP,0.5,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_IRS_AUTO_REVOCATIONS,NAME@ZIP,0.4,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_IRS_REVOCATION,NAME@ZIP,0.4,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_CASE_DETAIL_2024,NAME@ZIP,0.4,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,IRS527_DIRECTORS_OFFICERS,NAME@ZIP,0.4,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,NAME@ZIP,0.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,NAME@ZIP,0.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_CMS_MEDICARE_PROVIDER,NAME@ZIP,0.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,NAME@ZIP,0.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_FAA_AIRCRAFT_REGISTRY,NAME@ZIP,0.3,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_TRI_FACILITY,NAME@ZIP,0.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_FEC_COMMITTEE_TO_CANDIDATE,NAME@ZIP,0.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_CASE_DETAIL_2023,NAME@ZIP,0.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_OSHA_ITA_CASE_DETAIL_2025,NAME@ZIP,0.2,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_CMS_HOSPITAL_GENERAL,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_CMS_POS_OTHER,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_DEA_ARCOS_FULL,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_GHGRP_FACILITY,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_EPA_TRI_BASIC_2023,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_HRSA_HPSA_PRIMARY_CARE,NAME@ZIP,0.1,CORROBORATED,name-match
CA_LOBBY_CHG_LOG,FED_HRSA_SHORTAGE_AREAS,NAME@ZIP,0.1,CORROBORATED,name-match
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_FRS_FRS_SIC_CODES,FRS_ID,100.0,STEEL,identity
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FRS_ID,100.0,STEEL,identity
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,100.0,STEEL,identity
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_NPDES_NPDES_INSPECTIONS,FRS_ID,100.0,STEEL,identity
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_TRI_BASIC_2023,FRS_ID,99.4,STEEL,identity
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_ICIS_FEC_CASE_FACILITIES,FRS_ID,99.1,STEEL,identity
