db,schema,table,type,name_zone,row_count_meta,row_count_live,count_error,round_cap_flag,known_traps,bytes,entity_key_count,place_key_count,spine_wired,created,last_altered
LIBRARY_MARTS,CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,BASE TABLE,unlabeled,1,1,,False,,1536,0,1,False,2026-07-30 12:08:10.644000-07:00,2026-07-30 12:08:11.972000-07:00
LIBRARY_MARTS,CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,BASE TABLE,unlabeled,17168287,17168287,,False,,1172483584,0,1,False,2026-08-26 07:42:44.763000-07:00,2026-08-26 07:55:55.335000-07:00
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_CPSC_NEISS,BASE TABLE,unlabeled,9794971,9794971,,False,,199881728,0,0,False,2026-08-26 07:37:16.630000-07:00,2026-08-26 07:38:04.344000-07:00
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,BASE TABLE,unlabeled,2227941,2227941,,False,,342511104,0,0,False,2026-08-26 07:42:49.054000-07:00,2026-08-26 07:55:07.833000-07:00
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,BASE TABLE,unlabeled,154209,154209,,False,,9498624,0,0,False,2026-08-26 07:42:47.625000-07:00,2026-08-26 07:53:54.085000-07:00
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_RECALLS,BASE TABLE,unlabeled,241861,241861,,False,,22865920,0,0,False,2026-08-26 07:42:26.694000-07:00,2026-08-26 07:47:17.099000-07:00
LIBRARY_MARTS,CORE,DIM_COUNTY,BASE TABLE,unlabeled,3222,3222,,False,,96768,0,4,False,2026-06-14 13:04:39.346000-07:00,2026-07-12 12:08:41.251000-07:00
LIBRARY_MARTS,CORE,DIM_DATE,BASE TABLE,unlabeled,31411,31411,,False,,256512,0,0,False,2026-06-12 13:08:41.850000-07:00,2026-07-12 12:08:48.768000-07:00
LIBRARY_MARTS,CORE,DIM_STATE,BASE TABLE,unlabeled,56,56,,False,,2048,0,1,False,2026-06-14 13:04:38.446000-07:00,2026-07-12 12:08:43.372000-07:00
LIBRARY_MARTS,CORE,DIM_TRACT,BASE TABLE,unlabeled,85391,85391,,False,,2160640,0,5,False,2026-06-14 13:05:53.829000-07:00,2026-07-12 12:08:47.253000-07:00
LIBRARY_MARTS,CORE,DIM_ZIP_POINT,BASE TABLE,unlabeled,33486,33486,,False,,726016,0,5,False,2026-08-22 11:24:48.180000-07:00,2026-08-22 11:24:49.344000-07:00
LIBRARY_MARTS,CORE,XWALK_ZCTA_COUNTY,BASE TABLE,unlabeled,46960,46960,,False,,359424,0,3,False,2026-06-14 13:05:12.799000-07:00,2026-07-12 12:08:41.403000-07:00
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,BASE TABLE,unlabeled,402246,402246,,False,,17357824,0,1,False,2026-08-20 09:30:46.179000-07:00,2026-08-20 09:30:49.241000-07:00
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,BASE TABLE,unlabeled,814344,814344,,False,,22213632,0,1,False,2026-08-26 07:43:00.542000-07:00,2026-08-26 07:55:21.799000-07:00
