db,schema,status,tables,rows_live,bytes
LIBRARY_MARTS,CIVIL_RIGHTS,active,1,1,1536
LIBRARY_MARTS,CONSUMER_PROTECTION,active,1,17168287,1172483584
LIBRARY_MARTS,CONSUMER_SAFETY,active,4,12418982,574757376
LIBRARY_MARTS,CORE,active,6,200526,3601408
LIBRARY_MARTS,CORPORATE_REGISTRY,active,11,29701579,1885889024
LIBRARY_MARTS,CRIMINAL_JUSTICE,active,1,1000,43008
LIBRARY_MARTS,DBT_CROGERS,active,1,1,1536
LIBRARY_MARTS,ECONOMICS,active,47,43138583,2438269952
LIBRARY_MARTS,EDUCATION,active,17,4264769,297107456
LIBRARY_MARTS,ENERGY,active,29,480459,12579840
LIBRARY_MARTS,ENVIRONMENT,active,75,107728307,3130611200
LIBRARY_MARTS,EPSTEIN,active,3,204263,18885120
LIBRARY_MARTS,FINANCE,active,58,203344352,5373807616
LIBRARY_MARTS,FINDINGS,active,13,0,0
LIBRARY_MARTS,FOREIGN_INFLUENCE,active,1,48103,4964864
LIBRARY_MARTS,GOVERNANCE,active,1,406,119808
LIBRARY_MARTS,GOVERNMENT_RECORDS,active,2,101,7168
LIBRARY_MARTS,HEALTH,active,100,363187009,11386534912
LIBRARY_MARTS,HISTORICAL_RECORDS,active,1,11521,1477120
LIBRARY_MARTS,HISTORY,active,5,36387,5922304
LIBRARY_MARTS,HOUSING,active,18,45849880,2501352448
LIBRARY_MARTS,IMMIGRATION,active,15,19945292,974853632
LIBRARY_MARTS,INVESTIGATIONS,active,3,27589,749056
LIBRARY_MARTS,JUDICIARY,active,1,25,28672
LIBRARY_MARTS,JUSTICE,active,66,57850965,7641294848
LIBRARY_MARTS,LABOR,active,12,7203649,602049536
LIBRARY_MARTS,LAND_AND_TERRITORY,active,1,335,6140928
LIBRARY_MARTS,LEGAL_ENFORCEMENT,active,1,882,352768
LIBRARY_MARTS,MARITIME,active,1,58104610,2477426176
LIBRARY_MARTS,MONEY_FINANCE,active,1,938,83968
LIBRARY_MARTS,OPEN_DATA,active,12,1688844,129778688
LIBRARY_MARTS,POLITICS,active,79,21033328,940826112
LIBRARY_MARTS,PROCUREMENT,active,5,355977,70092288
LIBRARY_MARTS,PUBLIC,active,14,228956,3727872
LIBRARY_MARTS,REFERENCE,active,35,8439322,409915392
LIBRARY_MARTS,REGULATORY,active,1,94731,50900480
LIBRARY_MARTS,REVIEW,junk_schema,3,18499,25921536
LIBRARY_MARTS,SCIENCE,active,5,444100,31349760
LIBRARY_MARTS,SCIENCE_RESEARCH,active,6,2485535,3388082688
LIBRARY_MARTS,TIMELINE,active,435,2331990,18484736
LIBRARY_MARTS,TRANSPORT,active,12,2192741,168703488
LIBRARY_MARTS,UNCATEGORIZED,junk_schema,26,112209042,2074577920
LIBRARY_MARTS,_RESTORE_20260701,backup_schema,12,22,25088
LIBRARY_MARTS,_RESTORE_20260731,backup_schema,28,240686463,9177323520
LIBRARY_MARTS_PREDBT_20260729,CONSUMER_SAFETY,legacy_backup,4,12317776,571273216
LIBRARY_MARTS_PREDBT_20260729,CORE,legacy_backup,5,167040,2875392
LIBRARY_MARTS_PREDBT_20260729,CORPORATE_REGISTRY,legacy_backup,1,5734780,243533312
LIBRARY_MARTS_PREDBT_20260729,CRIMINAL_JUSTICE,legacy_backup,1,1000,46592
LIBRARY_MARTS_PREDBT_20260729,DBT_CROGERS,legacy_backup,44,94017952,5605295104
LIBRARY_MARTS_PREDBT_20260729,ECONOMICS,legacy_backup,23,43715627,5486098944
LIBRARY_MARTS_PREDBT_20260729,EDUCATION,legacy_backup,1,33,3584
LIBRARY_MARTS_PREDBT_20260729,ENVIRONMENT,legacy_backup,12,17346514,728813568
LIBRARY_MARTS_PREDBT_20260729,EPSTEIN,legacy_backup,3,204263,18885120
LIBRARY_MARTS_PREDBT_20260729,FINANCE,legacy_backup,30,119006941,4641717248
LIBRARY_MARTS_PREDBT_20260729,FINDINGS,legacy_backup,13,0,0
LIBRARY_MARTS_PREDBT_20260729,HEALTH,legacy_backup,33,251211813,6316219392
LIBRARY_MARTS_PREDBT_20260729,HISTORICAL_RECORDS,legacy_backup,1,11521,1534464
LIBRARY_MARTS_PREDBT_20260729,HISTORY,legacy_backup,5,36323,5923328
LIBRARY_MARTS_PREDBT_20260729,HOUSING,legacy_backup,4,19267431,38715904
LIBRARY_MARTS_PREDBT_20260729,IMMIGRATION,legacy_backup,8,13357484,556811264
LIBRARY_MARTS_PREDBT_20260729,INVESTIGATIONS,legacy_backup,3,27592,713728
LIBRARY_MARTS_PREDBT_20260729,JUSTICE,legacy_backup,26,4175925,305203200
LIBRARY_MARTS_PREDBT_20260729,LABOR,legacy_backup,3,3452744,126672896
LIBRARY_MARTS_PREDBT_20260729,LEGAL_ENFORCEMENT,legacy_backup,1,882,352768
LIBRARY_MARTS_PREDBT_20260729,OPEN_DATA,legacy_backup,6,1543694,33480704
LIBRARY_MARTS_PREDBT_20260729,POLITICS,legacy_backup,48,6517544,143121408
LIBRARY_MARTS_PREDBT_20260729,PROCUREMENT,legacy_backup,2,2981,151552
LIBRARY_MARTS_PREDBT_20260729,PUBLIC,legacy_backup,14,228956,3727872
LIBRARY_MARTS_PREDBT_20260729,REFERENCE,legacy_backup,8,28411,556544
LIBRARY_MARTS_PREDBT_20260729,SCIENCE,legacy_backup,5,444110,31406080
LIBRARY_MARTS_PREDBT_20260729,TRANSPORT,legacy_backup,7,2939586,519916032
LIBRARY_MARTS_PREDBT_20260729,UNCATEGORIZED,junk_schema,8,298589945,9009159680
LIBRARY_MARTS_PREDBT_20260729,_RESTORE_20260701,backup_schema,12,22,25088
LIBRARY_META,AUDIT,active,5,9051,495104
LIBRARY_META,BUILD,active,5,60,21504
LIBRARY_META,CONNECT,active,30,980276972,11341492224
LIBRARY_META,CONNECT_BAK_20260730,backup_schema,29,272607989,3788962816
LIBRARY_META,CONNECT_PRESPINE_20260730,backup_schema,29,272607989,3788962816
LIBRARY_META,INGEST_LOGS,active,2,2774,457728
LIBRARY_META,REGISTRY,active,31,363670,46672896
LIBRARY_META,REVIEW,junk_schema,5,2,1536
LIBRARY_RAW,LANDING,active,2208,1283502737,78884936704
LIBRARY_RAW,PUBLIC,active,2,0,0
LIBRARY_RAW,RETIRED,active,4,20347287,1263129088
LIBRARY_STAGING,CORE,active,8,0,0
LIBRARY_STAGING,DBT_CROGERS,active,1443,163,6656
LIBRARY_STAGING,DBT_TEST__AUDIT,active,1,1,1024
LIBRARY_STAGING,POLITICS,active,9,0,0
LIBRARY_STAGING,SEEDS,active,6,135649,2627072
THE_LIBRARY,CAMPAIGN_FINANCE,legacy_dead,19,0,0
THE_LIBRARY,COMPANIES,legacy_dead,14,0,0
THE_LIBRARY,CRIME_SECURITY,legacy_dead,11,0,0
