id	date	layer	tier	headline	chart	ledger_rows	tables	skeptic	sql	notes
F-001	2026-09-24	pairs	A	Judge Gilstrap held Apple, Microsoft, AT&T, Walmart stock while assigned 183 cases naming them; 240 judges, 1,157 cases in all	grid heatmap, judge by company	P:CL_PERSON_ID:JUSTICE__FED_COURTLISTENER_DOCKETS~JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES,S:JUSTICE__FED_COURTLISTENER_INVESTMENTS	CourtListener investments, disclosures, judges, dockets	broken, fixed; Gilstrap holds, aggregate not re-checked	reports/fable_hunt_2026-09-23/sql/02_judges_stock_in_parties.sql	data match, not verified against primary records; A rests on Gilstrap alone, the 240-judge aggregate is B until re-checked
F-002	2026-09-24	place	A	Counties with the most opioid pills in 2006-12 have 2.7x the overdose deaths in 2019-24	decile staircase and county map	G:HEALTH__FED_DEA_ARCOS,G:HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,G2:county:HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY~HEALTH__FED_DEA_ARCOS	ARCOS, CDC injury county, DIM_COUNTY	broken, fixed, confirmed	reports/fable_hunt_2026-09-23/sql/03_arcos_pills_vs_overdose.sql	correlation, not cause
F-003	2026-09-24	hops	A	27% of 919 nonprofit hospitals paid one officer more than their S-10 charity care cost in 2022	scatter with a diagonal	P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~XWALK_HOSPITAL_CCN_EIN,P:CCN:HEALTH__FED_CMS_HCRIS~XWALK_HOSPITAL_CCN_EIN,H:HEALTH__FED_CMS_HCRIS~HEALTH__HOSPITAL_OFFICER_PAY	990 officer pay, crosswalk, HCRIS	confirmed with caveats	reports/fable_hunt_2026-09-23/sql/05_hospital_officer_pay_vs_charity.sql	
F-004	2026-09-24	pairs	B	Prescribers paid only by Novo wrote 54% Ozempic vs 41% for unpaid; half the gap predates the money	paired bars	P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~HEALTH__FED_CMS_PARTD_PRESCRIBERS	Open Payments 2022, Part D 2022	correlation only	reports/fable_hunt_2026-09-23/sql/01_pharma_money_moves_own_drug.sql	
F-005	2026-09-24	pairs	B	23 firms under government-wide SAM exclusion got $800K of orders after exclusion, mostly DoD	timeline	P:UEI:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2~PROCUREMENT__FED_SAM_EXCLUSIONS,T:PROCUREMENT__FED_SAM_EXCLUSIONS	SAM exclusions, contracts R2	broken, narrowed	reports/fable_hunt_2026-09-23/sql/04c_debarred_firms_narrowed.sql	
F-006	2026-09-24	names	B	5,362 SEC insiders matched to $555M of FEC giving; coal CEO Joseph Craft III gave $8.2M	flow diagram	N:FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,N:FINANCE__FED_FEC_INDIV_CONTRIBUTIONS	SEC insiders, FEC individuals, FEC committees, MSHA	not sent	reports/fable_hunt_2026-09-23/sql/07b_insiders_fec_dedupe_and_coal_execs.sql	the bridge is the asset: any company table becomes a donor table
F-007	2026-09-24	singles	B	Black applicants denied at about 2x the White rate at every big 2017 purchase lender	dot plot by group	S:HOUSING__FED_CFPB_HMDA_HISTORIC	HMDA historic, ARID-LEI xref	not sent	reports/fable_hunt_2026-09-23/sql/10_hmda_2017_denial_gap_by_lender.sql	known shape; no income or credit columns
F-008	2026-09-24	names	B	76 co-authors of ORI-retracted papers got $187M of NIH money after the retraction	ranked bar	S:SCIENCE_RESEARCH__FED_RETRACTION_WATCH	Retraction Watch, NIH Reporter	not sent; closing skeptic reads it as C	reports/fable_hunt_2026-09-23/sql/06_ori_retraction_coauthors_nih_after.sql	cannot separate the fabricator from the lab head
F-009	2026-09-24	time	B	Banking Committee senators were 19% of trading senators but made 34% of bank-stock trades, 2012-20	paired bars	T:POLITICS__SENATE_TRADES	Senate trades, committees, EDGAR tickers, SIC	not sent; closing skeptic reads it as C	reports/fable_hunt_2026-09-23/sql/08b_senate_base_rate.sql	Perdue drives it
F-010	2026-09-24	singles	B	Eight coal controllers logged 900-1,960 serious violations per 1,000 miners, 2018-24	ranked bar	S:LABOR__FED_MSHA_VIOLATIONS,P:MSHA_CONTROLLER_ID:LABOR__FED_MSHA_MINES~LABOR__FED_MSHA_VIOLATIONS,P:MSHA_CONTROLLER_ID:LABOR__FED_MSHA_ACCIDENTS~LABOR__FED_MSHA_VIOLATIONS	MSHA violations, accidents, mines	not sent	reports/fable_hunt_2026-09-23/sql/09_msha_controllers.sql	per miner, not per inspection day
F-011	2026-09-24	singles	C	FDIC-ordered banks grew deposits 51.7% vs 49.1% for the rest: orders do not dent deposits		S:JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS,S:FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	FDIC orders, SOD	not sent	reports/fable_hunt_2026-09-23/sql/C1_fdic_orders_vs_deposits.sql	
F-012	2026-09-24	names	C	CFPB complaint companies vs FDIC-ordered banks by name: 2 of 30 match; needs a cert-to-company map		N:CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	CFPB complaints, FDIC orders	not sent	reports/fable_hunt_2026-09-23/sql/C1_fdic_orders_vs_deposits.sql	
F-013	2026-09-24	pairs	C	ECHO TOTAL_PENALTIES repeats shared-case penalties per facility; UPS reads $503M. Use LAST_PENALTY_AMT_ALLOCATED		P:FRS_ID:ENVIRONMENT__FED_EPA_ECHO~ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK	ECHO, EPA corporate crosswalk	not sent	reports/fable_hunt_2026-09-23/sql/C2_epa_parent_penalties_pac.sql	crosswalk covers 8% of facilities
F-014	2026-09-24	pairs	C	GHGRP emitters vs ECHO: CO2E null on about 30% of 2023 rows; fix the load before ranking		P:FRS_ID:ENVIRONMENT__FED_EPA_ECHO~ENVIRONMENT__FED_EPA_GHGRP_FACILITY	GHGRP, ECHO	not sent	reports/fable_hunt_2026-09-23/sql/C3_ghgrp_emitters_vs_echo.sql	blocked by a load gap, not a true miss
F-015	2026-09-24	names	C	PPP $150K+ loans vs SAM exclusions by name and state: only EPA facility listings match		S:ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS	PPP, SAM exclusions	not sent	reports/fable_hunt_2026-09-23/sql/11_ice_deaths_ppp_vs_sam.sql	
F-016	2026-09-24	names	C	MSHA controller names vs FEC employer text: 1 hit; go through SEC insiders instead		N:LABOR__FED_MSHA_VIOLATIONS	MSHA, FEC	not sent	reports/fable_hunt_2026-09-23/sql/C4_msha_controller_vs_fec_employer.sql	
F-017	2026-09-24	names	C	LDA lobbying clients vs contract recipients: 995 names match 2019-24, no angle found yet		N:EDUCATION__FED_SENATE_LDA_FILINGS	LDA, contracts	not sent	reports/fable_hunt_2026-09-23/sql/C5_lda_clients_vs_contracts.sql	join works; angle open
F-018	2026-09-24	pairs	C	ICE deaths per 100K stints by facility type: 37 deaths 2022-26, too few to rank facilities		P:ICE_FACILITY:IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES~IMMIGRATION__FED_ICE_DETENTION_STINTS	ICE stints, facilities	not sent	reports/fable_hunt_2026-09-23/sql/11_ice_deaths_ppp_vs_sam.sql	
F-019	2026-09-24	pairs	B	2024: brand-name share rises with pharma money in all 7 specialties; $10K+ doctors cost 1.2-5.6x more per claim	grouped bars	P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS~HEALTH__FED_CMS_PART_D_PRESCRIBERS	Part D 2024, Open Payments 2024	skeptic-corrected rerun	reports/join_patterns_2026-09-23.md	correlation only; suppression hides 606K prescribers; tier set at ledger seed 2026-09-24, the source report gave none
F-020	2026-09-24	pairs	B	193 OIG-excluded NPIs took drug-company money in 2024, about $166K; one $114K row	ranked bar	P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS~HEALTH__FED_HHS_OIG_LEIE	LEIE, Open Payments 2024	skeptic reran 185/179 name matches	reports/join_patterns_2026-09-23.md	WAS_REINSTATED is False on every row; tier set at ledger seed 2026-09-24, the source report gave none
F-021	2026-09-24	pairs	B	For-profit nursing homes: 3.70 staff hours vs 4.40 nonprofit, fines $320 vs $205 per bed; Arcadia Care worst chain	grouped bars	P:CCN:HEALTH__FED_CMS_NURSING_HOME~HEALTH__FED_CMS_NURSING_HOME_PENALTIES	nursing home, penalties	not sent	reports/join_patterns_2026-09-23.md	penalties are a rolling 3-year window; tier set at ledger seed 2026-09-24, the source report gave none
