id	status	score	schema	table	rows	event_date	entity	partners	partner_tables	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
T:JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED	probed	14.7	JUSTICE	JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED	10323280	DATE_FILED	no actor column	6	FED_COURTLISTENER_DOCKETS, FED_FJC_IDB_CIVIL, FED_FJC_IDB_BANKRUPTCY, FED_FJC_IDB_CRIMINAL, FED_FJC_IDB_APPELLATE +1	MONEY HARM OFFICIALS OUTCOME	timeline: count by month in DATE_FILED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_FILED :: timeline	line_over_time timeline		mostly 2010-19 cases, none after 2020; civil and criminal share docket numbers, filter DATASET_SOURCE	Filings per year run 200k-470k over 1987-2020, then 161k in 2021 and 427 in 2022, so the table ends around 2021. The biggest spikes are MDL waves: Jun 2020 has 58,687 filings (2.0x the local median), product liability in N.D. Fla, which is the 3M earplug MDL. No actor column, so no after-date test.		sweep-d	2026-09-24
T:IMMIGRATION__FED_ICE_DETENTION_STINTS	probed	13.6	IMMIGRATION	IMMIGRATION__FED_ICE_DETENTION_STINTS	2571975	FINAL_ORDER_DATE	ICE_FACILITY	2	FED_ICE_DETAINERS, FED_ICE_DETENTION_FACILITY_CODES	MONEY HARM MAP DEMOGRAPHIC OUTCOME	after FINAL_ORDER_DATE: does the same ICE_FACILITY keep getting money, licenses or contracts elsewhere :: before-after line | before FINAL_ORDER_DATE: what did that ICE_FACILITY look like the year before; any warning sign :: before-after line | lag: days from FINAL_ORDER_DATE to the next event for the same ICE_FACILITY :: histogram | clusters: many events on one day or in one place in FINAL_ORDER_DATE :: timeline	before-after_line histogram timeline			Final orders by year: 76k in 2022 up to 524k in 2025. Stints before 2022 are only a handful (2 to 1,168 per year). Top facility JENA staging (125k stints) has 1 row in FED_ICE_DETAINERS; 593 of 707 stint facilities appear there, but detainers sit at local jails. No money partner for the facility.		sweep-d	2026-09-24
T:TRANSPORT__FED_FRA_CROSSING_INCIDENTS	dead	12.7	TRANSPORT	TRANSPORT__FED_FRA_CROSSING_INCIDENTS	251149	DATE	names only	0		MONEY HARM DEMOGRAPHIC OUTCOME TEXT	after DATE: do the named RAILROAD_NAME, OTHER_RAILROAD_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE :: timeline	before-after_line table timeline			Crossing crashes fell from 13,557 in 1978 to about 2,000 a year since 2009. Top railroad Union Pacific got $0.95M in federal contracts total over 12 FYs, so there's no money trail after crashes. No clusters worth a look beyond the long decline.		sweep-d	2026-09-24
T:HEALTH__FED_CMS_NURSING_HOME	probed	12.1	HEALTH	HEALTH__FED_CMS_NURSING_HOME	14700	DATE_OF_MOST_RECENT_HEALTH_INSPECTION	CCN	11	FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_FACILITY_AFFILIATION, FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES, FED_CMS_HCRIS +6	MONEY HARM MAP OUTCOME	after DATE_OF_MOST_RECENT_HEALTH_INSPECTION: does the same CCN keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_OF_MOST_RECENT_HEALTH_INSPECTION: what did that CCN look like the year before; any warning sign :: before-after line | lag: days from DATE_OF_MOST_RECENT_HEALTH_INSPECTION to the next event for the same CCN :: histogram | clusters: many events on one day or in one place in DATE_OF_MOST_RECENT_HEALTH_INSPECTION :: timeline	before-after_line histogram timeline	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	DATE_OF_MOST_RECENT_HEALTH_INSPECTION is null on all 14,700 rows	Trap: DATE_OF_MOST_RECENT_HEALTH_INSPECTION is null on all 14,700 rows. Used the cycle-1 survey date instead: 263 homes were last surveyed in 2019-22, and 49 of them were fined after. The penalty table only spans 2023-06 to 2026-05, so before/after mostly measures that window. Top fined after survey: IL 145581 (Jenmax) $692k.		sweep-d	2026-09-24
T:JUSTICE__XC_MAPPING_POLICE_VIOLENCE	dead	12.1	JUSTICE	JUSTICE__XC_MAPPING_POLICE_VIOLENCE	15476	DATE_OF_INCIDENT_MONTH_DAY_YEAR	names only	0		HARM PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	after DATE_OF_INCIDENT_MONTH_DAY_YEAR: do the named VICTIM_S_NAME, CONGRESSIONAL_REPRESENTATIVE_FULL_NAME_HTTPS_BALLOTPEDIA_ORG_UNITED_STATES_HOUSE_OF_REPRESENTATIVES show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_OF_INCIDENT_MONTH_DAY_YEAR :: timeline	before-after_line table timeline	reach-is-not-a-usable-join		Killings per year are flat at 1,039-1,270 for 2013-2025. Top name-matched agency, Phoenix PD (185 deaths), shows assistance only in FY2007 ($0.4M) and FY2009 ($2.2M), nothing after its killings in landed data. No after-event money signal.		sweep-d	2026-09-24
T:JUSTICE__FED_COURTLISTENER_DOCKETS	probed	11.9	JUSTICE	JUSTICE__FED_COURTLISTENER_DOCKETS	71677647	DATE_FILED	CL_COURT_ID, CL_PERSON_ID	14	FED_FJC_IDB_CIVIL, FED_COURTLISTENER_FJC_IDB_CL_LINKED, FED_FJC_IDB_BANKRUPTCY, FED_FJC_IDB_CRIMINAL, FED_FJC_IDB_APPELLATE +9	PEOPLE OFFICIALS OUTCOME	after DATE_FILED: does the same CL_COURT_ID, CL_PERSON_ID keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_FILED: what did that CL_COURT_ID, CL_PERSON_ID look like the year before; any warning sign :: before-after line | lag: days from DATE_FILED to the next event for the same CL_COURT_ID, CL_PERSON_ID :: histogram | clusters: many events on one day or in one place in DATE_FILED :: timeline	before-after_line histogram timeline		DATE_FILED runs 1871 to 2079	71.7M dockets; 9.1M (13%) have no DATE_FILED; 45 dated 2027-2079. Filings/yr: 2.54M in 2005 -> 1.23M in 2006 (bankruptcy-law rush), 2.41M 2010 peak, ~1.2M 2021-24. Spikes are MDLs: N.D. Fla 2020 230k (3M earplugs, 57x its median), S.D. W.Va 2013-14 (pelvic mesh). Judge id on 45% of rows; no after-date money partner		sweep2-d	2026-09-24
T:PROCUREMENT__FED_SAM_EXCLUSIONS	finding	11.6	PROCUREMENT	PROCUREMENT__FED_SAM_EXCLUSIONS	168328	ACTIVATION_DATE	UEI	10	FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_USASPENDING_CONTRACTS_FULL, FED_USASPENDING_CONTRACTS, XC_EPA_CORPORATE_CROSSWALK +5	HARM PEOPLE MAP OUTCOME	after ACTIVATION_DATE: does the same UEI keep getting money, licenses or contracts elsewhere :: before-after line | before ACTIVATION_DATE: what did that UEI look like the year before; any warning sign :: before-after line | lag: days from ACTIVATION_DATE to the next event for the same UEI :: histogram | clusters: many events on one day or in one place in ACTIVATION_DATE :: timeline	before-after_line histogram timeline	reach-is-not-a-usable-join		F-005 B: 23 firms under government-wide SAM exclusion got $800K of orders after exclusion, mostly DoD	F-005	claude	2026-09-24
T:JUSTICE__FED_COURTLISTENER_POSITIONS	probed	11.200000000000001	JUSTICE	JUSTICE__FED_COURTLISTENER_POSITIONS	51290	DATE_JUDICIAL_COMMITTEE_ACTION	CL_COURT_ID, CL_PERSON_ID	9	FED_COURTLISTENER_DOCKETS, FED_COURTLISTENER_ORIGINATING_COURT_INFO, FED_COURTLISTENER_FINANCIAL_DISCLOSURES, FED_COURTLISTENER_JUDGES, FED_COURTLISTENER_JUDGE_EDUCATIONS +4	PEOPLE OFFICIALS MAP OUTCOME	after DATE_JUDICIAL_COMMITTEE_ACTION: does the same CL_COURT_ID, CL_PERSON_ID keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_JUDICIAL_COMMITTEE_ACTION: what did that CL_COURT_ID, CL_PERSON_ID look like the year before; any warning sign :: before-after line | lag: days from DATE_JUDICIAL_COMMITTEE_ACTION to the next event for the same CL_COURT_ID, CL_PERSON_ID :: histogram | clusters: many events on one day or in one place in DATE_JUDICIAL_COMMITTEE_ACTION :: timeline	before-after_line histogram timeline			3,976 committee actions 1826-2022, but the feed dies after 2019 (51 rows) -> 2020-22 (5). Committee-to-confirmation lag median 1 day pre-1980, 18 days 2000s, 88 days 2010s: the known Senate slowdown. 768 of 779 post-2000 nominees have disclosures; no after-date money partner. Disclosure YEAR_COL runs 0 to 14423		sweep2-d	2026-09-24
T:HEALTH__FED_CMS_NURSING_HOME_PENALTIES	probed	11.1	HEALTH	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	16180	PAYMENT_DENIAL_START_DATE	CCN	11	FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_FACILITY_AFFILIATION, FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES, FED_CMS_HCRIS +6	MONEY HARM MAP	after PAYMENT_DENIAL_START_DATE: does the same CCN keep getting money, licenses or contracts elsewhere :: before-after line | before PAYMENT_DENIAL_START_DATE: what did that CCN look like the year before; any warning sign :: before-after line | lag: days from PAYMENT_DENIAL_START_DATE to the next event for the same CCN :: histogram | clusters: many events on one day or in one place in PAYMENT_DENIAL_START_DATE :: timeline	before-after_line histogram timeline	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join		Window is only 2023-06 to 2026-05 (16,180 rows). 1,898 homes had a payment denial; 46.5% were penalized again after it; 49% are 1-star now vs 7% of unpenalized. Illinois: 43.6% of homes denied vs 12.9% US, ID/SD 0%, so it's a state survey-agency effect. State-adjusted, Cascades Healthcare 9/20 homes vs 2.0 expected. 541 fine rows repeat home+date+amount		sweep2-d	2026-09-24
T:JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS	probed	11.0	JUSTICE	JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS	10838	ORDER_DATE	names only	0		MONEY HARM MAP OUTCOME TEXT	after ORDER_DATE: do the named INSTITUTION_NAME, BANK_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in ORDER_DATE :: timeline	before-after_line table timeline		CMP_AMOUNT_TOTAL repeats within a docket; one penalty can read twice	Orders/yr peak 902 (2010), 563 (1992), low 87 (2021). First C&D per bank 1995-2022 (1,305) -> SOD deposits 2 yrs later: median 0.93x vs national 1.18x; 64% shrank, 26% gone from SOD. 2008-12 cohort 0.90x. Boring: C&Ds land on sick banks, which shrink or fail. Enforcement working, not a story yet		sweep2-d	2026-09-24
