model,layer,subject,family,class,thing_token,map_evidence,map_confidence,grain_phrase,spine_entity,natural_key,n_columns,column_quality,pre_aggregated,sem_date,sem_money,sem_geo,sem_id,sem_code,sem_population,sem_flag,sem_quantity
case_queue,marts,review,organization,noun,entity,grain says 'one row per flagged person or entity',high,flagged person or entity,,,14,clean,False,0,0,0,4,1,0,0,1
civil_rights__fed_nara_wra_aad,marts,civil_rights,dataset,noun,aad,name token 'aad',medium,,,,17,clean,False,2,0,3,5,2,0,0,0
cohort_queue,marts,review,unresolved,event,,columns only: dated money rows,low,peer cohort,,,25,clean,False,1,1,0,1,1,0,0,5
consumer_protection__fed_cfpb_complaints,marts,consumer_protection,complaint,event,complaints,name token 'complaints',medium,,,,24,star-cte-resolved,False,6,0,1,3,1,0,2,0
consumer_safety__fed_cpsc_neiss,marts,consumer_safety,case,event+noun,case,grain says 'one row per injury case',high,injury case,,,22,clean,False,2,0,0,2,10,0,0,1
consumer_safety__fed_nhtsa_complaints,marts,consumer_safety,complaint,event,complaint,grain says 'one row per complaint',high,complaint,,,29,clean,False,3,0,2,1,2,0,1,0
consumer_safety__fed_nhtsa_investigations,marts,consumer_safety,role,link,combination,grain says 'one row per investigation-vehicle-recall combination',high,investigation-vehicle-RECALL combination,,,15,clean,False,4,0,0,3,0,0,0,0
consumer_safety__fed_nhtsa_recalls,marts,consumer_safety,recall,event+noun,recall,grain says 'one row per recall record',high,recall record,,,20,clean,False,4,0,0,3,1,0,0,0
corporate_registry__fed_icij_offshoreleaks_addresses,marts,corporate_registry,place,noun,addresses,name token 'addresses',medium,,,,10,star-upstream-resolved,False,0,0,2,2,0,0,0,0
corporate_registry__fed_icij_offshoreleaks_entities,marts,corporate_registry,organization,noun,entities,name token 'entities',medium,,,,23,star-upstream-resolved,False,4,0,2,3,2,0,0,0
corporate_registry__fed_icij_offshoreleaks_intermediaries,marts,corporate_registry,organization,noun,intermediaries,name token 'intermediaries',medium,,,,12,star-upstream-resolved,False,0,0,2,3,1,0,0,0
corporate_registry__fed_icij_offshoreleaks_officers,marts,corporate_registry,role,link,officers,name token 'officers',medium,,,,9,star-upstream-resolved,False,0,0,1,2,0,0,0,0
corporate_registry__fed_icij_offshoreleaks_others,marts,corporate_registry,organization,noun,offshoreleaks,name token 'offshoreleaks',medium,,,,15,star-upstream-resolved,False,3,0,1,2,1,0,0,0
corporate_registry__fed_icij_offshoreleaks_relationships,marts,corporate_registry,role,link,relationships,name token 'relationships',medium,,,,10,star-upstream-resolved,False,4,0,0,1,2,0,0,0
corporate_registry__fed_irs_eo_bmf,marts,corporate_registry,organization,noun,bmf,name token 'bmf',medium,,,,32,star-upstream-resolved,False,3,3,4,2,12,0,0,1
