NPI,EXCLUSION_TYPE,GENERAL_CATEGORY,SPECIALTY,STATE,EXCLUSION_YEAR,REINSTATEMENT_YEAR,PAY_YEAR,NATURE_OF_PAYMENT,N_PAYMENTS,TOTAL_DOLLARS,AFTER_EXCLUSION_FLAG
1083654669,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,VA,2023,,2022,Education,1,99.99,0
1750362554,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,OR,2024,,2023,Education,11,99.99,0
1750379830,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,PR,2015,,2022,Food and Beverage,2,99.99,1
1881953156,1128a4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2026,,2023,Food and Beverage,1,99.99,0
1619170701,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,GA,2024,,2024,Food and Beverage,6,99.96,1
1912999087,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,CA,2024,,2022,Food and Beverage,5,99.83,0
1760424972,1128a1,IND- LIC HC SERV PRO,PHYSICIAN ASSISTANT,MI,2025,,2022,Food and Beverage,7,99.83,0
1518930395,1128a3,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,CO,2020,,2022,Food and Beverage,3,99.79,1
1336661347,1128a4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,FL,2024,,2022,Food and Beverage,7,99.4,0
1336187814,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,AL,2017,,2024,Food and Beverage,1,99.34,1
1659418325,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,LA,2024,,2023,Food and Beverage,6,99.23,0
1659573400,1128b1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NC,2020,,2023,Food and Beverage,2,99.12,1
1891722237,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,PA,2015,,2024,Food and Beverage,1,98.92,1
1073804944,1128a4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,TX,2025,,2024,Food and Beverage,5,97.91,0
