EIN	ORG	Y0	Y1	TOT_M	PCT_NETWORK_VENDORS	PCT_FR	CONTRIB_K
821194581	American Police Officers Alliance	2018	2026	39.374	75.3	70.5	35.5
822366231	FIREFIGHTERS AND EMS FUND	2017	2026	34.514	76.0	66.5	78.9
815214552	National Police Support Fund, Inc	2017	2026	29.284	81.8	60.7	31.0
843153271	Committee for Police Officers Defense	2019	2026	19.91	63.6	66.8	184.6
822315009	American Veterans Honor Fund, Inc.	2018	2026	10.854	79.3	69.2	8.0
834686848	American Breast Cancer Coalition	2019	2025	9.552	78.6	87.0	0.0
843763411	National Committee For Volunteer Firefighters	2020	2026	9.301	84.6	90.0	0.0
831616914	United Police Fund	2020	2026	7.157	0.0	46.6	18.7
853307234	National Coalition for Disabled Veterans PAC	2021	2026	6.911	78.7	90.9	0.0
472041040	Veterans Action Network	2014	2019	6.411	0.0	82.4	20.2
273594732	Veterans In Defense Of Liberty Action Committee	2016	2024	6.058	0.0	94.1	0.0
843763242	National Cancer Alliance	2020	2026	5.023	89.5	90.5	0.0
921706849	POSC PAC	2024	2026	4.634	86.4	90.0	0.0
922354897	American Coalition for Police & Sheriff's PAC	2023	2026	3.814	74.5	90.2	0.0
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	2021	2025	3.413	54.9	90.0	0.0
843763606	American Alliance for Military Veterans	2020	2024	2.958	63.2	89.9	0.0
922452599	AVSC 2023 PAC	2023	2026	2.817	78.0	89.9	0.0
923489519	VF2024 PAC	2023	2026	2.577	72.6	90.2	0.0
854325630	National Police & Sheriffs Coalition PAC	2021	2023	2.379	91.3	90.8	0.0
923489713	United Health PAC	2024	2026	1.353	79.3	89.9	0.0
332084267	AMCC PAC	2025	2026	0.684	87.2	90.6	0.0
843288627	Cancer Recovery Action Network	2020	2021	0.622	17.5	63.9	47.9
823288532	Real Democracy Fund	2018	2021	0.319	86.7	63.4	0.0
852675458	MICHIGAN FOP POLITICAL FUND	2021	2026	0.291	16.2	81.9	17.2
832868668	Louisiana Fraternal Order of Police Political Fund	2019	2023	0.195	7.6	74.6	0.0
821820836	Young Conservatives of America	2018	2024	0.179	82.3	61.4	0.0
331888439	UCVF PAC	2025	2026	0.149	87.5	88.6	0.0
854065970	POLICE ASSOCIATION OF NY POLITICAL FUND	2022	2023	0.073	89.6	90.6	0.0
862042355	SOUTH CAROLINA FOP POLITICAL FUND	2021	2023	0.034	54.0	84.4	0.0
