EIN	ORG_NAME	IN_CARE_OF	STREET	CITY	STATE	SUBSECTION_CODE	NTEE_CODE	RULING_DATE	REVENUE_AMT	ASSET_AMT	TAX_PERIOD_YYYYMM	PUB78
221736045	AMERICAN COLLEGE OF NEUROPSYCHOPHARMACOLOGY INC	% JULIE MAGILL	5034 THOROUGHBRED LN STE A	BRENTWOOD	TN	03	G96C	1966-04-01	4049199	25932156	202503	PC
473387615	NATIONAL CENTER FOR POLICE DEFENSE INC	% JAMES J FOTIS	10521 JUDICIAL DRIVE	FAIRFAX	VA	03	I12	2015-09-01	1358969	51316	202412	PC
474593351	QUAYLE HOME CARE	% ANGELA BAZEMORE QUAYE	5155 W THUNDERBIRD RD	GLENDALE	AZ	03	P20	2017-02-01	1154617	84007	202412	PC
821645970	LOOK AHEAD AMERICA INC	% THOMAS DATWYLER	722 12TH ST NW STE 535	WASHINGTON	DC	03	B99	2021-11-01	552724	488578	202412	PC
843024142	POLICE OFFICERS DEFENSE COALITION INC	% JAMES FOTIS	10521 JUDICIAL DRIVE	FAIRFAX	VA	04	P20	2020-07-01	423292	32775	202412	
465570236	PAINT LOVE INC	% JULIE ANN MCKEVITT	500 S COLUMBIA DR	DECATUR	GA	03	I70	2014-09-01	422733	247364	202412	PC
473036490	STREETS ARE FOR EVERYONE	% DAMIAN KEVITT	4470 W SUNSET BLVD SUITE 453	LOS ANGELES	CA	03	S20	2015-03-01	406388	154615	202412	PC
821169044	CASA OF WESTERN OKLAHOMA INC	% TERESA MAGILL	PO BOX 485	WEATHERFORD	OK	03	P02	2017-06-01	320879	232510	202509	PC
680489877	PROVIDENCE PLACE HOUSING CORPORATION	% KIM C DATWYLER	649 E SOUTH TEMPLE	SALT LAKE CTY	UT	03	L20	2002-08-01	311604	1139309	202506	PC
540834830	FRIENDS OF JEFFERSON-MADISON REGIONAL LIBRARY INC	% EDWARD J MAGILLEY III	1600 GORDON AVE	CHARLOTTESVLE	VA	03	B71I	1972-11-01	226013	3038746	202506	PC
274270849	B3 MINISTRIES	% MATT MAGILL	2428 OAK LN	TYLER	TX	03	X20	2025-09-01	119100	72404	202512	PC
465471515	LAMERS FOUNDATION INC	% THOMAS J LAMERS	501 S NICOLET RD	APPLETON	WI	03	T30	2014-11-01	115106	73355	202412	PC
884092358	ROOT DOWN BUILDING COLLECTIVE	% APRIL MAGILL	357 HOWLE AVE	CHARLESTON	SC	03	L20	2023-01-01	111225	9850	202506	PC
010968274	BAUERSTOWN BASEBALL & SOFTBALL ASSOCIATION	% ROBERT EYLER	152 KOEHLER ST	ETNA	PA	03	O50	2011-03-01	102396	102742	202512	PC
854267862	MONTVILLE TOWNSHIP 4TH OF JULY INC	% ROBERT PLISHKA	141 WAUGHAW RD	TOWACO	NJ	03	P20	2022-03-01	86538	38441	202512	PC
853783564	USA ROUNDNET	% ETHAN DATWYLER	53 W JACKSON BLVD STE 1734	CHICAGO	IL	03	N60	2022-03-01	85743	30686	202512	PC
882498865	DENNIS TENNIS SERVING LOVE INC	% DENNIS QUAYE	3175 PIGEON PLUM DR	OAKLAND PARK	FL	03	N66	2022-06-01	64260	13393	202512	PC
410693357	AMERICAN LEGION	% JAMES LAMERS	PO BOX 58	BROWNS VALLEY	MN	19		1946-03-01	62830	217090	202512	
