EIN	ORG_NAME	IN_CARE_OF	STREET	CITY	STATE	SUBSECTION_CODE	NTEE_CODE	RULING_DATE	REVENUE_AMT	TAX_PERIOD_YYYYMM	EIN_HIT	NAME_HIT	ADDR_HIT
850925700	BLUF MILITARY BENEFITS	% BLUF MILITARY BENEFITS	900 COMMONWEALTH PLACE PMB 2125	VIRGINIA BEACH	VA	03		2020-06-01	0	202512			900 COMMONWEALTH
333187393	BONITO VOLUNTEER FIREFIGHTERS SUPPORT FUND		PO BOX 1083	ALTO	NM	03	M12	2025-06-01				FIREFIGHTERS SUPPORT FUND	
413825509	BUENA BOROUGH FIREFIGHTERS SUPPORT ASSOCIATION	% ELIZABETH TESTA	309 N HARDING HWY	LANDISVILLE	NJ	03	M24	2026-04-01				FIREFIGHTERS SUPPORT ASSOCIATION	
884095671	FOUNDATION FOR FIRST RESPONDER WELL NESS AND RESILIENCY		10521 JUDICIAL DRIVE	FAIRFAX	VA	03	P20	2023-06-01	0	202512			10521 JUDICIAL
812067843	KIDNEY CANCER RESEARCH ALLIANCE	% DENA BATTLE	2800 EISENHOWER AVE STE 220-C	ALEXANDRIA	VA	03	T30	2016-06-01	429231	202412			2800 EISENHOWER
823666647	LAMBDA BETA ALPHA MILITARY SORORITY INC		14497 POTOMAC MILLS RD 1129	WOODBRIDGE	VA	03	P99	2019-04-01	0	202409			14497 POTOMAC MILLS
473387615	NATIONAL CENTER FOR POLICE DEFENSE INC	% JAMES J FOTIS	10521 JUDICIAL DRIVE	FAIRFAX	VA	03	I12	2015-09-01	1358969	202412			10521 JUDICIAL
520899384	NATIONAL MILITARY FAMILY ASSOCIATION INC		2800 EISENHOWER AVE STE 250	ALEXANDRIA	VA	03	W30Z	1986-06-01	3573603	202412			2800 EISENHOWER
843024142	POLICE OFFICERS DEFENSE COALITION INC	% JAMES FOTIS	10521 JUDICIAL DRIVE	FAIRFAX	VA	04	P20	2020-07-01	423292	202412		POLICE OFFICERS DEFENSE	10521 JUDICIAL
993719368	PUEBLO VETERANS ACTION NETWORK		1580 N LOGAN ST STE 660 PMB 338817	DENVER	CO	03	W30	2024-07-01				VETERANS ACTION NETWORK	
991069260	VAN BUREN FIREFIGHTERS SUPPORT ASSOCIATION	% BRIAN CARON	320 MAIN ST STE 101	VAN BUREN	ME	03	M11	2024-03-01	0	202512		FIREFIGHTERS SUPPORT ASSOCIATION	
273461225	VETERANS IN DEFENSE OF LIBERTY	% WILLIAM SCOTT MAGILL	4730 S NATIONAL C-6	SPRINGFIELD	MO	04	R60	2013-02-01	16814	202412		VETERANS IN DEFENSE OF LIBERTY	
