EIN	ORG	Y0	LAST_D	RAW_ROWS	RAW_M	DEDUP_M	PCT_FR	CONTRIB_K	BFTEL_M	BFTEL_FIRST	RPI_M
821194581	American Police Officers Alliance	2018	2026-06-29	52344	43.3	39.39	70.4	35.5	0.0		4.97
822366231	FIREFIGHTERS AND EMS FUND	2017	2026-06-30	84407	37.46	34.73	66.5	78.9	0.0		6.43
815214552	National Police Support Fund, Inc	2017	2026-06-30	47487	32.3	29.72	60.9	31.0	0.0		12.73
843153271	Committee for Police Officers Defense	2019	2026-06-29	9014	21.5	19.91	66.8	184.6	0.0		6.57
822315009	American Veterans Honor Fund, Inc.	2018	2026-06-30	37104	11.28	10.86	69.2	8.0	0.0		2.01
834686848	American Breast Cancer Coalition	2019	2025-12-31	944	10.69	9.55	87.0	0.0	1.14	2023-01-31	0.0
843763411	National Committee For Volunteer Firefighters	2020	2026-06-30	1085	12.42	9.3	90.0	0.0	2.87	2023-01-31	0.0
853307234	National Coalition for Disabled Veterans PAC	2021	2026-06-30	887	7.22	6.91	90.9	0.0	1.76	2023-01-31	0.0
472041040	Veterans Action Network	2014	2019-12-31	2957	9.85	6.41	82.4	20.2	0.0		0.0
273594732	Veterans In Defense Of Liberty Action Committee	2016	2024-09-05	718	6.06	6.06	94.1	0.0	0.0		0.0
843763242	National Cancer Alliance	2020	2026-06-30	607	5.22	5.02	90.5	0.0	2.37	2023-01-31	0.0
921706849	POSC PAC	2024	2026-06-30	324	4.63	4.63	90.0	0.0	2.33	2024-01-31	0.0
922354897	American Coalition for Police & Sheriff's PAC	2023	2026-06-30	467	3.99	3.81	90.2	0.0	1.54	2023-04-30	0.0
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	2021	2025-03-31	654	3.94	3.41	90.0	0.0	0.0		0.0
843763606	American Alliance for Military Veterans	2020	2024-12-31	472	2.96	2.96	89.9	0.0	0.0		0.0
922452599	AVSC 2023 PAC	2023	2026-06-30	436	3.2	2.82	89.9	0.0	1.18	2023-08-31	0.0
923489519	VF2024 PAC	2023	2026-06-30	365	2.58	2.58	90.2	0.0	0.98	2024-01-31	0.0
854325630	National Police & Sheriffs Coalition PAC	2021	2023-02-17	201	2.61	2.38	90.8	0.0	0.0		0.0
923489713	United Health PAC	2024	2026-06-30	212	1.35	1.35	89.9	0.0	0.72	2024-12-21	0.0
