EIN	ORG	PEOPLE	RAW_B_M	Y0	Y1	IN19
521237780	GOPAC, Inc.	MELODIE JOHNSON (custodian8871); MELODIE JOHNSON (contact); MELODIE JOHNSON (custodian); MELODIEJOHNSON (contact)	120.97	2003	2026	N
862491792	UNITE NY	MELODIE JOHNSON (contact); MELODIE JOHNSON (custodian8871); MELODIE JOHNSON (custodian)	0.26	2021	2024	N
820864284	ONE LA	NILE PORTER (contact)	0.24	2017	2018	N
832868668	Louisiana Fraternal Order of Police Political Fund	THOMAS DATWYLER (contact)	0.2	2019	2023	N
453601584	Coalition for American Values	JAMES D. SKYLES ESQ. (custodian8871); JAMES D SKYLES, ESQ. (contact); JAMES D. SKYLES ESQ. (custodian)	0.11	2012	2016	N
842091696	The American Veterans Initiative	RICHARD LEAGUE (officer); RICHARD LEAGUE (custodian); RICHARD LEAGUE (custodian8871); RICHARD LEAGUE (contact)	0.08	2020	2020	N
832352644	North Carolinians for Health Care Access Inc	DR. STEVEN H. EYLER (officer)	0.03	2020	2020	N
274470109	Steele for Chairman 2011	MELODIE JOHNSON (officer); MELODIE JOHNSON (custodian); MELODIE JOHNSON (contact); MELODIE JOHNSON (custodian8871)	0.02	2011	2011	N
462418833	Republican Women of Prescott Inc	NETTIE LAMERSON (officer); NETTIE M LAMERSON (custodian8871); NETTIE M. LAMERSON (officer)	0.0	2013	2013	N
844925779	Scott Caine Exploratory Committee	THOMAS C DATWYLER (custodian8871); THOMAS DATWYLER (officer)				N
834396115	POLICE DEFENSE ACTION COMMITTEE	JAMES J FOTIS (officer)				N
882854689	Oklahomans for Conservative Christian Values	THOMAS DATWYLER (custodian8871)				N
921707497	DANIEL Z SEYLER FOR MAYOR	DANIEL Z SEYLER (officer); DANIEL Z SEYLER (custodian8871)				N
113577607	E.M. Repub. Comm. Counc.	THOMAS MCKEVITT (custodian8871); THOMAS MCKEVITT (officer)				N
465733577	Future Conservative Leadership Committee	NILE PORTER (custodian8871); NILE PORTER (officer)				N
921130785	ACPS PAC	FRANK PULCIANI (officer); FRANK PULCIANI (custodian8871)				N
810463962	Montana Employees of Qwest Political Action Comm.	KATHERINE EYLER (custodian8871); KATHERINE EYLER (officer)				N
872443918	Police Officer Rights PAC	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
463127380	Carolina Conservatives United	JAMES SKYLES (custodian8871)				N
415157385	Steven Smith for New Hampshire	KENNETH WEYLER (officer)				N
923857520	LOUISIANA HOME PAC	MELODIE JOHNSON (custodian8871)				N
994689542	MAKE AMERICA HEALTHY AGAIN (MAHA) PAC	THOMAS C DATWYLER (custodian8871); THOMAS C DATWYLER (officer)				N
853102012	Police Coalition of America	RICHARD LEAGUE (custodian8871)				N
931491737	LOUISIANA INTEGRITY PAC	MELODIE JOHNSON (custodian8871); MELODIE JOHNSON (officer)				N
871321824	Resolute PAC Inc	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
830480161	Convention People's Party North America	EMMANUEL O. QUAYE (officer)				N
841918784	American Veteran Society	RICHARD LEAGUE (officer); RICHARD LEAGUE (custodian8871)				N
