-- S01 BORME: every row, all 15
COMPANY_ID | COUNTRY | DATE | BORME_ISSUE_NUMBER | SECTION | CVE | COMPANY_NAME | PROVINCE | ACT_TYPE | ACT_DESCRIPTION | PDF_URL | _INGESTED_AT | _SOURCE_RUN_ID | ACT_MONTH | ACT_YEAR | SOURCE_ID
 | Spain | 2026-06-01 |  |  | BORME-A-2026-102-24 |  |  |  |  |  | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-22 |  | 259772 - PARQUE FAUNISTICO DE LOS PIRINEOS SA. Ceses/Dimisiones. Secretario: CUBERO FALCO PEDRO ANTONIO. Nombramientos. SecreNoConsj: ANTONI JACA ALBA.  Datos registrales. S 8 , H HU 6088, I/A 35 (22.05.26). 259773 - IBERFOIL ARAGON SL. Nombramientos. Apoderado: JOSE JOAQUIN AGUADO GUTIERREZ.  Datos registrales. S 8 , H HU 12307, I/A 31 (25.05.26). 259774 - CASA FERRANDO PANTICOSA SL. Ceses/Dimisiones. Adm. Unico: GUILLEN GIMENEZ JOSE LUIS. Nombramientos. Adm. Solid.: GUILLEN GIMENEZ JOSE LUIS;IVAN GUILLEN AGUERA. Otros conceptos: Cambio del Organo de Administración: Administrador único a Administradores solidarios.  Datos registrales. S 8 , H HU 6959, I/A 3 (25.05.26). 259775 - CARSAL SESA SOCIEDAD LIMITADA. Ceses/Dimisiones. Adm. Unico: LASIERRA RIVAS JUAN CARLOS. Nombramientos. Adm. Unico: LASIERRA PEREZ SAUL.  Datos registrales. S 8 , H HU 10205, I/A 8 (25.05.26). 259776 - RUBIO ASESORES LEGALES Y TRIBUTARIOS SOCIEDAD LIMITADA. Sociedad unipersonal. Cambio de identidad del socio único: TESAR FINANCIAL SL.  Datos registrales. S 8 , H HU 15069, I/A 4 (25.05.26). 259777 - RUBIO ASESORES LEGALES Y TRIBUTARIOS SOCIEDAD LIMITADA. Ceses/Dimisiones. Adm. Unico: RUBIO COBO ALBERTO. Nombramientos. Adm. Unico: PIEDRAFITA SARTE JAVIER. Cambio de denominación social. PIEDRAFITA ASESORES SOCIEDAD LIMITADA.  Datos registrales. S 8 , H HU 15069, I/A 5 (25.05.26). 259778 - BASE REFRIGERACION SL. Ampliación de capital. Capital: 21.636,00 Euros. Resultante Suscrito: 58.898,75 Euros.  Datos registrales. S 8 , H HU 3491, I/A 5 (25.05.26). 259779 - PROMOCIONES MONBLAS SOCIEDAD LIMITADA. Otros conceptos: B22827935 - PROMOCIONES MONBLAS SOCIEDAD LIMITADA Otros co nceptos: RECTIFICADO el C.N.A.E. de la Actividad Principal del Objeto Social, esto es, el - 6812. Promoción inmobiliaria. Datos registrales.S 8, H HU 16133, I/A 3 Folio electrónico , Irus 1000459033574 ( 25/05/2026 ).  Datos registrales. S 8 , H HU 16133, I/A 3 (25.05.26). 259780 - GESTION DE RESIDUOS HUESCA SA. Ceses/Dimision | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-22.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  | BORME-A-2026-102-08 |  |  |  |  |  | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-03 |  | 258991 - EZRIC FREEMAN HOLDING SL. Constitución. Comienzo de operaciones: 27.03.26. Objeto social: a. La adquisición, tenencia, gestión, administración y enajenación de valores mobiliarios y participaciones sociales, tanto nacionales como extranjeras, por cuenta propia, quedando excluidas las actividades que la legislación especial y la Ley del Mercado de Valores reserven a las instituciones de i. Domicilio: PTDA ARMAIG - NAVE 4 (CALLOSA D'EN SARRIA). Capital: 3.000,00 Euros. Declaración de unipersonalidad. Socio único: GINER DE MORA QUIRZE. Nombramientos. Adm. Unico: GINER DE MORA QUIRZE.  Datos registrales. S 8 , H A 205946, I/A 1 (25.05.26). 258992 - INARO ELITE SYSTEMS SL. Nombramientos. Apoderado: CONESA SARRIA MARCOS.  Datos registrales. S 8 , H A 205886, I/A 2 (25.05.26). 258993 - ARMAG BUSINESS SOLUTIONS SL. Constitución. Comienzo de operaciones: 27.03.26. Objeto social: a. La adquisición, tenencia, gestión, administración y enajenación de valores mobiliarios y participaciones sociales, tanto nacionales como extranjeras, por cuenta propia, quedando excluidas las actividades que la legislación especial y la Ley del Mercado de Valores reserven a las instituciones de i. Domicilio: C/ PANAMA 16 - A (NUCIA (LA)). Capital: 3.000,00 Euros. Declaración de unipersonalidad. Socio único: ARBONA MAGRANER CARLOS. Nombramientos. Adm. Unico: ARBONA MAGRANER CARLOS.  Datos registrales. S 8 , H A 205950, I/A 1 (25.05.26). 258994 - MIRAMIND TECH SL. Cambio de domicilio social. C/ TRIDENTE 18 BAJA 2 (ALICANTE).  Datos registrales. S 8 , H A 181969, I/A 3 (25.05.26). 258995 - K&N ELITE BENIDORM SL. Constitución. Comienzo de operaciones: 30.04.26. Objeto social: 1. La intermediación en la compra, venta y alquiler de bienes inmuebles por cuenta de terceros; las actividades de asesoramiento y los servicios de tasación en relación con la compra y venta, o alquiler de bienes inmuebles, por cuenta de terceros; las actividades de agentes inmobiliarios neutrales q. Domicilio: AVDA MONT | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-03.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-18 |  | 259754 - VOLDISTRIBUCION GRANADA SOCIEDAD LIMITADA. Cancelaciones de oficio de nombramientos. Auditor: PRICEWATERHOUSECOOPERS AUDITORES SOCIEDAD LIMITADA. Nombramientos. Auditor: PRICEWATERHOUSECOOPERS AUDITORES SOCIEDAD LIMITADA.  Datos registrales. S 8 , H GR 22385, I/A 95 (25.05.26). 259755 - PUBLITROPIC SL. Ampliación de capital. Capital: 30.000,00 Euros. Resultante Suscrito: 33.006,00 Euros.  Datos registrales. S 8 , H GR 28824, I/A 3 (25.05.26). 259756 - ADMINISTRACION Y DEFENSA SLP. Transformación de sociedad. Denominación y forma adoptada: ADMINISTRACION Y DEFENSA SL. Sociedad unipersonal. Cambio de identidad del socio único: BARBARA PLEGUEZUELOS SEVILLA. Ceses/Dimisiones. Adm. Unico: PLEGUEZUELOS COBO ANTONIO. Nombramientos. Adm. Unico: BARBARA PLEGUEZUELOS SEVILLA. Modificaciones estatutarias. Se acuerda la perdida del caracter profesional Se modifican la totalidad de los estatutos sociales.-. Cambio de domicilio social. C/ INGLATERRA, 19 Ptl.A 18198 (HUETOR VEGA). Cambio de objeto social. La sociedada cambia su objeto a la Intermediación en: Asesoramiento Fiscal y Laboral. Administración de fincas.  Datos registrales. S 8 , H GR 65077, I/A 4 (25.05.26). 259757 - ADMINISTRACION Y DEFENSA SL. Cambio de denominación social. NEVADA ASESORES FISCAL Y LABORAL SOCIEDAD LIMITADA.  Datos registrales. S 8 , H GR 65077, I/A 5 (25.05.26). 259758 - FINCAS DE CASTRO Y JIMENEZ SOCIEDAD LIMITADA. Sociedad unipersonal. Cambio de identidad del socio único: ALEJANDRO MANUEL OCAÑA BARBERO. Ceses/Dimisiones. Adm. Unico: ALAMO LOPEZ JOSE. Nombramientos. Adm. Unico: ALEJANDRO MANUEL OCAÑA BARBERO.  Datos registrales. S 8 , H GR 52634, I/A 3 (25.05.26). 259759 - FINCAS DE CASTRO Y JIMENEZ SOCIEDAD LIMITADA. Otros conceptos: Extendida diligencia provisional de cierre de hoja, por periodo de seis meses al haberse expedido con fecha de hoy, certificación literal para traslado de domicilio a la provincia de MALAGA.-  Datos registrales. S 8 , H GR 52634, I/A 3 T (25.05.26). 259760 -  | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-18.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-24 |  | 259825 - TECNO MINERIA Y SUMINISTROS SL. Ceses/Dimisiones. Adm. Unico: FERNANDEZ CASANOVA MONICA. Nombramientos. Adm. Unico: GAVELA RODRIGUEZ JORGE.  Datos registrales. S 8 , H LE 26939, I/A 3 (25.05.26). 259826 - EXCARBI SL. Nombramientos. Apo.Sol.: NUEVA COMERCIALIZADORA ESPAÑOLA SL.  Datos registrales. S 8 , H LE 386, I/A 34 (25.05.26). 259827 - 29 DE AGOSTO SOCIEDAD LIMITADA. Ceses/Dimisiones. Adm. Solid.: SANTOS SANCHEZ CRISTINA;FERNANDEZ FERNANDEZ MARIA DOLORES. Nombramientos. LiquiSoli: SANTOS SANCHEZ CRISTINA;FERNANDEZ FERNANDEZ MARIA DOLORES. Disolución. Voluntaria. Extinción.  Datos registrales. S 8 , H LE 19735, I/A 3 (25.05.26). 259828 - GONZALEZ BARBADILLO SOCIEDAD LIMITADA. Ceses/Dimisiones. Adm. Solid.: GARCIA BARBADILLO MARIA CRISTINA;GONZALEZ GARCIA PABLO. Nombramientos. LiquiSoli: PABLO GONZALEZ GARCIA;GARCIA BARBADILLO MARIA CRISTINA. Disolución. Voluntaria. Extinción.  Datos registrales. S 8 , H LE 13687, I/A 3 (25.05.26). 259829 - BIERZO CHALET SL. Reapertura hoja registral.  Datos registrales. S 8 , H LE 11567, I/A 3 A (25.05.26). 259830 - HECSAR SIGLO XXI SOCIEDAD LIMITADA. Reapertura hoja registral.  Datos registrales. S 8 , H LE 21858, I/A 3 B (25.05.26). 259831 - EL TOMBO VALDEON SOCIEDAD LIMITADA. Constitución. Comienzo de operaciones: 31.03.26. Objeto social: Código CNAE de la actividad principal: 5510. - Hoteles y Alojamientos similares. - Servicios regulares de catering y otros servicios de comida. CNAE 5622; Servicios de bebidas. CNAE 5630; Restaurantes. CNAE 5611; - Explotación de otro ganado bovino y búfalos. CNAE 0142. Domicilio: C/ RAMON CRESPO, 17, CORDIÑANES DE VALDEON 24915 (POSADA DE VALDEON). Capital: 3.003,00 Euros. Nombramientos. Adm. Solid.: ALICIA FERNANDEZ GONZALO;DIANA FERNANDEZ GONZALO;RODRIGO FERNANDEZ GONZALO.  Datos registrales. S 8 , H LE 29922, I/A 1 (25.05.26). 259832 - ENTREBAMBALINAS CONSULTORIA SL. Constitución. Comienzo de operaciones: 9.04.26. Objeto social: Código CNAE de la actividad principal: 9020: Activi | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-24.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-12 |  | 259682 - MAESTRAZGO DISTRIBUCION ELECTRICA SL. Modificaciones estatutarias. Modificado el artículo 1º de los Estatutos Sociales como consecuencia de haberse refundido en un solo texto los nuevos ESTATUTOS SOCIALES que regirán la Sociedad de conformidad con el artículo 285 de la LSC.  Datos registrales. S 8 , H CS 37326, I/A 19 (19.05.26). 259683 - DOBLE PARED, S.L. Constitución. Comienzo de operaciones: 13.05.26. Objeto social: CNAE 4763 Comercio al por menor de artículos deportivos en establecimientos especializados, CNAE 4649 el comercio al por mayor de artículos de deporte, medallas, trofeos y bicicletas, CNAE 4642: Comercio al por mayor de prendas de vestir y calzado, CNAE 4791: la venta al por menor por correspondenci. Domicilio: C/ MOLINET 7 2 B (VILAVELLA (LA)). Capital: 3.000,00 Euros. Nombramientos. Adm. Unico: GIMENO FLORS ODIN.  Datos registrales. S 8 , H CS 51275, I/A 1 (25.05.26). 259684 - PANIPAN JI, S.L. Constitución. Comienzo de operaciones: 13.05.26. Objeto social: La fabricación, comercialización y distribución de pan, productos de panadería, galletas, confitería y cualquier otro producto de panadería y/o pastelería. La degustación de dichos productos en el establecimiento. La explotación de restaurantes, bares, cafeterías, puestos de comida, comida a domicil. Domicilio: CMNO LA PLANA 1 (CASTELLON DE LA PLANA). Capital: 3.000,00 Euros. Nombramientos. Adm. Unico: SUN XIA.  Datos registrales. S 8 , H CS 51276, I/A 1 (25.05.26). 259685 - PAMAJUJO SOCIEDAD LIMITADA. Ampliación de capital. Capital: 15.120,00 Euros. Resultante Suscrito: 856.968,00 Euros. Modificaciones estatutarias. Artículo de los estatutos: Modificado el artículo 5º de los estatutos sociales por ampliación del capital social .  Datos registrales. S 8 , H CS 45118, I/A 4 (25.05.26). 259686 - SASANIA PARTICIPACIONES, SOCIEDAD LIMITADA. Constitución. Comienzo de operaciones: 11.05.26. Objeto social: La instalación de sistemas de calefacción y aire acondicionado. Instalaciones eléctricas.  | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-12.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-02 |  | 258980 - DROMO GESTION 2026 SOCIEDAD LIMITADA. Constitución. Comienzo de operaciones: 8.05.26. Objeto social: La compraventa, transmisión y/o adquisición por cuenta propia de acciones y/o participaciones en entidades de todo tipo, tengan o no personalidad jurídica, así como la administración, dirección y gestión de dichas participaciones mediante la correspondiente organización de medios materiales y person. Domicilio: C/ MAYOR, 32 4º J 02001 (ALBACETE). Capital: 2.209.330,00 Euros. Nombramientos. Adm. Solid.: FERNANDEZ-PACHECO SANCHEZ ANDRES;FERNANDEZ-PACHECO SANCHEZ ANTONIO RAFAEL.  Datos registrales. S 8 , H AB 32299, I/A 1 (22.05.26). 258981 - LOGISTICA ALBARESA SOCIEDAD ANONIMA. Reelecciones. Adm. Solid.: AGUILAR CORCOLES SARA;AGUILAR CORCOLES FRANCISCO JAVIER.  Datos registrales. S 8 , H AB 16785, I/A 16 (25.05.26). 258982 - SERVICIOS AUXILIARES LIMITE24 SOCIEDAD LIMITADA. Cierre provisional hoja registral Art.485 TRLC. Insuficiencia de masa activa. Situación concursal. Procedimiento concursal 147/2026. FIRME: SI, Fecha de resolución 13/04/2026. Auto de declaración de concurso. Voluntario. Juzgado: num. 0 SECCION DE LO MERCANTIL DEL TRIBUNAL DE INSTANCIA DE ALBACETE. PLAZA Nº. 1. Juez: EVA MARTINEZ CUENCA. Resoluciones: 1.- Declarar en estado de CONCURSO SIN MASA a la entidad SERVICIOS AUXILIARES LIMITE 24 SOCIEDAD LIMITADA, con C.I.F. número B02596310 y con domicilio en la calle Velarde, número 43, bajo, de Albacete. 2.- El pasivo que resulta de la documentación presentada por la deudora es el siguiente: 37.142'16. Situación concursal. Procedimiento concursal 147/2026. FIRME: SI, Fecha de resolución 13/04/2026. Resoluciones acordando la intervención o suspensión de las factultades de administración y disposición del concursado. Juzgado: num. 0 SECCION DE LO MERCANTIL DEL TRIBUNAL DE INSTANCIA DE ALBACETE. PLAZA Nº. 1. Juez: EVA MARTINEZ CUENCA. Resoluciones: 1.- Declarar en estado de CONCURSO SIN MASA a la entidad SERVICIOS AUXILIARES LIMITE 24 SOCIEDAD LIMIT | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-02.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  |  |  |  |  | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
 | Spain | 2026-06-01 |  |  |  |  | Documento BORME-A-2026-102-15 |  | 259728 - INICIATIVAS TURISTICAS GALLEGAS SL(R.M. SANTIAGO DE COMPOSTELA). Ceses/Dimisiones. Adm. Unico: RODRIGUEZ FERNANDEZ MANUEL DOMINGO. Nombramientos. Adm. Mancom.: RODRIGUEZ FERNANDEZ MANUEL DOMINGO;GARCIA IGLESIAS TITA. Otros conceptos: Cambio del Organo de Administración: Administrador único a Administradores mancomunados.  Datos registrales. S 8 , H SC 8878, I/A 7 (25.05.26). 259729 - INICIATIVAS TURISTICAS GALLEGAS SL(R.M. SANTIAGO DE COMPOSTELA). Revocaciones. Apo.Sol.: FERNANDEZ RIVERA BEATRIZ;SAMPEDRO FERNANDEZ ANA MARIA. Nombramientos. Apo.Sol.: GARCIA IGLESIAS TITA;RODRIGUEZ FERNANDEZ MANUEL DOMINGO;FERNANDEZ RIVERA BEATRIZ;SAMPEDRO FERNANDEZ ANA MARIA.  Datos registrales. S 8 , H SC 8878, I/A 8 (25.05.26). 259730 - AQUADRIVE BARBANZA SL(R.M. SANTIAGO DE COMPOSTELA). Constitución. Comienzo de operaciones: 13.05.26. Objeto social: La Sociedad tendrá por objeto: -Compraventa, alquiler y reparación de vehículos terrestres y marítimos. -Actividades acuáticas. -Hibernaje de embarcaciones y almacenaje de vehículos. El CNAE de la actividad principal es: 4781. Las actividades indicadas podrá realizarlas la sociedad bien por sí misma. Domicilio: C/ CARLOS CASARES, 10 2º D 15960 (RIBEIRA). Capital: 3.000,00 Euros. Declaración de unipersonalidad. Socio único: DEL NACIMIENTO ROMERO DAVID. Nombramientos. Adm. Unico: DEL NACIMIENTO ROMERO DAVID.  Datos registrales. S 8 , H SC 54573, I/A 1 (25.05.26). 259731 - LUNAS COMPOSTELA SL(R.M. SANTIAGO DE COMPOSTELA). Declaración de unipersonalidad. Socio único: MARTIN CASATI JUAN MANUEL.  Datos registrales. S 8 , H SC 45217, I/A 7 (25.05.26). 259732 - LUNAS COMPOSTELA SL(R.M. SANTIAGO DE COMPOSTELA). Modificaciones estatutarias. Artículo de los Estatutos : Artículo 2.- OBJETO SOCIAL.- La Sociedad tiene por objeto: Comercio no especializado al por mayor de toda clase de artículos y mercancías, incluye actividades como el comercio, tanto mayorista como minorista, de mercancías, distribución de productos diversos, venta, tanto  | https://www.boe.es/borme/dias/2026/06/01/pdfs/BORME-A-2026-102-15.pdf | 1781748515029020 | 0973da3d-e478-418b-b36b-a8f7bdd7927d | 2026-06-01 | 2026-01-01 | intl_es_borme
