story_id	bin	confidence	novelty	grade	pre_known	post_cutoff	earliest	news_match	deciding_types	what_we_add	headline
S001	Matched + more	medium	none	A	control	False	2021-04-14	True	news	$20.58M filed as lobby 'media' spending under one lobbyist (Abboud) across 62 monthly reports; 2.5x all other Texas lobbyists combined (70-71% share); about 4x Sands' ~$5.1M federal lobby fees in the same months	"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all o"
S007	Matched + more	medium	none	B	control	False	2026-05-27	False	company	31 of 282 active San Antonio hospice IDs (11.0%) in farms vs 0.53% elsewhere; Houston 4-7%, California 3.3%	"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one ad"
S024	Matched + more	medium	3	narrowed	lead_cites_press	False	2024-06-21	True	news,trade press	27 ex-clients moved to four Nigerian audit firms; the 218 base split into 143 re-audited (54 one-partner, 72 two-to-five-partner, 17 bigger firms) and 75 with no later audit	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75
S032	Unreported	medium	4	narrowed	blind	False		False			San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medica
S044	Matched + more	low	2	unchecked	blind	False	2023-04-12	True	research,trade press	the rise: 19% of changes in 2000-04 to 64% from 2010 on; Medtronic defibrillator line P980016 with 928 changes, 621 of them 30-day notices	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, ro
S055	Matched	high	1	unchecked	blind	False	2018-05-07	False	government,research		Black home buyers were denied about twice as often as white buyers at every big 2017 mortg
S075	Known pattern	high	3	narrowed	blind	False		False	government		The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwau
S092	Matched + more	low	1	unchecked	blind	False	2022-03-09	False	research	toxic-release plants per 100 km2 by grade (D 13.35, C 5.82, B 2.21, A 0.07); D six times B; D denser than B in 119 of 212 cities	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, si
S103	Known pattern	high	2	B	lead_cites_press	False		False	research,trade press		Generic makers Teva, Actavis and Mutual filed about 15,500 lawyer-sourced metoclopramide (
S105	Known pattern	medium	4	B	blind	False		False	government		Medicare's ordering list still clears 83% of recently deactivated clinicians to order equi
S106	Known pattern	medium	2	B	blind	False		False	research,trade press	944 homes; 0.28 stars below same-state for-profit peers; 52% one- or two-star, 8 points above peers; median home 0.42 stars below	944 for-profit nursing homes with operating companies formed 2022 to Sept 2024 rate 0.28 s
S116	Matched + more	high	3	B	blind	True	2026-03-24	True	news	raised $0 from donors; the $1M check is the biggest from any dormant campaign committee in 2025-26 (next $215K); check dates 2025-10-27 and 2026-07-15	Sean Duffy's old House fund raised $0 from donors but gave $1.5M to Northwoods Future PAC,
S124	Matched + more	medium	2	B	blind	False	2024-04-07	True	news,trade press	16 of 38 federal-government appeals in 2021-24 vs 1 of 26 in 2015-20; other 11 regional circuits steady at about 12%; SCOTUS cases per 1,000 5th Circuit appeals 0.57 to 1.50	16 of 38 Supreme Court cases from the 5th Circuit in 2021-24 were federal-government appea
S139	Contradicted	high	2	B	blind	False	2026-01-28	False	government,news	second of 86 plants; notices on 133 days; peers' median 28 formal actions per 100 notices; Phillips 66 Rodeo 213 notices	Tesla's Fremont plant drew 356 Bay Area air violation notices since 2019, second of 86 pla
S140	Matched + more	high	3	B	blind	False	2022-02-23	True	government,news	"the 2020-23 comparison, 641 ""Squaw"" names changed vs at least 41 ""Negro"" or n-word ones; 105 names with the n-word listed as an older name"	"438 place names still say ""Negro""; in 2020-23, 641 ""Squaw"" names changed vs at least 41 ""N"
S168	Matched + more	high	3	B	blind	False	2025-07-25	True	news	339 regular vacancies of 1,473 units; highest of 91 similar non-Moving-to-Work authorities, 5.9x their 3.9% median; almost half at Stanley Holmes Village, 50% occupied	339 of Atlantic City's 1,473 public housing units sit empty without an approved reason: 23
S171	Known pattern	high	4	B	blind	False		False	news,research	29 of 66 (44%) one-bidder works tenders, highest of 24 provinces; $13.4M of $28.8M; one $6.3M Quevedo contract	In Ecuador's Los Ríos province, 29 of 66 town-hall public-works tenders drew one bidder; a
S192	Unreported	high	none	C	blind	False		False		a third missed by 13+ days; China/HK small issuers trail other small foreign issuers by 12 points	A third of small, non-exempt US-listed foreign companies missed a new March 2026 insider-s
S195	Known pattern	medium	none	C	blind	False		False	news,research	$8.57M out from 189 committees in the 2024 cycle; 19.4% to candidates, parties and PACs (23.5% with loan repayments)	189 old campaign funds paid out $8.57M in the 2024 cycle; 19% went to candidates, parties 
