story_id	bin	confidence	novelty	grade	pre_known	post_cutoff	earliest	news_match	deciding_types	what_we_add	headline
S001	Matched + more	high	none	A	control	False	2021-04-14	True	news	$20,575,810.66 across 62 monthly lobby reports filed under Andy Abboud, May 2021-Jun 2026; 70-71% of all Texas lobby media spending (everyone else $8.26M); about 4x Sands' federal lobby fees	"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all o"
S007	Known pattern	medium	none	B	control	False		False	government,news		"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one ad"
S024	Matched + more	medium	3	narrowed	lead_cites_press	False	2024-06-21	True	news,trade press	27 ex-clients at four Nigerian audit firms; 54 at one-partner firms, 72 at 2-5 partner firms, 17 at bigger firms; 75 of 218 with no later audit	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75
S032	Unreported	medium	4	narrowed	blind	False		False			San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medica
S044	Not comparable	low	2	unchecked	blind	False		False	trade press	the 19% (2000-04) to 64% (2010 on) rise; Medtronic defibrillator line P980016 with 928 changes, 621 of them 30-day notices	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, ro
S055	Matched	medium	1	unchecked	blind	False	2018-05-07	False	government,research		Black home buyers were denied about twice as often as white buyers at every big 2017 mortg
S075	Known pattern	high	3	narrowed	blind	False		False	government	$2,574 a unit a month for White Birch; 223% of fair rent for its bedroom mix; highest ratio of any 100+ unit building in a cheap market outside Puerto Rico	The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwau
S092	Matched + more	medium	1	unchecked	blind	False	2022-03-09	False	research	TRI plants per 100 km2 by grade: D 13.35, C 5.82, B 2.21, A 0.07; D denser than B in 119 of 212 cities	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, si
S103	Matched + more	medium	2	B	lead_cites_press	False	2012-04-05	True	company,research,trade press	The filers by name (Teva, Actavis, Mutual); about 15,500 lawyer-sourced reports = 91% of the generic's reports; 9,089 in Apr-Sep 2011 vs about 16 a quarter in 2004-2009	Generic makers Teva, Actavis and Mutual filed about 15,500 lawyer-sourced metoclopramide (
S105	Known pattern	medium	4	B	blind	False		False	government,trade press	1,036 of 1,247 recently deactivated 2024 Part B billers still flagged Y for equipment (power wheelchairs 71%) vs 2 of 1,040 older deactivations; sister list carries 10 of the 1,247	Medicare's ordering list still clears 83% of recently deactivated clinicians to order equi
S106	Known pattern	medium	2	B	blind	False		False	government,research,trade press	944 homes; 0.28 stars below same-state for-profit peers; 52% one- or two-star, 8 points above peers; median home 0.42 stars below	944 for-profit nursing homes with operating companies formed 2022 to Sept 2024 rate 0.28 s
S116	Matched + more	high	3	B	blind	True	2026-03-24	True	news	$0 raised from donors; check dates 2025-10-27 and 2026-07-15; the $1M check is the biggest from any dormant campaign committee in 2025-26 (next: $215K)	Sean Duffy's old House fund raised $0 from donors but gave $1.5M to Northwoods Future PAC,
S124	Matched + more	low	2	B	blind	False	2023-03-31	True	trade press	16 of 38 5th Circuit Supreme Court cases in 2021-24 were federal-government appeals vs 1 of 26 in 2015-20; other 11 circuits flat at about 12%; Supreme Court cases per 1,000 5th Circuit appeals 0.57 to 1.50	16 of 38 Supreme Court cases from the 5th Circuit in 2021-24 were federal-government appea
S139	Contradicted	medium	2	B	blind	False	2026-06-10	False	government,news	rank: second of 86 Bay Area plants; notices written on 133 days; peers' median of 28 formal actions per 100 notices; Phillips 66 Rodeo 213 notices with no formal action	Tesla's Fremont plant drew 356 Bay Area air violation notices since 2019, second of 86 pla
S140	Matched + more	medium	3	B	blind	False	2022-02-23	True	government,news	"438 names now (426 current, 12 historical); 105 list the n-word as an older name; 2020-23 renamings: 641 ""Squaw"" vs at least 41 ""Negro"" or n-word"	"438 place names still say ""Negro""; in 2020-23, 641 ""Squaw"" names changed vs at least 41 ""N"
S168	Matched + more	high	3	B	blind	False	2025-07-25	True	news	339 'regular' vacancies (no approved reason) of 1,473 units, 23.0%; highest of 91 similar-size non-MTW authorities, 5.9x their 3.9% median; almost half at Stanley Holmes Village, 50% occupied	339 of Atlantic City's 1,473 public housing units sit empty without an approved reason: 23
S171	Known pattern	high	4	B	blind	False		False	news,research	Los Rios 29 of 66 works tenders one-bidder (44%), top of 24 provinces; $13.4M of $28.8M; $6.3M in one Quevedo contract	In Ecuador's Los Ríos province, 29 of 66 town-hall public-works tenders drew one bidder; a
S192	Known pattern	low	none	C	blind	False		False	trade press	a third of small non-exempt foreign issuers filed 13+ days late; China/HK trail other small foreign issuers by 12 points; gap not significant against non-Israel peers (p = 0.08) or Asian/US/Australian peers (p = 0.53)	A third of small, non-exempt US-listed foreign companies missed a new March 2026 insider-s
S195	Known pattern	medium	none	C	blind	False		False	news,research	$8,569,194.71 out from 189 committees in the 2024 cycle (median $1,794.61); 19.4% to candidates, parties and PACs (23.5% with loan repayments), not 2.1%	189 old campaign funds paid out $8.57M in the 2024 cycle; 19% went to candidates, parties 
