lead_id	story_id	section	grade	verdict	novelty_guess	headline
1	S001	dossier	A	confirmed		"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all other lobbyists combined"
2	S002	dossier	B	narrowed		Reliant Care's 30 Missouri nursing homes log 35% fewer nurse hours and 3.8x the harm citations per bed
3	S003	dossier	B	narrowed		Grain Processing's Iowa corn mill failed smokestack tests 49 days in 2015-25, no state order; Indiana twin: 7 orders
4	S004	dossier	B	narrowed		In 2024, 20 clinicians billed Medicare $1.13B for skin-substitute wound patches; the makers reported paying them only $76,937
5	S005	dossier	B	narrowed		19 police, fire, veteran and cancer-named political groups spent about $194M, mostly on fundraisers; $0.36M went to contributions
6	S006	dossier	B	narrowed		Two mail-order suppliers took $593.6M of the $649.2M Medicare paid for one kind of wound dressing (alginate) in 2024
7	S007	dossier	B	narrowed		"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one address. Elsewhere: 0.5%"
8	S008	dossier	B	narrowed		Counties flooded with opioid pills in 2006-12 had 2x the overdose death rate in 2019-24, and were already dying faster
9	S006	menu		narrowed	4	Two suppliers, Sunshine Senior Solutions and Almaz Med Supply, took 91% of Medicare's $649M for alginate wound dressings in 2024
10	S004	menu		narrowed	3	Medicare approved $96.8M of skin-substitute wound grafts from one Bakersfield surgeon, Ravi Kapadia, for 28-35 patients in 2024
11	S009	menu		narrowed	4	Phoenix's weather office logged 63% of the heat deaths in the federal storm file, then stopped filing heat after June 2024
12	S010	menu		narrowed	3	SpaceX sites ran 3.2x their industry's injury rate in 2025, a third straight year; Ford about 1.9x big automakers
13	S005	menu		narrowed	3	19 police, fire, veteran and cancer political groups (527s) spent about $195M since 2014, three-quarters on telemarketers and fundraisers
14	S011	menu		confirmed	4	One urgent-care chain, Fast Pace, holds 189 of 731 new for-profit rural health clinics opened after the 2021 pay law
15	S012	menu		narrowed	3	Share of ICE jail-hold requests (detainers) on people with a criminal conviction fell from 43% to 16%, FY23 to FY26
16	S008	menu		confirmed	2	Counties that got the most opioid pills in 2006-12 had 2-2.7x the overdose death rate in 2019-24
17	S013	menu		narrowed	3	Federal car-safety regulators' Nissan Rogue phantom-braking probe has sat open 7 years, no recall; the typical probe takes 234 days
18	S001	menu		confirmed	3	Las Vegas Sands reported $20.58M of Texas lobby 'media' spending in 2021-26, 69% of all 108 filers
19	S014	menu		narrowed	3	New Mexico police cleared 22-23% of homicides in 2022-23, lowest in the nation, against 56% nationally
20	S015	menu		narrowed	3	People arrested 2+ years after arriving had ICE bond posted 7% of the time in Louisiana, 29% in Pennsylvania
21	S016	menu		narrowed	4	Nebraska air regulators filed zero formal enforcement actions 2017-2025; none of 17 serious violations from 2017-21 is resolved
22	S017	menu		narrowed	4	Three people on the federal health-fraud ban list are listed owners of six LA home health agencies
23	S007	menu		narrowed	4	12 San Antonio hospices are numbered CFHC NO4 to NO22; 8 incorporated the same day, 6 sit in one building
24	S007	menu		narrowed	4	Five hospices share Suite 610 at one Houston address, Rooms A-E, all certified within 8 weeks in 2023
25	S018	menu		narrowed	3	Judge Gilstrap was assigned 183 cases naming Apple, Microsoft, AT&T or Walmart while holding their stock
26	S019	menu		narrowed	3	553 water permits broke pollution limits in 36+ of 40 quarters; 84 never had a formal enforcement action
27	S020	menu		confirmed	2	US rail trespasser deaths rose 26% to 838 from 2017 to 2025 while other rail casualties fell
28	S021	menu		narrowed	4	$79,647 of lobbyist-paid private air and hotel: a New York trip with Sen. Angela Paxton and three Texas House members
29	S008	menu		narrowed	2	One Knoxville Food City pharmacy bought 13.8M strong oxycodone pills in 2006-12, most of any US pharmacy
30	S022	menu		narrowed	4	40 big California water systems serving 4.2M people have no full sanitary inspection on EPA's file in 5 years
31	S023	menu		unchecked	3	Dow's Plaquemine, Louisiana plant reported 34,369 lb of ethylene oxide air release in 2023, 21% of the US total
32	S003	menu		narrowed	3	30 of 44 Iowa plants that failed 3+ smokestack tests since 2015 got no formal enforcement: 68% vs 16% typical
33	S024	menu		narrowed	3	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75 show no later audit
34	S025	menu		narrowed	3	Where EPA found hazardous-waste violations, Illinois state inspectors of the same site wrote one up 15.5% of the time
35	S026	menu		narrowed	3	Sen. Markwayne Mullin filed 48 stock trades from 2023-24 in summer 2025; 46 were over a year late
36	S010	menu		confirmed	2	Ford's truck plants logged 10.6 injuries per 100 workers in 2023-24, against about 5.5 at other vehicle makers
37	S027	menu		narrowed	2	Doctors paid $10K+ by drug companies wrote prescriptions costing 1.2-5.6x more per claim, more brand-name in all 7 specialties
38	S028	menu		unchecked	2	The UK sanctions 358 Russia shadow-fleet ships the US doesn't; 309 were listed in 2024-25
39	S029	menu		narrowed	2	634 poor-condition dams whose failure could kill people have no emergency plan, about 300 more than expected
40	S002	menu		narrowed	2	Reliant Care Management's Missouri nursing homes draw 3.4x the harm citations per bed of other Missouri homes
41	S030	menu		unchecked	4	Bankruptcy lawyers' groups paid for 41% of bankruptcy judges' trips in 2011-19, against 0.7% for other federal judges
42	S031	menu		narrowed	3	Illinois flags 30% of its nursing homes for abuse, three times the 9% rate everywhere else
43	S032	menu		narrowed	4	San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medicare patients in 2022, most of any NP
44	S033	menu		narrowed	3	Only 1 of 67,777 federal-grant auditees had survival doubts and rule-breaking flagged 10 years straight: Lower Brule Sioux Tribe
45	S034	menu		narrowed	4	25 senior and disabled housing nonprofits on HUD money kept filing federal audits years after the IRS revoked their exemption
46	S035	menu		unchecked	4	54 high-overdose, high-jail counties got $45 per person of federal addiction-agency money in 2019-25, half their peers' $92
47	S036	menu		narrowed	4	Nursing-home dialysis brands run 18 of 26 rated clinics flagged worse on survival, but only 9% worse than peers
48	S037	menu		narrowed	3	California family therapists opted out of Medicare at 37%, 3.5 times the rate of California social workers
49	S038	menu		confirmed	2	27% of 919 nonprofit hospitals paid one officer more than their whole 2022 charity-care cost
50	S039	menu		narrowed	3	193 providers on the federal health-fraud ban list took about $166K from drug companies in 2024
51	S040	menu		narrowed	3	loanDepot denied 74% of refinance applications in 2015-17 but only 8% of home-purchase ones
52	S041	menu		unchecked	3	All 11 Justice Department Epstein data-set pages lost their 'Download all files' link between Jan 30 and Feb 9, 2026
53	S041	menu		unchecked	3	11 Justice Department Epstein court-record pages that named plaintiffs were renamed to name-free copies Feb 22-25, 2026
54	S042	menu		unchecked	3	Eight coal-mine owners logged 900-1,960 serious safety violations per 1,000 miners in 2018-24
55	S043	menu		narrowed	3	Roosevelt Cayman Asset Company filed a third of Puerto Rico's federal foreclosures in 2015-25; 52% ended in default judgment
56	S044	menu		unchecked	2	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, rose from 19% to 64%
57	S045	menu		unchecked	2	Rural jails now lock up 2.5 times the urban rate: 563 vs 227 per 100,000 working-age residents in 2023
58	S002	menu		unchecked	3	Charity care fell from $58.1M to $31.4M a year at 11 hospitals Prime Healthcare took over
59	S046	menu		unchecked	3	One pension plan (EIN 822871833) is 25.8% funded with $95.4M unpaid; Transit Management of Southeast Louisiana shows $79.5M unpaid
60	S047	menu		unchecked	3	92 political committees each raised $1M+ from individuals in 2024 ($580M total) but passed under 10% to candidates or ads
61	S048	menu		narrowed	3	About 89 active Texas major air polluters have had no full compliance inspection in 5+ years; New Mexico is worse
62	S049	menu		unchecked	3	Aircraft Guaranty Corp's trustee arm holds 364 live US plane registrations and added 38 in 2024-26, after 1 in 2021-23
63	S050	menu		narrowed	3	Serious water-system defects found before 2022 are still unfixed in 19% of West Virginia cases, against 3% elsewhere
64	S051	menu		unchecked	1	For-profit nursing homes: 3.70 staff hours per resident a day vs 4.40 at nonprofits; fines $320 vs $205 a bed
65	S052	menu		confirmed	2	Five firms at one Newington, Connecticut, address won $13.35M in 41 small-business research awards; the Air Force barred all five
66	S053	menu		narrowed	4	Barred landlord Amerihost Services drew $1.54M in federal Section 8 rent subsidy in 27 payments during its 2021-26 ban
67	S054	menu		unchecked	4	US companies registered through Bloomberg refuse to name their ultimate owner 5.7% of the time; other registrars, 2.3%
68	S055	menu		unchecked	1	Black home buyers were denied about twice as often as white buyers at every big 2017 mortgage lender
69	S056	menu		confirmed	1	NYC's 2025 mayor race: one committee, Fix the City, took $35.6M from 381 gifts; Mamdani raised $4.03M from 54,103
70	S010	menu		confirmed	1	SpaceX logged 2.8x the injury rate of other spacecraft makers in 2023-24 while holding $5.8B in federal contracts
71	S057	menu		unchecked	1	706 finished US drug and device trials, 8.6% of those the law covers, never posted results: 152,850 patients
72	S058	menu		narrowed	2	Among diabetes shots, doctors paid only by Novo (Ozempic's maker) chose Ozempic 54% of the time; unpaid doctors 41%
73	S059	menu		narrowed	2	Elgin, Illinois, tests at 53 parts per billion of lead; about 17 big water systems are over the limit now
74	S060	menu		unchecked	2	Nevro's spinal-cord stimulator has 168 death reports out of 737 (22.8%); similar devices run 0.18%
75	S061	menu		unchecked	2	56,159 rural apartments in federal farm-agency housing opened by 1980 have no live low-rent clause; 35,324 get rent help
76	S062	menu		unchecked	2	ACNR's underground coal mines logged 11.1 injuries per 100 workers a year, 2018-24; other big owners ran 2.2 to 8.8
77	S063	menu		unchecked	2	5,362 company officers and directors match $555M of federal campaign gifts by name, state and employer
78	S064	menu		narrowed	4	Sea Robin pipeline's 2025 gas-loss reports reuse one number, 1,587,069, whole, halved and split three ways
79	S010	menu		narrowed	2	Bath Iron Works shipyard logged 10-13 injuries per 100 workers, while other big warship yards ran 1.1-1.4x their peers
