story_id	lead_ids	primary_lead	headline	number	grade	verdict	novelty_guess	pre_known	sections	tables	watch_out	frozen_sha1
S001	1,18	1	"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all other lobbyists combined"	$20,575,810.66 over 62 monthly reports by one lobbyist, Andy Abboud, May 2021-Jun 2026: 70-71% of all Texas lobby media (everyone else $8.26M), about 4x Sands' ~$5.1M federal lobby fees in the same months	A	confirmed	3	press_checked_2026-09-24	dossier,menu	`LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER`, `LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_INDIVIDUAL_REPORTING`, `LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS`	"Abboud is a Sands employee (general knowledge, unchecked), so this may be Sands' own ad campaign filed under his name; don't write ""a lobbyist spent."""	2e68a9cb5656
S002	2,40,58,121,169	2	Reliant Care's 30 Missouri nursing homes log 35% fewer nurse hours and 3.8x the harm citations per bed	2.16 vs 3.35 nurse hours per resident per day against other Missouri for-profit homes; 4.67 vs 1.23 harm citations per 100 beds (3.8x); fines $117,358 vs $27,138 per 100 beds (4.3x)	B	narrowed	2	press_checked_2026-09-24	deep3,dossier,menu	`LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS`, `LIBRARY_RAW.LANDING.FED_CMS_SNF_OWNERSHIP`	Those 4 worst-list homes hold 76 of 141 harm citations; without them harm and fines are 2.5x, not 3.8x/4.3x. And it's 30 homes, not 31.	1ff7a1f7cf45
S003	3,32	3	Grain Processing's Iowa corn mill failed smokestack tests 49 days in 2015-25, no state order; Indiana twin: 7 orders	Muscatine IA 49 failed-test days (#1 of 29 big US wet corn mills), 36 violations, 0 orders; Washington IN 20 days, 7 Indiana orders, $687,030. Statewide 2015-25: Iowa 19 state air orders, Indiana 572	B	narrowed	3		dossier,menu	`LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES`, `LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS`, `LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY`, `LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS`, `LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY`	The gap mirrors the two states, not this plant: Iowa barely files air orders at all. Split the Indiana mills' own 22 orders ($898,842) from EPA's 3 ($1.8M).	e3e50e92f783
S004	4,10,129	4	In 2024, 20 clinicians billed Medicare $1.13B for skin-substitute wound patches; the makers reported paying them only $76,937	$1,126,228,007 billed by the top 20 in 2024 vs $76,937 in maker payments 2022-24 ($63,088 of it Organogenesis to Ravi Kapadia); 6 Arizona nurse practitioners billed only Impax, $124.0M (68.6% of all Impax)	B	narrowed	3		deep3,dossier,menu	`LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022`, `LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS`, `LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL`, `LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS`	Denny (#20) and Palacios (#32, not top 20) tie to those Phoenix cases by surname and filing date only, and the charge is general fraud conspiracy, not health fraud.	6eb6ba36baa1
S005	5,13	5	19 police, fire, veteran and cancer-named political groups spent about $194M, mostly on fundraisers; $0.36M went to contributions	$193.7M by the groups' own IRS totals, 2014 to mid-2026 (itemized rows say $198.6M); 58% labelled fundraising or caging, 74% with telemarketing and mail; their donors are 15-74% of 13 look-alike FEC PACs' donor lists vs 6-9% for peer PACs	B	narrowed	3		dossier,menu	`LIBRARY_MARTS.FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES`, `LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8872_REPORTS`, `LIBRARY_MARTS.FINANCE.FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS`, `LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS`, `LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES`, `LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY`, `LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES`	"The PACs' ""7% to politics"" is partly outside-spending paid to lead-list, caging and payment-processing vendors, so it overstates real support for candidates."	f5464a6f03ad
S006	6,9	6	Two mail-order suppliers took $593.6M of the $649.2M Medicare paid for one kind of wound dressing (alginate) in 2024	$593,632,181 of $649,233,082 (91.4%); one claim per patient a year, carrying 494 dressings (Sunshine Senior Solutions) and 359 (Almaz Med Supply) vs 55 per claim elsewhere; 5-11x peers per patient	B	narrowed	4		dossier,menu	`LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES`	"Almaz is on no ban list, and its absence from Medicare's enrollment file (PECOS) is normal for new big billers, so it proves nothing; drop ""1.35 a day."""	dcbee2554c1c
S007	7,23,24	7	"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one address. Elsewhere: 0.5%"	31 of 282 active San Antonio hospice IDs (11.0%) vs 0.53% outside California, Houston and San Antonio; Houston 4-7%, California 3.3%; Houston's Suite 610 five trace to two signers, in a building holding 14 hospice IDs since 2008	B	narrowed	4	press_checked_2026-09-24	dossier,menu	`LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPICE`, `LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS`	No hospice payment data exists in the warehouse, so nothing shows any of these IDs billed Medicare a dollar; and the signer isn't necessarily the owner.	fc6b5f48bceb
S008	8,16,29	8	Counties flooded with opioid pills in 2006-12 had 2x the overdose death rate in 2019-24, and were already dying faster	40.8 vs 20.2 overdose deaths per 100k, 2019-24, across 1,832 counties of 20K+ people (2.0x; holds at 1.9-2.1x); Knox County TN #27 of 1,832 at 74.5; Food City #674 took 31% of Knox's 30mg+ oxycodone	B	narrowed	2		dossier,menu	`LIBRARY_MARTS.HEALTH.HEALTH__FED_DEA_ARCOS`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY`, `LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY`, `LIBRARY_MARTS.CORE.DIM_COUNTY`	Drop the AmerisourceBergen hook: it was the chain's normal wholesaler, and every distributor shipped these stores a strong mix. Split 30mg immediate-release from extended-release.	ded323e4cc6c
S009	11	11	Phoenix's weather office logged 63% of the heat deaths in the federal storm file, then stopped filing heat after June 2024	1,345 of 2,145 US direct heat deaths in 2018-23 came from the Phoenix office; national direct heat deaths went 557 (2023), 250 (2024), 99 (2025), and without Phoenix they still halved, 205 to 98.		narrowed	4		menu	`ENVIRONMENT__FED_NOAA_STORM_EVENTS`	The drop is paperwork, not fewer deaths: Phoenix copied Maricopa County's counts from 2018 on and then stopped, and Tucson and Las Vegas moved deaths from direct to indirect in 2025.	623797fc9939
S010	12,36,70,79	12	SpaceX sites ran 3.2x their industry's injury rate in 2025, a third straight year; Ford about 1.9x big automakers	SpaceX's own sites 3.2x their industry (3.6x in 2024); Bath Iron Works 2.7x (3.0x); Ford 11.4 cases per 100 workers vs GM 6.5, Honda 6.8, Tesla 5.9, Toyota 5.2, about 1.9x.		narrowed	1		menu	`LABOR__FED_OSHA_ITA_300A_SUMMARY_2025`, `LABOR__FED_OSHA_ITA_300A_SUMMARY_2024`	"Name tags catch contractors (SpaceX janitors and valet crews), ""Ingalls"" was really Newport News, and this updates F-035 to F-037 rather than finding something new."	2c47358893db
