COMPANY_NAME,EIN,CIK,SIC,LATEST_FY,ESTABLISHMENTS,EMPLOYEES,HOURS,TOTAL_CASES,DEATHS,INJURY_RATE_PER_100_FTE,SEC_FILINGS,INSIDER_FILINGS,FORM4_FILINGS,LATEST_INSIDER_FILING
WEYERHAEUSER CO,910470860,106535,6798,2024,51,6359,12871765,147,0,2.28,8,19,19,2026-03-03
"CHARLOTTE'S WEB HOLDINGS, INC.",981508633,1750155,0100,2024,1,144,263806,3,0,2.27,8,2,1,2026-01-05
VALMONT INDUSTRIES INC,470351813,102729,3440,2024,75,6999,15173066,172,0,2.27,8,10,8,2026-03-20
TIMKEN CO,340577130,98362,3562,2024,12,2525,4857954,55,0,2.26,8,45,44,2026-03-16
GRACO INC,410285640,42888,3561,2024,10,2312,4420794,50,0,2.26,8,38,38,2026-02-17
"FOOT LOCKER, INC.",133513936,850209,5661,2024,1,550,1151472,13,0,2.26,8,0,0,
YORK WATER CO,231242500,108985,4941,2024,1,128,266240,3,0,2.25,8,8,8,2026-03-17
GENERAL ELECTRIC CO,140689340,40545,3600,2024,6,3734,7199266,81,0,2.25,9,19,19,2026-03-04
HORMEL FOODS CORP /DE/,410319970,48465,2011,2024,7,3416,7251894,81,0,2.23,8,16,14,2026-03-20
"CAESARS ENTERTAINMENT, INC.",463657681,1590895,7011,2024,1,552,810605,9,0,2.22,8,36,36,2026-02-19
V F CORP,231180120,103379,2320,2025,1,155,361405,4,0,2.21,8,4,4,2026-03-31
DATA I/O CORP,910864123,351998,3825,2024,1,52,91336,1,0,2.19,8,0,0,
MODINE MANUFACTURING CO,390482000,67347,3714,2025,14,3566,7163557,78,0,2.18,8,6,6,2026-03-26
BIOLIFE SOLUTIONS INC,943076866,834365,3845,2024,1,120,184931,2,0,2.16,8,33,33,2026-03-31
"MILLERKNOLL, INC.",380837640,66382,2520,2025,5,3570,5845453,63,0,2.16,8,11,10,2026-02-17
DAWSON GEOPHYSICAL CO,742095844,799165,1382,2024,1,210,372141,4,0,2.15,8,1,1,2026-01-05
JABIL INC,381886260,898293,3672,2024,12,3030,5420452,58,0,2.14,8,21,18,2026-03-25
"CENCORA, INC.",233079390,1140859,5122,2024,10,1202,2360120,25,0,2.12,8,20,18,2026-03-13
HEWLETT PACKARD ENTERPRISE CO,473298624,1645590,3570,2024,3,426,850500,9,0,2.12,8,5,5,2026-03-27
LINCOLN ELECTRIC HOLDINGS INC,340359955,59527,3540,2024,7,3709,6782527,72,0,2.12,8,19,18,2026-03-19
TORO CO,410580470,737758,3524,2024,16,2918,5985492,63,0,2.11,7,7,7,2026-03-26
NATURAL ALTERNATIVES INTERNATIONAL INC,841007839,787253,2833,2025,4,294,381659,4,0,2.10,9,12,12,2026-03-10
LIMONEIRA CO,770260692,1342423,0100,2024,2,195,380251,4,0,2.10,8,11,10,2026-03-26
MANNKIND CORP,133607736,899460,2834,2024,1,262,575171,6,0,2.09,8,15,15,2026-03-25
WEST PHARMACEUTICAL SERVICES INC,231210010,105770,3841,2024,1,258,480771,5,0,2.08,8,17,17,2026-03-03
BLOOM ENERGY CORP,770565408,1664703,3620,2024,1,679,1255212,13,0,2.07,8,19,19,2026-03-20
MCKESSON CORP,943207296,927653,5122,2025,58,15203,30390837,315,0,2.07,8,8,8,2026-03-04
CTS CORP,350225010,26058,3672,2024,1,245,485230,5,0,2.06,8,13,12,2026-02-26
MYERS INDUSTRIES INC,340778636,69488,3089,2024,1,6,391168,4,0,2.05,8,8,6,2026-03-18
"CHEFS' WAREHOUSE, INC.",203031526,1517175,5141,2024,1,134,1768230,18,0,2.04,8,18,18,2026-03-06
"OMNICELL, INC.",943166458,926326,3571,2024,1,210,393880,4,0,2.03,8,8,8,2026-03-17
"STANDARD MOTOR PRODUCTS, INC.",111362020,93389,3714,2024,6,1254,2272589,23,0,2.02,8,10,8,2026-03-27
NEOGEN CORP,382367843,711377,2835,2024,24,1249,2599657,26,0,2.00,8,6,4,2026-02-17
SPARTANNASH CO,380593940,877422,5141,2024,402,34353,49755842,493,0,1.98,8,0,0,
FRIEDMAN INDUSTRIES INC,741504405,39092,3310,2025,6,231,507071,5,0,1.97,8,6,6,2026-03-19
"STRATA SKIN SCIENCES, INC.",133986004,1051514,3841,2024,2,99,204323,2,0,1.96,8,0,0,
"GALAXY GAMING, INC.",208143439,13156,7900,2024,1,48,102543,1,0,1.95,9,4,4,2026-01-05
NORTHWESTERN CORP,460172280,73088,4931,2023,13,670,1340330,13,0,1.94,4,0,0,
INTEL CORP,941672743,50863,3674,2024,7,31966,66399775,640,0,1.93,8,11,11,2026-03-03
ADVANCE AUTO PARTS INC,542049910,1158449,5531,2024,275,17177,33288154,321,0,1.93,9,29,26,2026-03-18
SERVOTRONICS INC /DE/,160837866,89140,3420,2024,1,268,522943,5,0,1.91,8,0,0,
DTE ENERGY CO,383217752,936340,4911,2024,2,96,209181,2,0,1.91,8,22,22,2026-02-06
"KONTOOR BRANDS, INC.",832680248,1760965,2320,2024,1,299,530282,5,0,1.89,8,16,16,2026-03-24
"ARROW ELECTRONICS, INC.",111806155,7536,5065,2024,11,2183,4366000,41,0,1.88,8,32,32,2026-02-24
AGCO CORP /DE,581960019,880266,3523,2024,8,1919,3618201,34,0,1.88,8,36,35,2026-03-17
"HARTFORD FINANCIAL SERVICES GROUP, INC.",133317783,874766,6331,2024,1,220,532087,5,0,1.88,8,27,27,2026-03-12
LANCASTER COLONY CORP,131955943,57515,2030,2025,3,308,643062,6,0,1.87,8,2,1,2026-02-18
MICROPAC INDUSTRIES INC,751225149,65759,3674,2025,2,281,430025,4,0,1.86,8,0,0,
TELEFLEX INC,231147939,96943,3841,2024,1,171,322214,3,0,1.86,8,13,13,2026-03-05
BUTLER NATIONAL CORP,410834293,15847,7990,2025,1,48,107449,1,0,1.86,8,9,9,2026-03-23
CENTRAL GARDEN & PET CO,680275553,887733,5190,2024,65,6374,11972612,111,0,1.85,8,36,34,2026-03-26
BOEING CO,910425694,12927,3721,2024,78,107127,210973237,1916,0,1.82,9,40,40,2026-03-05
TWIST BIOSCIENCE CORP,462058888,1581280,2836,2024,1,296,551838,5,0,1.81,9,37,37,2026-03-24
WISCONSIN ELECTRIC POWER CO,390476280,107815,4911,2024,27,2595,5190000,47,0,1.81,8,0,0,
AMERICAN WOODMARK CORP,541138147,794619,2430,2025,12,2500,4779173,43,0,1.80,8,0,0,
"O-I GLASS, INC. /DE/",222781933,812074,3221,2024,1,98,222559,2,0,1.80,8,9,9,2026-03-10
FULLER H B CO,410268370,39368,2891,2024,11,1004,2005068,18,0,1.80,7,65,64,2026-03-30
STEELCASE INC,380819050,1050825,2522,2025,7,3554,6954598,62,0,1.78,9,0,0,
FORMFACTOR INC,133711155,1039399,3674,2024,6,1599,2690167,24,0,1.78,8,17,17,2026-03-18
MERIT MEDICAL SYSTEMS INC,870447695,856982,3841,2024,2,289,570569,5,0,1.75,8,7,7,2026-03-02
KIMBERLY CLARK CORP,390394230,55785,2670,2024,9,3070,6438337,55,0,1.71,8,18,17,2026-03-18
ENVIVA INC.,464097730,1592057,2400,2023,14,960,2109617,18,0,1.71,5,0,0,
NVR INC,541394360,906163,1531,2024,52,5567,11292387,96,0,1.70,8,5,5,2026-02-23
"DIEBOLD NIXDORF, INC",340183970,28823,3578,2024,13,3710,7430853,63,0,1.70,8,16,14,2026-03-17
ACV AUCTIONS INC.,472415221,1637873,7389,2024,1,1943,4012826,34,0,1.69,8,13,13,2026-03-11
SONOCO PRODUCTS CO,570248420,91767,2650,2024,120,11973,23194358,193,0,1.66,8,68,66,2026-03-13
"SITEONE LANDSCAPE SUPPLY, INC.",364485550,1650729,5040,2024,43,1273,2792827,23,0,1.65,8,30,29,2026-02-17
"BEYOND MEAT, INC.",264087597,1655210,2000,2024,3,177,368800,3,0,1.63,8,15,14,2026-03-04
SHERWIN WILLIAMS CO,340526850,89800,5200,2024,102,9659,18479709,151,0,1.63,8,29,28,2026-02-25
"LENSAR, INC.",320125724,1320350,3841,2024,1,134,250441,2,0,1.60,8,7,7,2026-03-19
PORTLAND GENERAL ELECTRIC CO /OR/,930256820,784977,4911,2024,17,1402,2881535,23,0,1.60,8,10,10,2026-03-03
STANDEX INTERNATIONAL CORP/DE/,310596149,310354,3580,2025,5,270,499685,4,0,1.60,8,8,8,2026-03-03
"EIGER BIOPHARMACEUTICALS, INC.",361004130,1305253,2836,2023,45,6141,12587214,100,0,1.59,5,0,0,
"POST HOLDINGS, INC.",453355106,1530950,2040,2024,7,1515,3145107,25,0,1.59,8,31,29,2026-03-18
