table	column	data_type	table_rows	sampled	filled	blank	null_word	number	int	int_dot_zero	leading_zero	date	date8	date8_mdy	ts	bool_tf	bool_yn	distinct_approx	max_len	min_value	max_value
FED_USASPENDING_CONTRACTS_FULL_R2	AWARD_ID_PIID	TEXT	93153424	10000	10000	0	0	1492	1485	0	1305	0	0	0	0	0	0	8909	37	00003200209CNBCF03085GS35F0406L	ZW01
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_STATE_CODE	TEXT	93153424	10000	9671	329	0	0	0	0	0	0	0	0	0	0	0	53	2	AK	WY
FED_USASPENDING_CONTRACTS_FULL_R2	ACTION_DATE	TEXT	93153424	10000	10000	0	0	0	0	0	0	10000	0	0	0	0	0	30	10	2007-09-01	2007-09-30
FED_USASPENDING_CONTRACTS_FULL_R2	TRANSACTION_DESCRIPTION	TEXT	93153424	10000	9774	224	2	3	3	0	0	1	0	0	0	0	0	8598	3939	" NON H ITEM"  CAMELBAK' S AMBUSH, DESERT CAMO, 100 OZ CAPAC	{PIIN: W91GY307M9057} PM/DESIGN OF MA-135-SE, AL MOWAFAQAIH 
FED_USASPENDING_CONTRACTS_FULL_R2	TOTAL_DOLLARS_OBLIGATED	TEXT	93153424	10000	3104	6896	0	3104	0	2419	0	0	0	0	0	0	0	2912	14	0.00	99999.00
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_NAME	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	5589	96	1-2-3 DELIVERY, INC.	ZULLO BUILDING MAINTENANCE LLC
FED_USASPENDING_CONTRACTS_FULL_R2	HIGHLY_COMPENSATED_OFFICER_2_NAME	TEXT	93153424	10000	250	9750	0	0	0	0	0	0	0	0	0	0	0	153	41	ADAM  CASAGRANDE	ZACH  HIGGENBOTHAM
FED_USASPENDING_CONTRACTS_FULL_R2	AWARD_TYPE	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	8	19	BPA	PURCHASE ORDER
FED_USASPENDING_CONTRACTS_FULL_R2	HIGHLY_COMPENSATED_OFFICER_1_AMOUNT	TEXT	93153424	10000	255	9745	0	255	0	255	0	0	0	0	0	0	0	162	11	1.00	999999.00
FED_USASPENDING_CONTRACTS_FULL_R2	NAICS_DESCRIPTION	TEXT	93153424	10000	8649	1351	0	0	0	0	0	0	0	0	0	0	0	629	118	ABRASIVE PRODUCT MANUFACTURING	YARN SPINNING MILLS
FED_USASPENDING_CONTRACTS_FULL_R2	CURRENT_TOTAL_VALUE_OF_AWARD	TEXT	93153424	10000	3104	6896	0	3104	0	2510	0	0	0	0	0	0	0	2821	14	-37399.88	99999.00
FED_USASPENDING_CONTRACTS_FULL_R2	PRIMARY_PLACE_OF_PERFORMANCE_STATE_CODE	TEXT	93153424	10000	9346	654	0	0	0	0	0	0	0	0	0	0	0	53	2	AK	WY
FED_USASPENDING_CONTRACTS_FULL_R2	FOREIGN_OWNED	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2	1	f	t
FED_USASPENDING_CONTRACTS_FULL_R2	PERIOD_OF_PERFORMANCE_CURRENT_END_DATE	TEXT	93153424	10000	10000	0	0	0	0	0	0	10000	0	0	0	0	0	765	10	1998-12-30	2060-12-25
FED_USASPENDING_CONTRACTS_FULL_R2	AWARDING_SUB_AGENCY_NAME	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	130	96	Agency for Healthcare Research and Quality	Washington Headquarters Services
FED_USASPENDING_CONTRACTS_FULL_R2	HIGHLY_COMPENSATED_OFFICER_1_NAME	TEXT	93153424	10000	255	9745	0	0	0	0	0	0	0	0	0	0	0	146	63	ADAM  ROBINSON	WILLIAM R MURRAY
FED_USASPENDING_CONTRACTS_FULL_R2	FUNDING_AGENCY_NAME	TEXT	93153424	10000	5874	4126	0	0	0	0	0	0	0	0	0	0	0	29	45	Agency for International Development	The Legislative Branch
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_DUNS	TEXT	93153424	10000	9617	383	0	9617	9617	0	4409	0	0	0	0	0	0	5505	9	001012319	969952829
FED_USASPENDING_CONTRACTS_FULL_R2	PERIOD_OF_PERFORMANCE_START_DATE	TEXT	93153424	10000	10000	0	0	0	0	0	0	10000	0	0	0	0	0	152	10	2004-10-19	2009-03-09
FED_USASPENDING_CONTRACTS_FULL_R2	FEDERAL_ACTION_OBLIGATION	TEXT	93153424	10000	10000	0	0	10000	0	6492	0	0	0	0	0	0	0	8057	11	-0.01	999999.00
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_DOING_BUSINESS_AS_NAME	TEXT	93153424	10000	1164	8836	0	1	1	0	0	0	0	0	0	0	0	730	60	(AFF: SCOTLAND MEMORIAL HOSPITAL)	ZF MARINE
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_CITY_NAME	TEXT	93153424	10000	9996	4	0	0	0	0	0	0	0	0	0	0	0	2039	25	ABBOTT PARK	ZUSHI
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_PARENT_UEI	TEXT	93153424	10000	9993	7	0	0	0	0	0	0	0	0	0	0	0	5024	12	C11DMEJMGZ95	ZZN7XB8KABJ4
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_ZIP_4_CODE	TEXT	93153424	10000	9919	81	0	9830	9830	0	882	0	0	0	0	0	0	5524	9	00198	WF17 6JH
FED_USASPENDING_CONTRACTS_FULL_R2	LAST_MODIFIED_DATE	TEXT	93153424	10000	10000	0	0	0	0	0	0	10000	0	0	10000	0	0	2407	22	2007-09-01 00:00:00+00	2026-06-26 10:03:40+00
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_PARENT_NAME	TEXT	93153424	10000	9985	15	0	0	0	0	0	0	0	0	0	0	0	4938	96	1-2-3 DELIVERY, INC.	ZULLO BUILDING MAINTENANCE LLC
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_UEI	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	5709	12	C11DMEJMGZ95	ZZN7XB8KABJ4
FED_USASPENDING_CONTRACTS_FULL_R2	AWARDING_AGENCY_NAME	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	46	46	Agency for International Development	U.S. Agency for Global Media
FED_USASPENDING_CONTRACTS_FULL_R2	PRODUCT_OR_SERVICE_CODE_DESCRIPTION	TEXT	93153424	10000	9876	124	0	0	0	0	0	0	0	0	0	0	0	928	35	A&E MANAGEMENT ENGINEERING SERVICES	X-RAY EQ SUPPLIES - MED, DENTAL & V
FED_USASPENDING_CONTRACTS_FULL_R2	USASPENDING_PERMALINK	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	10048	102	https://www.usaspending.gov/award/CONT_AWD_00003200209CNBCF0	https://www.usaspending.gov/award/CONT_AWD_ZW01_9700_W91RUS0
FED_USASPENDING_CONTRACTS_FULL_R2	CONTRACT_AWARD_UNIQUE_KEY	TEXT	93153424	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	10093	67	CONT_AWD_00003200209CNBCF03085GS35F0406L_1406_GS35F0406L_473	CONT_AWD_ZW01_9700_W91RUS06A0003_9700
FED_USASPENDING_CONTRACTS_FULL_R2	CAGE_CODE	TEXT	93153424	10000	367	9633	0	64	64	0	7	0	0	0	0	0	0	229	5	002M2	DB061
FED_USASPENDING_CONTRACTS_FULL_R2	HIGHLY_COMPENSATED_OFFICER_2_AMOUNT	TEXT	93153424	10000	250	9750	0	250	0	250	0	0	0	0	0	0	0	155	11	0.00	999342.00
FED_USASPENDING_CONTRACTS_FULL_R2	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	TEXT	93153424	10000	9211	789	0	0	0	0	0	0	0	0	0	0	0	1636	27	ABERDEEN PROVING GROUND	ZUNI
FED_USASPENDING_CONTRACTS_FULL_R2	NAICS_CODE	TEXT	93153424	10000	8832	1168	0	8832	8832	0	0	0	0	0	0	0	0	639	6	112120	928120
FED_USASPENDING_CONTRACTS_FULL_R2	RECIPIENT_COUNTRY_NAME	TEXT	93153424	10000	9837	163	0	0	0	0	0	0	0	0	0	0	0	26	44	BAHRAIN	UNITED STATES OF AMERICA
FED_SEC_13F_HOLDINGS	FIGI	TEXT	101261252	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
FED_SEC_13F_HOLDINGS	PUTCALL	TEXT	101261252	10000	26	0	0	0	0	0	0	0	0	0	0	0	0	2	4	Call	Put
FED_SEC_13F_HOLDINGS	NAMEOFISSUER	TEXT	101261252	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	3168	45	1 800 FLOWERS COM INC	ZYNEX INC
FED_SEC_13F_HOLDINGS	SSHPRNAMT	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	7149	8	0	99954
FED_SEC_13F_HOLDINGS	CUSIP	TEXT	101261252	10000	10000	0	0	4799	4634	0	580	0	0	0	0	0	0	3263	9	000360206	Y95308105
FED_SEC_13F_HOLDINGS	ACCESSION_NUMBER	TEXT	101261252	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	11	20	0000764068-25-000017	0002058325-25-000001
FED_SEC_13F_HOLDINGS	VOTING_AUTH_NONE	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	4166	8	0	99941
FED_SEC_13F_HOLDINGS	OTHERMANAGER	TEXT	101261252	10000	6526	0	0	4800	4800	0	0	0	0	0	0	0	0	5	3	0	4,2
FED_SEC_13F_HOLDINGS	VOTING_AUTH_SOLE	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	6117	8	0	9989
FED_SEC_13F_HOLDINGS	INFOTABLE_SK	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	9845	9	111850840	111870383
FED_SEC_13F_HOLDINGS	TITLEOFCLASS	TEXT	101261252	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	607	22	*W EXP 08/03/202	XTRACK MSCI EURP
FED_SEC_13F_HOLDINGS	INVESTMENTDISCRETION	TEXT	101261252	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2	4	DFND	SOLE
FED_SEC_13F_HOLDINGS	VALUE	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	3	1	0	0	0	8631	11	0	99988
FED_SEC_13F_HOLDINGS	VOTING_AUTH_SHARED	TEXT	101261252	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	68	7	0	996255
FED_SEC_13F_HOLDINGS	SSHPRNAMTTYPE	TEXT	101261252	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	2	SH	SH
FED_FEC_INDIV_CONTRIBUTIONS	RPT_TP	TEXT	283771819	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	5	3	MY	YE
FED_FEC_INDIV_CONTRIBUTIONS	CMTE_ID	TEXT	283771819	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	110	9	C00005041	C00353730
FED_FEC_INDIV_CONTRIBUTIONS	MEMO_TEXT	TEXT	283771819	10000	51	9949	0	0	0	0	0	0	0	0	0	0	0	1	30	CONTRIBUTION REF TO INDIVIDUAL	CONTRIBUTION REF TO INDIVIDUAL
FED_FEC_INDIV_CONTRIBUTIONS	ENTITY_TP	TEXT	283771819	10000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0		
FED_FEC_INDIV_CONTRIBUTIONS	TRANSACTION_DT	TEXT	283771819	10000	10000	0	0	10000	10000	0	5282	0	0	9999	0	0	0	349	8	01011999	2291991
FED_FEC_INDIV_CONTRIBUTIONS	FILE_NUM	TEXT	283771819	10000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0		
FED_FEC_INDIV_CONTRIBUTIONS	NAME	TEXT	283771819	10000	9960	40	0	0	0	0	0	0	0	0	0	0	0	8613	29	AARON, JAMES	ZURIER, JANET
FED_FEC_INDIV_CONTRIBUTIONS	OTHER_ID	TEXT	283771819	10000	95	9905	0	0	0	0	0	0	0	0	0	0	0	25	9	C00009985	S8AZ00080
FED_FEC_INDIV_CONTRIBUTIONS	AMNDT_IND	TEXT	283771819	10000	10000	0	0	0	0	0	0	0	0	0	0	0	4994	3	1	A	T
FED_FEC_INDIV_CONTRIBUTIONS	TRANSACTION_AMT	TEXT	283771819	10000	10000	0	0	10000	10000	0	0	39	0	0	0	0	0	172	5	-1000	988
FED_FEC_INDIV_CONTRIBUTIONS	TRANSACTION_PGI	TEXT	283771819	10000	51	9949	0	0	0	0	0	0	0	0	0	0	0	3	1	G	S
