schema,table,rows,description
HEALTH,HEALTH__ADDICTION_PRESCRIBERS_PAID,44335,"One row per doctor who prescribed addiction/opioid-treatment drugs, showing how many such claims they wrote, how much those drugs cost, and whether drug companies paid that doctor in 2022 (and which company paid the most)."
HEALTH,HEALTH__FED_CDC_ANXIETY_DEPRESSION,16794,"CDC survey estimates of how many people reported anxiety or depression symptoms, broken out by state, demographic subgroup, and time period, with confidence ranges."
HEALTH,HEALTH__FED_CDC_DATA_PORTAL,1471,"A catalog of CDC's public datasets (not the data itself) -- name, description, category, and how often each one has been viewed or downloaded."
HEALTH,HEALTH__FED_CDC_DRUG_POISONING_COUNTY,53387,"County-by-year drug overdose death rates (age-adjusted, given as ranges) and population, for U.S. counties."
HEALTH,HEALTH__FED_CDC_HEALTH_INSURANCE,16056,"CDC survey estimates of health insurance coverage rates, broken out by state, demographic subgroup, and time period, with confidence ranges and suppression flags."
HEALTH,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,132000,"County-level injury and violence death counts and rates (by intent -- homicide, suicide, overdose, etc), tracked over rolling 12-month windows."
HEALTH,HEALTH__FED_CDC_LEADING_CAUSES_STATE,10868,"Leading causes of death by state and year, 1999-2017 -- death counts and age-adjusted death rates, plus a nationwide total row for each year and cause."
HEALTH,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,1932840,"Weekly counts of reportable disease cases (like measles, hepatitis, whooping cough) by U.S. state/area for 2024, showing the current week and year-to-date totals."
HEALTH,HEALTH__FED_CDC_OVERDOSE,83790,"Monthly provisional drug overdose death counts by state, with how complete the reporting is and a model-predicted value to fill in gaps."
HEALTH,HEALTH__FED_CDC_SUICIDE_RATES,6390,"CDC suicide death rate estimates by year and age group, from national health statistics tables."
HEALTH,HEALTH__FED_CDC_WONDER,880,"National death counts by year, cause-of-death category, and sex, with population and death rate -- CDC blanks out any count under 10 people to protect privacy."
HEALTH,HEALTH__FED_CLINICALTRIALS,601694,"Every registered clinical trial from ClinicalTrials.gov -- title, sponsor, phase, status, dates, enrollment size, what condition and treatment it's testing, and where it's being run."
