#,plain_question,exact_tables_pipe_separated
1,Are doctors banned from Medicare still showing up on hospice paperwork?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,747 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193 rows) | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS (6,066 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS (14,425 rows)"
2,"Which nursing home owners get fined the most per home, and does it repeat?","LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180 rows)"
3,Do banks that lend money also own the polluting sites?,"LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF (5,399 rows) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK (5,300,149 rows)"
4,Do addiction doctors get paid more by drugmakers when they prescribe more?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS (1,558 rows) | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG (25,869,521 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022 (13,306,564 rows)"
5,Do people get worse loan terms right after a hurricane or flood?,"LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920 rows) | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC (44,992,667 rows)"
6,Do dialysis chains that dominate a rural area have worse patient outcomes?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_DIALYSIS (7,557 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES (12,456,456 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE (503,917 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047 rows)"
7,Are banned doctors working at clinics serving poor neighborhoods?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES (19,038 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS (57,209 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,747 rows)"
8,"When a county's jail population spikes, does drug overdose rise later?","LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS (165,531 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY (53,387 rows)"
9,Do the biggest polluters also pay their workers the least?,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY (136,005 rows) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000 rows)"
10,Are the suppliers who bill the most also getting kickback-like payments?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER (381,228 rows)"
11,Do money-losing hospitals still have doctors taking big drug company payments?,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (6,103 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193 rows) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 (14,700,786 rows)"
