-- S21 Revolving door: what a row is, read the words. The 6 jobs with most industries and 4 with one
GRP | POSITION_NAME | POSITION_DEPARTMENT | POSITION_TYPE | DESCR | INDUSTRY_SECTOR | SECTOR1_INTEREST | SECTOR2 | SECTOR16 | _SOURCE_ID
most | Deputy Chief of Staff | White House Office | Appointive | The Deputy Chief of Staff is a close assistant to the President of the United States.The CoS oversees the Executive Office of the President and manages access t | Agriculture/Big Food | 3 | Finance-Private Equity | Law | fed_revolvingdoor_project
most | Assistant Attorney General Criminal Division | Department of Justice | Senate-confirmed | The Assistant Attorney General ensures the enforcement of criminal statutes in a vigorous, fair, and effective manner; and to exercise general supervision over  | Agriculture/Big Food | 2 | Asset Management | Law | fed_revolvingdoor_project
most | Associate Attorney General | Department of Justice | Senate-confirmed | The Associate Attorney General advises and assists the Attorney General and the Deputy Attorney General in formulating and implementing Departmental policies an | Agriculture/Big Food | 3 | Asset Management | Law | fed_revolvingdoor_project
most | Principal Deputy Assistant Attorney General, Civil Division | Department of Justice | Appointive | The Principal Deputy Assistant Attorney General helps to lead the U.S. Department of Justice's (DOJ), Civil Division which represents the United States, its dep | Agriculture/Big Food | 2 | Asset Management | Law | fed_revolvingdoor_project
most | Attorney General | Department of Justice | Senate-confirmed | The Attorney General represents the United States in legal matters generally and gives advice and opinions to the President and to the heads of the executive de | Agriculture/Big Food | 2 | Asset Management | Law | fed_revolvingdoor_project
most | Principal Deputy Assistant Attorney General, Criminal Division | Department of Justice | Appointive | The Principal Deputy Assistant Attorney General helps the Assistant Attorney General in their mission to ensure the enforcement of criminal statutes in a vigoro | Agriculture/Big Food | 2 | Asset Management | Law | fed_revolvingdoor_project
one | Director, Office of Foreign Assets Control | Department of the Treasury | Appointive | The Office of Foreign Assets Control ("OFAC") of the US Department of the Treasury administers and enforces economic and trade sanctions based on US foreign pol | Finance-Banking | 3 | nan | nan | fed_revolvingdoor_project
one | Controller, Office of Federal Financial Management | Office of Management and Budget | Senate-confirmed | The Controller's responsibilities include implementing the financial management improvement priorities of the President, establishing government-wide financial  | Consulting | 3 | nan | nan | fed_revolvingdoor_project
one | Assistant Secretary for Administration | Department of Health and Human Services | Appointive | The Assistant Secretary for Administration provides leadership for HHS departmental administration, including human resource policy, information technology, and | Healthcare | 3 | nan | nan | fed_revolvingdoor_project
one | Office of Legislative and Intergovernmental Affairs - Associate Director for Oversight | Department of Commerce | Appointive | The Associate Director serves as the liaison between the Department and Congress during congressional oversight inquiries. | Finance-Banking | 1 | nan | nan | fed_revolvingdoor_project
(10 rows; csv has all)
