-- S08 CISA KEV: full extract (1,674 rows) for vendor peer, deadline and ransomware-flag math
CVE_ID | VENDOR_PROJECT | PRODUCT | VULNERABILITY_NAME | DATE_ADDED | DUE_DATE | KNOWN_RANSOMWARE_CAMPAIGN_USE | REQUIRED_ACTION | CWES | SHORT_DESCRIPTION | NOTES
CVE-2025-24983 | Microsoft | Windows | Microsoft Windows Win32k Use-After-Free Vulnerability | 2025-03-11 | 2025-04-01 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-416 | Microsoft Windows Win32 Kernel Subsystem contains a use-after-free vulnerability that allows an authorized attacker to elevate privileges locally. | https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24983 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24983
CVE-2024-38080 | Microsoft | Windows  | Microsoft Windows Hyper-V Privilege Escalation Vulnerability | 2024-07-09 | 2024-07-30 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-190 | Microsoft Windows Hyper-V contains a privilege escalation vulnerability that allows a local attacker with user permissions to gain SYSTEM privileges. | https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080; https://nvd.nist.gov/vuln/detail/CVE-2024-38080
CVE-2020-1472 | Microsoft | Netlogon | Microsoft Netlogon Privilege Escalation Vulnerability | 2021-11-03 | 2022-05-03 | Known | Apply updates per vendor instructions. | CWE-330 | Microsoft's Netlogon Remote Protocol (MS-NRPC) contains a privilege escalation vulnerability when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller. An attacker who successfully exploits the vulnerability could run a specially crafted application on a device on the network. The vulnerability is also known under the moniker of Zerologon. | Reference CISA's ED 20-04 (https://www.cisa.gov/news-events/directives/ed-20-04-mitigate-netlogon-elevation-privilege-vulnerability-august-2020-patch-tuesday) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 20-04. https://nvd.nist.gov/vuln/detail/CVE-2020-1472
CVE-2026-63077 | JetBrains | TeamCity | JetBrains TeamCity Deserialization of Untrusted Data Vulnerability | 2026-08-05 | 2026-08-08 | Unknown | Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines. | CWE-502 | JetBrains TeamCity contains a deserialization of untrusted data vulnerability that could allow unauthenticated remote code execution via the agent polling protocol. | https://blog.jetbrains.com/teamcity/2026/07/cve-2026-63077/; https://www.jetbrains.com/privacy-security/issues-fixed/ ; BOD 26-04: https://www.cisa.gov/news-events/directives/bod-26-04-prioritizing-security-updates-based-risk ; Forensics Triage Requirements: https://www.cisa.gov/news-events/directives/bod-26-04-implementation-guidance-prioritizing-security-updates-based-risk ; https://nvd.nist.gov/vuln/detail/CVE-2026-63077
CVE-2016-7262 | Microsoft | Excel | Microsoft Office Security Feature Bypass Vulnerability | 2022-03-03 | 2022-03-24 | Unknown | Apply updates per vendor instructions. | CWE-20 | A security feature bypass vulnerability exists when Microsoft Office improperly handles input. An attacker who successfully exploited the vulnerability could execute arbitrary commands. | https://nvd.nist.gov/vuln/detail/CVE-2016-7262
CVE-2019-3398 | Atlassian | Confluence Server and Data Center | Atlassian Confluence Server and Data Center Path Traversal Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. | CWE-22 | Atlassian Confluence Server and Data Center contain a path traversal vulnerability in the downloadallattachments resource that may allow a privileged, remote attacker to write files. Exploitation can lead to remote code execution. | https://nvd.nist.gov/vuln/detail/CVE-2019-3398
CVE-2024-6670 | Progress | WhatsUp Gold | Progress WhatsUp Gold SQL Injection Vulnerability | 2024-09-16 | 2024-10-07 | Known | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-89 | Progress WhatsUp Gold contains a SQL injection vulnerability that allows an unauthenticated attacker to retrieve the user's encrypted password if the application is configured with only a single user. | https://community.progress.com/s/article/WhatsUp-Gold-Security-Bulletin-August-2024 ; https://nvd.nist.gov/vuln/detail/CVE-2024-6670
CVE-2024-4885 | Progress | WhatsUp Gold | Progress WhatsUp Gold Path Traversal Vulnerability | 2025-03-03 | 2025-03-24 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-22 | Progress WhatsUp Gold contains a path traversal vulnerability that allows an unauthenticated attacker to achieve remote code execution. | https://community.progress.com/s/article/WhatsUp-Gold-Security-Bulletin-June-2024 ; https://nvd.nist.gov/vuln/detail/CVE-2024-4885
CVE-2019-1214 | Microsoft | Windows | Microsoft Windows Privilege Common Log File System (CLFS) Escalation Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. |  | Microsoft Windows Common Log File System (CLFS) driver improperly handles objects in memory which can allow for privilege escalation. | https://nvd.nist.gov/vuln/detail/CVE-2019-1214
CVE-2023-28205 | Apple | Multiple Products | Apple Multiple Products WebKit Use-After-Free Vulnerability | 2023-04-10 | 2023-05-01 | Unknown | Apply updates per vendor instructions. | CWE-416 | Apple iOS, iPadOS, macOS, and Safari WebKit contain a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing. | https://support.apple.com/en-us/HT213720,https://support.apple.com/en-us/HT213721,https://support.apple.com/en-us/HT213722,https://support.apple.com/en-us/HT213723;  https://nvd.nist.gov/vuln/detail/CVE-2023-28205
CVE-2025-54236 | Adobe | Commerce and Magento | Adobe Commerce and Magento Improper Input Validation Vulnerability | 2025-10-24 | 2025-11-14 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-20 | Adobe Commerce and Magento Open Source contain an improper input validation vulnerability that could allow an attacker to take over customer accounts through the Commerce REST API. | https://experienceleague.adobe.com/en/docs/experience-cloud-kcs/kbarticles/ka-27397 ; https://nvd.nist.gov/vuln/detail/CVE-2025-54236
CVE-2014-6332 | Microsoft | Windows | Microsoft Windows Object Linking & Embedding (OLE) Automation Array Remote Code Execution Vulnerability | 2022-03-25 | 2022-04-15 | Unknown | Apply updates per vendor instructions. | CWE-119 | OleAut32.dll in OLE in Microsoft Windows allows remote attackers to remotely execute code via a crafted web site. | https://nvd.nist.gov/vuln/detail/CVE-2014-6332
CVE-2024-38106 | Microsoft | Windows | Microsoft Windows Kernel Privilege Escalation Vulnerability | 2024-08-13 | 2024-09-03 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-591 | Microsoft Windows Kernel contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges. Successful exploitation of this vulnerability requires an attacker to win a race condition. | https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38106; https://nvd.nist.gov/vuln/detail/CVE-2024-38106
CVE-2021-22900 | Ivanti | Pulse Connect Secure | Ivanti Pulse Connect Secure Unrestricted File Upload Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. | CWE-94 | Ivanti Pulse Connect Secure contains an unrestricted file upload vulnerability that allows an authenticated administrator to perform a file write via a maliciously crafted archive upload in the administrator web interface. | Reference CISA's ED 21-03 (https://www.cisa.gov/news-events/directives/ed-21-03-mitigate-pulse-connect-secure-product-vulnerabilities) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 21-03. https://nvd.nist.gov/vuln/detail/CVE-2021-22900
CVE-2007-0671 | Microsoft | Office | Microsoft Office Excel Remote Code Execution Vulnerability | 2025-08-12 | 2025-09-02 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. |  | Microsoft Office Excel contains a remote code execution vulnerability that can be exploited when a specially crafted Excel file is opened. This malicious file could be delivered as an email attachment or hosted on a malicious website. An attacker could leverage this vulnerability by creating a specially crafted Excel file, which, when opened, allowing an attacker to execute remote code on the affected system. | https://learn.microsoft.com/en-us/security-updates/securitybulletins/2007/ms07-015 ; https://nvd.nist.gov/vuln/detail/CVE-2007-0671
CVE-2023-28252 | Microsoft | Windows | Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability | 2023-04-11 | 2023-05-02 | Known | Apply updates per vendor instructions. | CWE-122 | Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation. | https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-28252;  https://nvd.nist.gov/vuln/detail/CVE-2023-28252
CVE-2022-41080 | Microsoft | Exchange Server | Microsoft Exchange Server Privilege Escalation Vulnerability | 2023-01-10 | 2023-01-31 | Known | Apply updates per vendor instructions. |  | Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation. This vulnerability is chainable with CVE-2022-41082, which allows for remote code execution. | https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-41080;  https://nvd.nist.gov/vuln/detail/CVE-2022-41080
CVE-2025-24993 | Microsoft | Windows | Microsoft Windows NTFS Heap-Based Buffer Overflow Vulnerability | 2025-03-11 | 2025-04-01 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-122 | Microsoft Windows New Technology File System (NTFS) contains a heap-based buffer overflow vulnerability that allows an unauthorized attacker to execute code locally. | https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24993 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24993
CVE-2018-0155 | Cisco | Catalyst 4500 Series Switches and Cisco Catalyst 4500-X Series Switches | Cisco Catalyst Bidirectional Forwarding Detection Denial-of-Service Vulnerability | 2022-03-03 | 2022-03-17 | Unknown | Apply updates per vendor instructions. | CWE-388 | A vulnerability in the Bidirectional Forwarding Detection (BFD) offload implementation of Cisco Catalyst 4500 Series Switches and Cisco Catalyst 4500-X Series Switches could allow an unauthenticated, remote attacker to cause a crash of the iosd process, causing a denial-of-service (DoS) condition. | https://nvd.nist.gov/vuln/detail/CVE-2018-0155
CVE-2026-6973 | Ivanti | Endpoint Manager Mobile (EPMM) | Ivanti Endpoint Manager Mobile (EPMM) Improper Input Validation Vulnerability | 2026-05-07 | 2026-05-10 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-20 | Ivanti Endpoint Manager Mobile (EPMM) contains an improper input validation vulnerability that allows a remotely authenticated user with administrative access to achieve remote code execution. | https://hub.ivanti.com/s/article/May-2026-Security-Advisory-Ivanti-Endpoint-Manager-Mobile-EPMM-Multiple-CVEs?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2026-6973
CVE-2013-2094 | Linux | Kernel | Linux Kernel Privilege Escalation Vulnerability | 2022-09-15 | 2022-10-06 | Unknown | Apply updates per vendor instructions. | CWE-189 | Linux kernel fails to check all 64 bits of attr.config passed by user space, resulting to out-of-bounds access of the perf_swevent_enabled array in sw_perf_event_destroy(). Explotation allows for privilege escalation. | https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=8176cced706b5e5d15887584150764894e94e02f; https://nvd.nist.gov/vuln/detail/CVE-2013-2094
CVE-2024-45195 | Apache | OFBiz | Apache OFBiz Forced Browsing Vulnerability | 2025-02-04 | 2025-02-25 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-425 | Apache OFBiz contains a forced browsing vulnerability that allows a remote attacker to obtain unauthorized access. | This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://ofbiz.apache.org/security.html ; https://nvd.nist.gov/vuln/detail/CVE-2024-45195
CVE-2020-6418 | Google | Chromium V8 | Google Chromium V8 Type Confusion Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. | CWE-843 | Google Chromium V8 Engine contains a type confusion vulnerability allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera. | https://nvd.nist.gov/vuln/detail/CVE-2020-6418
CVE-2020-24363 | TP-Link | TL-WA855RE | TP-link TL-WA855RE Missing Authentication for Critical Function Vulnerability | 2025-09-02 | 2025-09-23 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-306 | TP-link TL-WA855RE contains a missing authentication for critical function vulnerability. This vulnerability could allow an unauthenticated attacker (on the same network) to submit a TDDP_RESET POST request for a factory reset and reboot. The attacker can then obtain incorrect access control by setting a new administrative password. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization. | https://www.tp-link.com/us/home-networking/range-extender/tl-wa855re/#overview ; https://www.tp-link.com/us/support/download/tl-wa855re/#FAQs ; https://nvd.nist.gov/vuln/detail/CVE-2020-24363
CVE-2024-7262 | Kingsoft | WPS Office | Kingsoft WPS Office Path Traversal Vulnerability | 2024-09-03 | 2024-09-24 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-22 | Kingsoft WPS Office contains a path traversal vulnerability in promecefpluginhost.exe on Windows that allows an attacker to load an arbitrary Windows library. | While CISA cannot confirm the effectiveness of patches at this time, it is recommended that mitigations be applied per vendor instructions if available. If these instructions cannot be located or if mitigations are unavailable, discontinue the use of the product.;   https://nvd.nist.gov/vuln/detail/CVE-2024-7262
CVE-2013-2551 | Microsoft | Internet Explorer | Microsoft Internet Explorer Use-After-Free Vulnerability | 2022-03-28 | 2022-04-18 | Known | Apply updates per vendor instructions. | CWE-416 | Use-after-free vulnerability in Microsoft Internet Explorer allows remote attackers to execute remote code via a crafted web site that triggers access to a deleted object. | https://nvd.nist.gov/vuln/detail/CVE-2013-2551
CVE-2014-1761 | Microsoft | Word | Microsoft Word Memory Corruption Vulnerability | 2022-02-15 | 2022-08-15 | Unknown | Apply updates per vendor instructions. | CWE-119 | Microsoft Word contains a memory corruption vulnerability which when exploited could allow for remote code execution. | https://nvd.nist.gov/vuln/detail/CVE-2014-1761
CVE-2025-2749 | Kentico | Kentico Xperience | Kentico Xperience Path Traversal Vulnerability | 2026-04-20 | 2026-05-04 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-22; CWE-434 | Kentico Xperience contains a path traversal vulnerability that could allow an authenticated user's Staging Sync Server to upload arbitrary data to path relative locations. | https://devnet.kentico.com/download/hotfixes ; https://nvd.nist.gov/vuln/detail/CVE-2025-2749
CVE-2024-21762 | Fortinet | FortiOS | Fortinet FortiOS Out-of-Bound Write Vulnerability | 2024-02-09 | 2024-02-16 | Known | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-787 | Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests. | https://fortiguard.fortinet.com/psirt/FG-IR-24-015 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-21762
CVE-2016-1019 | Adobe | Flash Player | Adobe Flash Player Arbitrary Code Execution Vulnerability | 2022-03-03 | 2022-03-24 | Known | The impacted product is end-of-life and should be disconnected if still in use. |  | Adobe Flash Player allows remote attackers to cause a denial of service or possibly execute arbitrary code. | https://nvd.nist.gov/vuln/detail/CVE-2016-1019
CVE-2021-26086 | Atlassian | Jira Server and Data Center | Atlassian Jira Server and Data Center Path Traversal Vulnerability | 2024-11-12 | 2024-12-03 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-22 | Atlassian Jira Server and Data Center contain a path traversal vulnerability that allows a remote attacker to read particular files in the /WEB-INF/web.xml endpoint. | https://jira.atlassian.com/browse/JRASERVER-72695 ; https://nvd.nist.gov/vuln/detail/CVE-2021-26086
CVE-2012-4792 | Microsoft | Internet Explorer | Microsoft Internet Explorer Use-After-Free Vulnerability | 2024-07-23 | 2024-08-13 | Unknown | The impacted product is end-of-life and should be disconnected if still in use. | CWE-416 | Microsoft Internet Explorer contains a use-after-free vulnerability that allows a remote attacker to execute arbitrary code via a crafted web site that triggers access to an object that (1) was not properly allocated or (2) is deleted, as demonstrated by a CDwnBindInfo object. | https://learn.microsoft.com/en-us/lifecycle/products/internet-explorer-11; https://nvd.nist.gov/vuln/detail/CVE-2012-4792
CVE-2021-22017 | VMware | vCenter Server | VMware vCenter Server Improper Access Control | 2022-01-10 | 2022-01-24 | Unknown | Apply updates per vendor instructions. | CWE-23 | Rhttproxy as used in vCenter Server contains a vulnerability due to improper implementation of URI normalization. | https://nvd.nist.gov/vuln/detail/CVE-2021-22017
CVE-2021-25369 | Samsung | Mobile Devices | Samsung Mobile Devices Improper Access Control Vulnerability | 2022-11-08 | 2022-11-29 | Unknown | Apply updates per vendor instructions. | CWE-200 | Samsung mobile devices using Mali GPU contains an improper access control vulnerability in sec_log file. Exploitation of the vulnerability exposes sensitive kernel information to the userspace. This vulnerability was chained with CVE-2021-25337 and CVE-2021-25370. | https://security.samsungmobile.com/securityUpdate.smsb; https://nvd.nist.gov/vuln/detail/CVE-2021-25369
CVE-2022-24112 | Apache | APISIX | Apache APISIX Authentication Bypass Vulnerability | 2022-08-25 | 2022-09-15 | Unknown | Apply updates per vendor instructions. | CWE-290 | Apache APISIX contains an authentication bypass vulnerability that allows for remote code execution. | https://lists.apache.org/thread/lcdqywz8zy94mdysk7p3gfdgn51jmt94;  https://nvd.nist.gov/vuln/detail/CVE-2022-24112
CVE-2021-3129 | Laravel | Ignition | Laravel Ignition File Upload Vulnerability | 2023-09-18 | 2023-10-09 | Known | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. |  | Laravel Ignition contains a file upload vulnerability that allows unauthenticated remote attackers to execute malicious code due to insecure usage of file_get_contents() and file_put_contents(). | https://github.com/facade/ignition/releases/tag/2.5.2; https://nvd.nist.gov/vuln/detail/CVE-2021-3129
CVE-2023-28771 | Zyxel | Multiple Firewalls | Zyxel Multiple Firewalls OS Command Injection Vulnerability | 2023-05-31 | 2023-06-21 | Unknown | Apply updates per vendor instructions. | CWE-78 | Zyxel ATP, USG FLEX, VPN, and ZyWALL/USG firewalls allow for improper error message handling which could allow an unauthenticated attacker to execute OS commands remotely by sending crafted packets to an affected device. | https://www.zyxel.com/global/en/support/security-advisories/zyxel-security-advisory-for-remote-command-injection-vulnerability-of-firewalls;   https://nvd.nist.gov/vuln/detail/CVE-2023-28771
