-- S16 Superfund boundaries: one row per site, area converted to acres (square miles x 640; "Miles" kept apart), features, federal flag, dates, region
EPA_ID | SITE | ST | REGION | NPL | FED | FEATURES | PROGRAMS | UNITS | FTYPES | ACRES_SUM | ACRES_MAX | MILES_SUM | CREATED | CHANGED | SRC | CONTACT
MAD079510780 | CANNON ENGINEERING CORP. (CEC) | MA | 1 | D | 0 | 1 | Superfund Remedial | Acres | OU Boundary Aggregation | 6.803210437894681 | 6.803210437894681 |  | 2016-12-31 16:00:00 | 2024-06-30 00:00:00 | U.S. EPA Region 1 | Derrick Golden
MA2570024487 | OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS | MA | 1 | F | 1 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 20553.507091633488 | 20553.507091633488 |  |  | 2024-06-30 00:00:00 | U.S. EPA Region 1 | Robert Lim
NYC200400810 | WOLFF-ALPORT CHEMICAL COMPANY | NY | 2 | F | 0 | 1 | Superfund Remedial | Acres | Extent of Contamination | 3.00443043 | 3.00443043 |  | 2018-09-13 00:00:00 | 2022-07-08 00:00:00 | CDMSmith AutoCAD files and Feasibility Study Report from July 20, 2017									 | Tom Mongelli
NYD073675514 | FACET ENTERPRISES, INC. | NY | 2 | F | 0 | 1 | Superfund Remedial | Acres | Total Site Polygon/OU Aggregation | 662.43671641 | 662.43671641 |  | 2007-02-01 00:00:00 | 2022-06-16 00:00:00 | OU1 Source: EPA Facet Five-Year Review, 2012. OU2 Source: PRP. OU3 Source: recently created | Aidan Conway
FLD000833368 | DUBOSE OIL PRODUCTS CO. | FL | 4 | D | 0 | 1 | Superfund Remedial | Square Miles | Total Site Polygon/OU Aggregation | 31.959000817374466 | 31.959000817374466 |  | 2019-05-10 08:54:09 |  | Unknown | Scott Martin
ILD053980454 | SANDOVAL ZINC COMPANY | IL | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 502.4422520719236 | 502.4422520719236 |  | 2021-01-22 10:13:17 | 2022-07-05 16:17:00 | 2015 FRAR, Fig. 1-1, pg. 329-330 | Demaree Collier
MNN000502963 | SPRING PARK MUNICIPAL WELL FIELD | MN | 5 | F | 0 | 1 | Superfund Remedial | Acres | Current Ground Boundary | 0.06845843933101167 | 0.06845843933101167 |  | 2021-01-22 00:00:00 | 2022-06-28 19:09:00 | 2018 HRS, Fig. 1, pg. 6 | Kelly Poulos
CAD063015887 | COAST WOOD PRESERVING | CA | 9 | F | 0 | 1 | Superfund | Miles | OU Boundary Aggregation |  |  | 0.0158730497092833 |  | 2024-04-01 11:04:15 | Unknown | Sharissa Singh
NYD001533165 | SMS INSTRUMENTS, INC. | NY | 2 | D | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 4.23 | 4.23 |  | 2007-02-01 00:00:00 | 2021-09-29 00:00:00 | 2007 Workforce Support Study | Damian Duda
NYSFN0204234 | OLD ROOSEVELT FIELD CONTAMINATED GW AREA | NY | 2 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 845.29038604 | 845.29038604 |  | 2007-02-01 00:00:00 | 2024-03-25 00:00:00 | CDM Smith Figure Site Extent 2020 trace of Estimated Contamination Extent | Elizabeth McConnell
NJD047321443 | CHEMICAL LEAMAN TANK LINES, INC. | NJ | 2 | F | 0 | 1 | Superfund Remedial | Acres | Total Site Polygon/OU Aggregation | 94.49 | 94.49 |  | 2007-02-01 00:00:00 | 2022-11-29 00:00:00 | 2007 Workforce Support Study | Blanca Melendez
GAD990855819 | LUMINOUS PROCESSES, INC. | GA | 4 | D | 0 | 1 | Superfund Remedial | Square Miles | Current Ground Boundary | 0.9835796380277855 | 0.9835796380277855 |  | 2019-05-10 08:54:09 |  | Unknown | Candice Teichert
FLD982119729 | WEST FLORIDA NATURAL GAS COMPANY | FL | 4 | N | 0 | 1 | Superfund Remedial | Square Miles | Site Boundary | 7.757887782292353 | 7.757887782292353 |  | 2019-05-10 08:54:09 |  | Unknown | Parker Johnson
TX6213820529 | LONGHORN ARMY AMMUNITION PLANT | TX | 6 | F | 1 | 1 | Superfund Remedial | Acres | Total Site Polygon/OU Aggregation | 8343.67953302439 | 8343.67953302439 |  | 2007-01-01 00:00:00 | 2018-07-10 00:00:00 | Longhorn Army Ammunition Plant Five Year Review 2019, Figure 1, page 2 | Mark Stead
MOD000829705 | CONSERVATION CHEMICAL CO. | MO | 7 | F | 0 | 1 | Superfund Remedial | Square Miles | Total Site Polygon/OU Aggregation | 24.68031177178746 | 24.68031177178746 |  | 2009-01-01 00:00:00 | 2021-08-23 09:59:35 | Superfund Site Profile page | Justin Barker
CA1170090087 | HUNTERS POINT NAVAL SHIPYARD | CA | 9 | F | 1 | 1 | Superfund | Miles | Comprehensive Site Area |  |  | 1.5712245254085 |  | 2024-09-10 12:18:36 | Navy-provided | Mike Collins
WVD024185373 | HANLIN-ALLIED-OLIN | WV | 3 | F | 0 | 1 | Superfund | Acres | Comprehensive Site Area | 379.55416356943647 | 379.55416356943647 |  | 2023-04-24 15:56:46 | 2024-04-30 15:02:38 | USEPA R3 HSCD-GIS Team Digitizing from Site Diagram | Lisa Denmark
MID980794408 | HEDBLUM INDUSTRIES | MI | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 8.691889563271362 | 8.691889563271362 |  | 2020-05-26 11:38:44 | 2022-07-26 15:57:00 | 2019 FYR, Fig. 3, pg. 41 | Margaret Gielniewski
IAD022193577 | FARMERS' MUTUAL COOPERATIVE | IA | 7 | D | 0 | 1 | Superfund Remedial | Square Miles | Extent of Contamination | 10.0208441521936 | 10.0208441521936 |  | 2009-01-01 00:00:00 | 2021-06-23 09:59:15 | U.S. EPA - Region 7; 2000 Five-Year Review Report, Figure 2 | 
NED986373678 | IOWA-NEBRASKA LIGHT & POWER CO | NE | 7 | F | 0 | 1 | Superfund Remedial | Square Miles | Comprehensive Site Area | 6.180034967487219 | 6.180034967487219 |  | 2016-04-01 00:00:00 | 2024-02-12 10:27:15 | 2023 Groundwater Monitoring Report, November 2023 | Paulina Tinoco Castaneda
ILD984807990 | NORTH SHORE GAS (NSG) NORTH PLANT | IL | 5 | N | 0 | 1 | Superfund Remedial | Acres | Current Ground Boundary | 20.082472687343913 | 20.082472687343913 |  | 2021-01-11 11:27:24 | 2022-06-24 19:25:00 | 2018 EPA Site Document GW Elevation Contour Map, Fig. 1, pg. 1 | Nicole Goers
IL7213820460 | JOLIET ARMY AMMUNITION PLANT (MANUFACTURING AREA) | IL | 5 | F | 1 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 8944.924794046054 | 8944.924794046054 |  |  | 2022-07-15 14:24:00 | Unites States Army | Brandon Pursel
CTD001186618 | RAYMARK INDUSTRIES, INC. | CT | 1 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 312.3206279731091 | 312.3206279731091 |  | 2016-12-31 16:00:00 | 2022-12-31 00:00:00 | U.S. EPA Region 1 | Jim Dilorenzo
RID980731442 | STAMINA MILLS | RI | 1 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 10.174219490553382 | 10.174219490553382 |  | 2016-12-31 16:00:00 | 2024-06-30 00:00:00 | U.S. EPA Region 1 | Elizabeth Milano
NYD000606947 | LOVE CANAL | NY | 2 | D | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 72.31251119 | 72.31251119 |  | 2007-02-01 00:00:00 | 2021-09-29 00:00:00 | Updated boundary as per RPM's instruction | Damian Duda
PRN000205957 | SAN GERMAN GROUND WATER CONTAMINATION | PR | 2 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 89.38935841 | 89.38935841 |  | 2020-02-05 00:00:00 | 2020-01-25 00:00:00 | contractor | Yomari Soto Lopez
