domain,table,column,kind,rows,filled,real,distinct,sentinel,verdict,note,top
CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,CAMP_LOCATION,facility_site,1,0,0,0,0,empty,no real values (blank or sentinel only),[]
CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,FIPS,fips,1,0,0,0,0,empty,no real values (blank or sentinel only),[]
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,state,17168287,17105558,17105558,63,0,clean 2-letter state,,"[[""TX"", 2359446], [""FL"", 2354061], [""CA"", 1704092], [""GA"", 1265642], [""NY"", 995459]]"
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ZIP_CODE,zip,17168287,17166119,17165984,36864,135,mixed / not a ZIP,only 93% look like ZIPs,"[[""XXXXX"", 147953], [""33319"", 54827], [""75071"", 54191], [""30606"", 54186], [""10456"", 52330]]"
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_CPSC_NEISS,LOCATION_CODE,facility_site,9794971,9794877,6964855,9,2830022,coded place (numbers),"codes, not names -- needs a lookup to become a place","[[""1"", 4377766], [""0"", 2830022], [""9"", 1208001], [""5"", 627932], [""8"", 499424]]"
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,CITY,city,2227941,2227928,2225381,62495,2547,text place,,"[[""HOUSTON"", 13782], [""CHICAGO"", 11277], [""PHOENIX"", 11262], [""ORLANDO"", 10947], [""JACKSONVILLE"", 9637]]"
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,state,2227941,2227926,2222686,87,5240,clean 2-letter state,,"[[""CA"", 254916], [""TX"", 160761], [""FL"", 160327], [""NY"", 124191], [""PA"", 97725]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,ADDRESS,address,402246,382270,382261,377516,9,text place,,"[[""TRIDENT CHAMBERS, WICKHAMS CAY, P.O. BOX 146, ROAD TOWN, TORTOLA, BRITISH VIRGIN ISLANDS"", 944], [""CALLE MANUEL ICAZA, EDIFICIO ANGELIKI, OFICINA 301, PANAMA, PANAMA"", 944], [""FLAT J, 2/F., 34 BRAG"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,COUNTRIES,country,402246,277109,277109,370,0,country name,,"[[""CHINA"", 32493], [""HONG KONG"", 28254], [""UNITED STATES"", 24351], [""BARBADOS"", 19364], [""ARUBA"", 17498]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,COUNTRY_CODES,country,402246,277110,277110,226,0,country code,,"[[""CHN"", 32493], [""HKG"", 28268], [""USA"", 24367], [""BRB"", 19364], [""ABW"", 17498]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ADDRESS,address,814344,299323,299322,20077,1,text place,,"[[""PORTCULLIS TRUSTNET CHAMBERS P.O. BOX 3444 ROAD TOWN, TORTOLA BRITISH VIRGIN ISLANDS"", 33908], [""ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTO"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRIES,country,814344,504991,504991,1093,0,country name,,"[[""MALTA"", 84274], [""BRITISH VIRGIN ISLANDS"", 54932], [""HONG KONG"", 38906], [""BARBADOS"", 38436], [""SWITZERLAND"", 37940]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRY_CODES,country,814344,504991,504991,1106,0,country name,,"[[""MLT"", 84274], [""VGB"", 54932], [""HKG"", 38906], [""BRB"", 38436], [""CHE"", 37940]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,JURISDICTION,region,814344,806780,806306,98,474,text place,,"[[""BAH"", 209634], [""BVI"", 167841], [""MLT"", 83929], [""KNA"", 70516], [""XXX"", 53200]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,JURISDICTION_DESCRIPTION,region,814344,806782,806782,81,0,text place,,"[[""BAHAMAS"", 209713], [""BRITISH VIRGIN ISLANDS"", 172390], [""MALTA"", 83939], [""SAINT KITTS AND NEVIS"", 70604], [""UNDETERMINED"", 53571]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,ADDRESS,address,26768,8643,8643,8658,0,text place,,"[[""MR. RICHARD K.O. CAREY P.O. BOX 2861 SAFAT, KUWAIT"", 64], [""MR. GEORGE MACHAN LES RONCIERS LA ROUTE DES GENETS ST. BRELADE, JERSEY JE3 8LE CHANNEL ISLANDS UNITED KINGDOM"", 64], [""LIC. MARIO YEE APA"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,COUNTRIES,country,26768,23152,23152,287,0,country name,,"[[""HONG KONG"", 4895], [""UNITED KINGDOM"", 1545], [""UNITED STATES"", 1510], [""TAIWAN"", 1323], [""SWITZERLAND"", 1321]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,COUNTRY_CODES,country,26768,23152,23152,289,0,country code,,"[[""HKG"", 4895], [""GBR"", 1545], [""USA"", 1510], [""TWN"", 1323], [""CHE"", 1321]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRIES,country,771315,468981,468981,4127,0,country name,,"[[""MALTA"", 45001], [""NOT IDENTIFIED"", 39505], [""CHINA"", 38275], [""HONG KONG"", 30237], [""UNITED STATES"", 26958]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRY_CODES,country,771315,470258,470258,4815,0,country code,,"[[""MLT"", 45016], [""XXX"", 39505], [""CHN"", 38273], [""HKG"", 29764], [""USA"", 26814]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,COUNTRIES,country,2989,386,386,63,0,country name,,"[[""ISLE OF MAN"", 105], [""CAYMAN ISLANDS"", 79], [""UNITED KINGDOM"", 26], [""UNITED STATES"", 24], [""IRELAND"", 14]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,COUNTRY_CODES,country,2989,386,386,63,0,country code,,"[[""IMN"", 105], [""CYM"", 79], [""GBR"", 26], [""USA"", 24], [""IRL"", 14]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,JURISDICTION,region,2989,958,958,6,0,text place,,"[[""AW"", 888], [""VGB"", 62], [""BLZ"", 3], [""KNA"", 2], [""PAN"", 2]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,JURISDICTION_DESCRIPTION,region,2989,958,958,6,0,text place,,"[[""ARUBA"", 888], [""BRITISH VIRGIN ISLANDS"", 62], [""BELIZE"", 3], [""NEVIS"", 2], [""PANAMA"", 2]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STREET,address,1983563,1983558,1983509,1351657,49,text place,,"[[""3700 GRAND AVE"", 3835], [""8305 W THOMAS RD"", 2139], [""18860 N COYOTE LAKES PKWY"", 2139], [""7500 E MCCORMICK PKWY LOT 73"", 2139], [""9666 E RIGGS RD BOX 167 STE 201"", 2139]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,CITY,city,1983563,1983563,1983530,24365,33,text place,,"[[""NEW YORK"", 24033], [""CHICAGO"", 23995], [""WASHINGTON"", 20561], [""BROOKLYN"", 19461], [""HOUSTON"", 18787]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,state,1983563,1982204,1982204,62,0,clean 2-letter state,,"[[""CA"", 204679], [""TX"", 155949], [""NY"", 125514], [""FL"", 115255], [""PA"", 82364]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ZIP,zip,1983563,1983563,1983563,1500517,0,clean ZIP,,"[[""50312-2806"", 3835], [""85037-3498"", 2139], [""85378-2576"", 2139], [""85258-2916"", 2139], [""85248-7402"", 2139]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,COUNTRY,country,3,3,3,1,0,constant,one value for the whole table,"[[""SPAIN"", 3]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,PROVINCE,state,3,0,0,0,0,empty,no real values (blank or sentinel only),[]
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,REGISTERED_ADDRESS,address,821693,821693,821692,511015,1,text place,,"[[""********NO ADDRESS DETAILS*******, ********NO ADDRESS DETAILS*******, ********NO ADDRESS DETAILS******* ********NO ADDRESS DETAILS*******"", 22299], [""41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBL"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COUNTRY,country,821693,821693,821693,1,0,constant,one value for the whole table,"[[""IE"", 821693]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ADDRESS_LINE_1,address,5734780,5672597,5672554,2243690,43,text place,,"[[""71-75 SHELTON STREET"", 87341], [""128 CITY ROAD"", 42988], [""20 WENLOCK ROAD"", 15532], [""3RD FLOOR, 86-90"", 15519], [""20-22 WENLOCK ROAD"", 15508]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ADDRESS_LINE_2,address,5734780,3410629,3410424,331206,205,text place,,"[[""COVENT GARDEN"", 76692], [""5TH FLOOR"", 21615], [""PAUL STREET"", 15218], [""CENTRE PARK"", 12362], [""SOUTH ROAD"", 9240]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,POST_TOWN,city,5734780,5640471,5640426,43992,45,text place,,"[[""LONDON"", 1118189], [""MANCHESTER"", 113153], [""BIRMINGHAM"", 99521], [""GLASGOW"", 75882], [""EDINBURGH"", 60762]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTRY,country,5734780,4813556,4813556,206,0,country name,,"[[""ENGLAND"", 2911718], [""UNITED KINGDOM"", 1508751], [""SCOTLAND"", 203832], [""WALES"", 88354], [""NORTHERN IRELAND"", 58420]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTRY_OF_ORIGIN,country,5734780,5734496,5734496,215,0,country name,,"[[""UNITED KINGDOM"", 5690013], [""VIRGIN ISLANDS, BRITISH"", 8575], [""JERSEY"", 7170], [""ISLE OF MAN"", 3607], [""UNITED STATES"", 3368]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTY,county,5734780,1657217,1657081,14890,136,county name,,"[[""ESSEX"", 103558], [""KENT"", 85156], [""SURREY"", 74772], [""WEST MIDLANDS"", 63343], [""LANCASHIRE"", 56139]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_LINE_1,address,15804611,14193061,14191636,1251804,1425,text place,,"[[""SHELTON STREET"", 186058], [""WENLOCK ROAD"", 169202], [""HIGH STREET"", 157378], [""CITY ROAD"", 135808], [""PAUL STREET"", 86018]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_PREMISES,address,15804611,14596378,14591927,1822927,4451,coded place (numbers),"codes, not names -- needs a lookup to become a place","[[""1"", 245902], [""2"", 200205], [""71-75"", 184048], [""5"", 179612], [""3"", 172439]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_LOCALITY,city,15804611,14853397,14851438,139234,1959,text place,,"[[""LONDON"", 2896730], [""MANCHESTER"", 289730], [""BIRMINGHAM"", 281455], [""GLASGOW"", 180438], [""CARDIFF"", 162418]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_COUNTRY,country,15804611,13356459,13356445,1343,14,country name,,"[[""ENGLAND"", 7235003], [""UNITED KINGDOM"", 4818262], [""SCOTLAND"", 487532], [""WALES"", 219743], [""NORTHERN IRELAND"", 133755]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,COUNTRY_OF_RESIDENCE,country,15804611,13756701,13756678,4488,23,country name,,"[[""ENGLAND"", 7263737], [""UNITED KINGDOM"", 4403526], [""SCOTLAND"", 526230], [""WALES"", 251906], [""NORTHERN IRELAND"", 154962]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,COUNTRY_REGISTERED,country,15804611,985085,984653,3442,432,country name,,"[[""UNITED KINGDOM"", 349171], [""ENGLAND"", 284555], [""ENGLAND AND WALES"", 149281], [""ENGLAND & WALES"", 38513], [""SCOTLAND"", 35241]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NATIONALITY,country,15804611,13791371,13791363,4732,8,country name,,"[[""BRITISH"", 9900934], [""ENGLISH"", 398566], [""ROMANIAN"", 250515], [""INDIAN"", 238081], [""PAKISTANI"", 235722]]"
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_POSTAL_CODE,zip,15804611,14720569,14716359,1409767,4210,foreign postal code,only 1% look like US ZIPs,"[[""WC2H 9JQ"", 198588], [""N1 7GU"", 170297], [""EC1V 2NX"", 168292], [""CF14 8LH"", 97460], [""EC2A 4NE"", 73477]]"
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,LOCALITY,city,,,0,,,not measured,,
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,MSA,metro,,,0,,,not measured,,
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,REGION,region,,,0,,,not measured,,
ECONOMICS,ECONOMICS__FED_BLS_QCEW,AREA_FIPS,fips,3619437,3619437,3619437,4532,0,FIPS with leading zeros lost,84% have a FIPS length; modal length 5 -- pad before joining,"[[""C4530"", 10093], [""47065"", 9988], [""20055"", 9940], [""16019"", 6791], [""08005"", 6790]]"
ECONOMICS,ECONOMICS__FED_BLS_QCEW,STATE_FIPS,fips,3619437,3619437,3619437,59,0,mixed / not FIPS,only 84% have a FIPS length; modal length 2,"[[""48"", 212671], [""C1"", 146470], [""C4"", 139462], [""C2"", 139040], [""C3"", 135996]]"
