table,date_col,year,rows,table_rows,first_year,last_year,years_dead,vintage_label
CA_LOBBY_AMENDMENTS,EXEC_DATE,2000,10,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2001,188,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2002,143,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2003,205,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2004,251,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2005,652,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2006,548,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2007,1005,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2008,780,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2009,861,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2010,844,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2011,1034,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2012,895,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2013,1110,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2014,1044,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2015,1145,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2016,1090,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2017,1332,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2018,1201,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2019,1616,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2020,1164,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2021,1236,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2022,1246,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2023,1549,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2024,1378,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2025,1701,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,EXEC_DATE,2026,994,25249,2001,2026,0,CA_LOBBY_AMENDMENTS EXEC_DATE 2001-2026
CA_LOBBY_AMENDMENTS,FROM_DATE,1987,1,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2000,96,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2001,241,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2002,49,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2003,388,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2004,64,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2005,1056,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2006,129,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2007,1705,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2008,118,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2009,1552,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2010,77,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2011,1859,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2012,88,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2013,2094,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2014,81,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2015,2165,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2016,54,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2017,2519,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
CA_LOBBY_AMENDMENTS,FROM_DATE,2018,58,25249,2000,2025,1,CA_LOBBY_AMENDMENTS FROM_DATE 2000-2025
