company,contract_usd,osha_sites,cases,deaths,hours,rate,industry_rate,x_industry,top_naics,epa_sites,epa_formal_actions,epa_noncompliance_quarters
AMAZON COM,133288878.88,2283,77720.0,3.0,2499454303.0,6.22,4.75,1.31,493110,1631,24.0,907.0
BOEING,-0.09,4,0.0,0.0,180820.0,0.0,1.4,0.0,236210,17,0.0,10.0
HONEYWELL INTERNATIONAL,10273099543.2,70,73.0,0.0,53989991.0,0.27,1.22,0.22,238210,88,7.0,56.0
JPMORGAN CHASE,1306326.36,0,0,0,0,,,,,142,0.0,0.0
PFIZER,1896682296.16,34,146.0,0.0,69183967.0,0.42,1.02,0.41,551114,30,0.0,18.0
AMGEN,342244696.98,16,53.0,0.0,49573734.0,0.21,1.03,0.21,325412,17,0.0,1.0
BANK OF AMERICA,3997118.91,4,7.0,0.0,2053674.0,0.68,0.73,0.93,561210,875,2.0,11.0
CITIBANK,10839046.09,0,0,0,0,,,,,43,0.0,0.0
ELI LILLY,0.0,28,495.0,0.0,81979832.0,1.21,0.79,1.53,325412,69,0.0,11.0
EXXON MOBIL,336564032.79,1,0.0,0.0,97566.0,0.0,1.1,0.0,238990,850,5.0,53.0
FEDEX,2995589396.55,0,0,0,0,,,,,46,1.0,0.0
FORD MOTOR,893593941.88,106,9555.0,1.0,227435681.0,8.4,3.97,2.12,336112,179,3.0,63.0
GENENTECH,450149681.84,14,216.0,0.0,46502605.0,0.93,0.76,1.23,541714,11,2.0,8.0
GENERAL DYNAMICS,42105128601.1,141,3776.0,2.0,173717064.0,4.35,2.66,1.63,336611,181,2.0,66.0
GENERAL MOTORS,570620328.29,114,5158.0,0.0,419279461.0,2.46,3.18,0.77,336370,211,11.0,51.0
GOLDMAN SACHS,4692154.27,8,15.0,0.0,575519.0,5.21,3.09,1.69,561700,2,0.0,0.0
LOCKHEED MARTIN,123089436704.05,337,2422.0,0.0,453536020.0,1.07,1.33,0.8,336411,305,8.0,112.0
MICROSOFT,1016551905.32,0,0,0,0,,,,,18,0.0,2.0
NORTHROP GRUMMAN,33704543544.51,223,1886.0,2.0,334915572.0,1.13,0.96,1.17,334511,237,4.0,52.0
OTSUKA AMERICA PHARMACEUTICAL,3050835.62,6,14.0,0.0,9525120.0,0.29,0.87,0.34,424210,4,0.0,0.0
PAYPAL,0.0,1,0.0,0.0,12000.0,0.0,3.06,0.0,722310,1,0.0,0.0
PRUDENTIAL FINANCIAL,19356709.49,0,0,0,0,,,,,1,0.0,0.0
T MOBILE,129343343.84,7,51.0,0.0,5856329.0,1.74,4.18,0.42,493110,182,0.0,15.0
TESLA,0.0,571,9479.0,1.0,378564002.0,5.01,2.19,2.29,336110,114,1.0,26.0
TEXTRON,3875022861.37,16,65.0,0.0,9937466.0,1.31,2.9,0.45,488190,11,0.0,0.0
U S BANCORP,23021098.36,0,0,0,0,,,,,3,0.0,0.0
WALMART,0.0,3362,42876.0,7.0,1714130078.0,5.0,4.86,1.03,452910,42,0.0,2.0
WELLS FARGO,9954321.36,52,27.0,0.0,3291009.0,1.64,1.31,1.25,561210,219,5.0,28.0
3M,0.0,0,0,0,0,,,,,34,7.0,30.0
A2Z DEVELOPMENT CENTER,0.0,0,0,0,0,,,,,1,0.0,0.0
AARP,0.0,1,0.0,0.0,34865.0,0.0,3.06,0.0,722310,0,0,0
ABBOTT LABORATORIES,503501067.73,7,3.0,0.0,363009.0,1.65,2.65,0.62,722310,48,0.0,16.0
ABBVIE,988379.64,37,155.0,0.0,181570471.0,0.17,0.93,0.18,325412,8,0.0,5.0
ABIOMED,14777631.86,3,13.0,0.0,3977988.0,0.65,0.89,0.74,339112,6,0.0,0.0
ABM,399869.18,3,2413.0,0.0,174402545.0,2.77,1.12,2.48,531120,3,0.0,0.0
ACADIA HEALTHCARE MANAGEMENT,0.0,242,2635.0,1.0,66973672.0,7.87,6.95,1.13,622210,0,0,0
ADOBE,47342.82,0,0,0,0,,,,,2,0.0,0.0
ADVANCED ACCELERATOR APPLICATIONS,53055042.72,0,0,0,0,,,,,1,0.0,1.0
ADVENTIST HEALTH SYSTEM,0.0,92,4734.0,0.0,155910418.0,6.07,4.1,1.48,622110,3,0.0,0.0
AECOM,1587629908.31,10,42.0,1.0,72701767.0,0.12,0.58,0.2,541330,6,0.0,0.0
AIR PRODUCTS & CHEMICALS,0.0,0,0,0,0,,,,,97,4.0,41.0
AIRGAS,29612764.93,245,55.0,0.0,16901902.0,0.65,1.6,0.41,424690,102,4.0,31.0
ALBERTSONS,0.0,438,1821.0,0.0,71974618.0,5.06,4.61,1.1,445110,26,0.0,0.0
ALCOA,201600.0,5,67.0,0.0,2433895.0,5.51,3.25,1.69,331313,10,0.0,5.0
ALCON VISION,7343612.7,11,168.0,0.0,25602424.0,1.31,1.1,1.19,325412,1,0.0,0.0
ALEXION PHARMACEUTICALS,1441918.2,13,10.0,0.0,10495958.0,0.19,0.47,0.4,551114,5,0.0,3.0
ALIGN TECHNOLOGY,0.0,3,1.0,0.0,2276432.0,0.09,1.64,0.05,339114,2,0.0,0.0
ALKERMES,0.0,3,9.0,0.0,3903172.0,0.46,0.92,0.5,325412,6,0.0,0.0
ALLIED SIGNAL,0.0,0,0,0,0,,,,,57,0.0,0.0
ALLINA HEALTH,0.0,180,3053.0,0.0,84789666.0,7.2,3.5,2.05,622110,89,0.0,0.0
ALPHATEC SPINE,0.0,0,0,0,0,,,,,3,0.0,0.0
ALSTOM TRANSPORTATION,0.0,11,30.0,0.0,3764497.0,1.59,1.41,1.13,336510,4,0.0,16.0
ALTRIA CLIENT,0.0,5,5.0,0.0,3383066.0,0.3,0.66,0.45,551114,1,0.0,0.0
AMAZON WEB,347131003.38,3,0.0,0.0,114218.0,0.0,0.79,0.0,541330,3,0.0,0.0
AMERICAN AIRLINES GROUP AA DFW DALLAS FORT WORTH,0.0,1,1476.0,0.0,22030413.0,13.4,6.59,2.03,481111,0,0,0
AMERICAN AIRLINES GROUP AA JFK NEW YORK JOHN F KENNEDY,0.0,16,4213.0,0.0,61855747.0,13.62,6.37,2.14,481111,0,0,0
AMERICAN CHEMISTRY COUNCIL,13250.0,2,0.0,0.0,14280.0,0.0,0.89,0.0,561210,0,0,0
AMERICAN EXPRESS,10594585.5,1,1.0,0.0,298000.0,0.67,2.25,0.3,484121,18,0.0,0.0
AMERICAN MED RESPONSEGLOBAL MED RESPONSE 015025,0.0,788,2102.0,8.0,67233270.0,6.25,4.13,1.51,621910,0,0,0
ANGIODYNAMICS,196402.66,0,0,0,0,,,,,4,0.0,0.0
APPLE,166028.01,16,7.0,0.0,1824000.0,0.77,3.65,0.21,493110,251,1.0,18.0
ARAMARK,6902478.02,988,1690.0,0.0,8084778.0,41.81,2.78,15.03,722310,14,0.0,0.0
ARCHER DANIELS MIDLAND,272182364.97,155,208.0,1.0,39771185.0,1.05,2.13,0.49,311224,98,18.0,80.0
ARCTIC SLOPE REGIONAL,2565069517.98,2,12.0,0.0,3310000.0,0.73,2.1,0.34,238320,2,0.0,0.0
ARGOS,0.0,22,14.0,0.0,1691999.0,1.65,1.18,1.41,327320,51,0.0,0.0
ARTHREX,134238416.87,5,87.0,0.0,8421304.0,2.07,1.44,1.44,339112,4,0.0,2.0
ASSOCIATED BUILDERS AND CONTRACTORS,0.0,0,0,0,0,,,,,1,0.0,0.0
ASSOCIATION OF AMERICAN RAILROADS,0.0,0,0,0,0,,,,,1,0.0,0.0
ASTELLAS PHARMA,0.0,4,5.0,0.0,11844280.0,0.08,0.95,0.09,325412,2,0.0,0.0
ASTRAZENECA PHARMACEUTICALS,-12475.29,2,11.0,0.0,3182869.0,0.69,0.77,0.9,325414,11,0.0,1.0
AT&T,2549466438.91,0,0,0,0,,,,,462,1.0,24.0
AZZ,0.0,85,181.0,0.0,12499865.0,2.9,2.62,1.11,332812,2,0.0,0.0
BAE SYSTEMS,16563791462.32,110,441.0,0.0,88811083.0,0.99,1.49,0.67,334419,173,14.0,39.0
BANK OF AMERICA NATIONAL ASSOCIATION,3997118.91,0,0,0,0,,,,,1,0.0,0.0
BARCLAYS BANK DELAWARE,0.0,0,0,0,0,,,,,1,0.0,0.0
BASF,0.0,76,112.0,0.0,27475320.0,0.82,1.37,0.6,325199,169,7.0,68.0
BATTELLE MEMORIAL INSTITUTE,8597284232.22,2,10.0,0.0,496000.0,4.03,2.28,1.77,336992,10,0.0,3.0
BAYER HEALTHCARE PHARMACEUTICALS,6040220.8,0,0,0,0,,,,,8,0.0,1.0
