company,lists,contract_usd,osha_sites,cases,deaths,hours,expected,epa_sites,formal_actions,serious_violator,penalty_alloc
PACIFIC GAS AND ELECTRIC,lobbying,86277933.39,,,,,,376,2.0,0.0,0.0
PACIFICORP,pacs,2341131.27,58,38.0,0.0,13360196.0,120.241764,5,0.0,0.0,0.0
STRAUMANN,doctor_payments,-4246.91,3,5.0,0.0,1920542.0,13.443794,1,0.0,0.0,0.0
T MOBILE,lobbying visas,129343343.84,7,51.0,0.0,5856329.0,121.381821,182,0.0,0.0,13997.04
TRIAD NATIONAL SECURITY,contracts,9741494313.27,,,,,,,,,
BOTTLING,injuries,1343487.57,679,8947.0,1.0,232982119.0,3906.135376,17,0.0,0.0,0.0
INTUITIVE SURGICAL,doctor_payments,151017989.13,1,0.0,0.0,30957.0,0.650097,16,0.0,0.0,0.0
LAND O LAKES,toxic_release,28525439.42,77,259.0,0.0,24073554.0,244.517055,232,14.0,0.0,60781.95
CLEVELAND CLINIC FOUNDATION,injuries,1908249.47,245,10345.0,0.0,222476757.0,4380.310361,1,1.0,0.0,0.0
COMCAST CABLE COMMUNICATIONS,visas,4443445.2,1557,2656.0,1.0,219027811.0,1531.209406,52,0.0,0.0,25804.48
OPTUM LABS TOPAZ,contracts,19530305170.51,,,,,,,,,
MARATHON PETROLEUM,toxic_release,641158482.27,191,237.0,2.0,82722893.0,527.73487,139,6.0,0.0,3914453.99
MAXIMUS FEDERAL,complaints,2394600374.68,,,,,,,,,
ARTHREX,doctor_payments,134238416.87,5,87.0,0.0,8421304.0,71.668728,4,0.0,0.0,0.0
BANK OF AMERICA NATIONAL ASSOCIATION,complaints,3997118.91,,,,,,1,0.0,0.0,0.0
GILEAD SCIENCES,doctor_payments,-485795.22,6,23.0,0.0,4129667.0,25.564167,21,0.0,0.0,1000.0
ELI LILLY,doctor_payments lobbying,0.0,28,495.0,0.0,81979832.0,663.208236,69,0.0,0.0,45000.0
BIOGEN,doctor_payments,163037.25,11,31.0,0.0,19067003.0,104.997432,13,0.0,0.0,0.0
PHILLIPS 66,toxic_release,922270562.59,97,30.0,0.0,37962990.0,199.246347,578,37.0,0.0,3034432.68
DELOITTE CONSULTING,visas,6213402571.65,,,,,,,,,
EXACTECH,doctor_payments,15747.44,3,20.0,0.0,2147642.0,15.932732,1,0.0,0.0,0.0
CITIGROUP,pacs,7391117.88,,,,,,2,0.0,0.0,0.0
NOVARTIS PHARMACEUTICALS,doctor_payments,-18841773.0,4,34.0,0.0,27228077.0,163.368462,10,0.0,0.0,9000.0
MISCELLANEOUS FOREIGN AWARDEES,contracts,1463083856.94,,,,,,,,,
ADOBE,visas,47342.82,,,,,,2,0.0,0.0,0.0
ALEXION PHARMACEUTICALS,doctor_payments,1441918.2,13,10.0,0.0,10495958.0,22.133908,5,0.0,0.0,0.0
ORACLE AMERICA,visas,98366554.81,2,1.0,0.0,862920.0,3.45168,21,0.0,0.0,0.0
OTSUKA AMERICA PHARMACEUTICAL,doctor_payments pacs,3050835.62,6,14.0,0.0,9525120.0,152.40192,4,0.0,0.0,0.0
POLARIS CONSULTING,visas,916972.72,,,,,,,,,
RAYTHEON,contracts,35749959003.58,81,274.0,0.0,176287748.0,1542.886151,60,0.0,0.0,1998.0
L3HARRIS TECHNOLOGIES,contracts,16480441672.14,94,130.0,0.0,80265382.0,635.073943,27,1.0,0.0,6875.0
ROCKWELL COLLINS AUSTRALIA PTY,contracts,25375400525.1,,,,,,,,,
AECOM,contracts,1587629908.31,10,42.0,1.0,72701767.0,300.236664,6,0.0,0.0,0.0
ILLINOIS TOOL WORKS,toxic_release,41424598.52,39,74.0,0.0,19103598.0,134.653507,34,0.0,0.0,14249.4
CACI INTERNATIONAL,contracts,7422835667.22,,,,,,1,0.0,0.0,0.0
WICO,contracts,10078217808.2,,,,,,1,0.0,0.0,0.0
LEGGETT & PLATT,toxic_release,968835.88,63,214.0,0.0,14512985.0,201.506524,64,0.0,0.0,244831.0
AMERICAN HOSPITAL ASSOCIATION,lobbying,2285823.0,,,,,,,,,
UNIVAR SOLUTIONS,toxic_release,75839.6,130,47.0,0.0,12763471.0,210.579788,110,14.0,0.0,737985.2
RPM INTERNATIONAL,toxic_release,3276352.17,25,31.0,0.0,15493429.0,96.109183,,,,
AMERICAN EXPRESS,complaints,10594585.5,1,1.0,0.0,298000.0,4.768,18,0.0,0.0,2500.0
ROLLS ROYCE,contracts,2136458576.86,40,34.0,0.0,15253381.0,193.456772,49,0.0,0.0,151780.0
GENERAL ATOMICS,contracts,4843812232.18,135,168.0,0.0,38529781.0,457.796106,66,0.0,0.0,103200.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,contracts,5024778335.26,,,,,,3,0.0,0.0,0.0
COINBASE,complaints,6978346.66,,,,,,,,,
NOVARTIS,lobbying,-5792086.77,13,51.0,0.0,7002371.0,37.826338,1,0.0,0.0,0.0
CITIBANK,complaints visas,10839046.09,,,,,,43,0.0,0.0,0.0
U S BANCORP,complaints pacs,23021098.36,,,,,,3,0.0,0.0,0.0
UT BATTELLE,contracts,5259117924.53,,,,,,1,0.0,0.0,0.0
EDWARDS LIFESCIENCES,doctor_payments,50446944.09,5,134.0,0.0,27959861.0,195.719027,14,3.0,0.0,270274.0
HALLMARK CARDS,pacs,14325.0,4,78.0,0.0,5839268.0,115.830478,18,0.0,0.0,30000.0
AMERICAN BANKERS ASSOCIATION,lobbying,132787.0,,,,,,,,,
GOOGLE,visas,3976277.7,3,0.0,0.0,58229.0,0.524061,210,0.0,0.0,40500.0
MASS GENERAL BRIGHAM,injuries,7804596.3,44,4767.0,0.0,264414626.0,4871.68871,29,0.0,0.0,300.0
REGENERON PHARMACEUTICALS,doctor_payments,326475498.0,2,51.0,0.0,20182833.0,121.096998,9,0.0,0.0,0.0
SAVANNAH RIVER NUCLEAR SOLUTIONS,contracts,4642097742.79,,,,,,2,0.0,0.0,2500.0
TAKEDA PHARMACEUTICALS,doctor_payments,5885693.22,4,112.0,0.0,6902839.0,41.417034,3,0.0,0.0,0.0
CHEMONICS INTERNATIONAL,contracts,2826769665.51,,,,,,,,,
TRANSWORLD SYSTEMS,complaints,13051004.92,,,,,,1,0.0,0.0,0.0
HENSEL PHELPS CONSTRUCTION,contracts,2124133704.94,115,57.0,0.0,10237033.0,30.711099,4,0.0,0.0,0.0
NATIONAL ASSOCIATION OF MANUFACTURERS,lobbying,16500.0,,,,,,,,,
GLAXOSMITHKLINE,doctor_payments,75508082.46,3,11.0,0.0,5193900.0,20.7756,9,0.0,0.0,13400.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,contracts,2864590882.37,,,,,,12,1.0,0.0,15000.0
WALT DISNEY,injuries,-64364.14,64,12207.0,1.0,429440958.0,7926.99972,51,0.0,0.0,559300.0
EXELON,pacs,216042291.93,1,0.0,0.0,8507.0,0.076563,,,,
COMCAST,lobbying,65147699.64,,,,,,77,0.0,0.0,64603.0
AT&T,pacs,2549466438.91,,,,,,462,1.0,0.0,134966.57
STRYKER,doctor_payments,209156990.24,1,0.0,0.0,1152440.0,8.06708,5,0.0,0.0,0.0
PARSONS,contracts,3842392841.85,,,,,,,,,
STATE OF CALIFORNIA CONTROLLERS OFFICE,contracts,1816523795.38,,,,,,,,,
MICROSOFT,lobbying visas,1016551905.32,,,,,,18,0.0,0.0,0.0
NELNET,complaints,549704413.37,10,7.0,0.0,20508372.0,149.83291,,,,
CLEAN HARBORS,toxic_release,56506592.14,1739,240.0,0.0,70560923.0,1269.260995,442,84.0,0.0,3983544.3
SPACE EXPLORATION TECHNOLOGIES,contracts,5828115228.24,20,781.0,0.0,70424839.0,1021.731987,37,4.0,0.0,130580.0
SHERWIN WILLIAMS,toxic_release,9553099.55,208,314.0,0.0,39105643.0,417.390814,3231,30.0,0.0,10169475.67
NTT DATA,visas,494550544.09,,,,,,1,0.0,0.0,0.0
CERBERUS CAPITAL MANAGEMENT,contracts,-25812.78,1,0.0,0.0,8640.0,0.05184,,,,
ADVANCED ACCELERATOR APPLICATIONS,doctor_payments,53055042.72,,,,,,1,0.0,0.0,0.0
LAWRENCE LIVERMORE NATIONAL SECURITY,contracts,6132627315.17,,,,,,,,,
KAISER FOUNDATION HEALTH PLAN,injuries,53360561.98,189,9567.0,0.0,256117742.0,5299.437657,9,0.0,0.0,0.0
CONSOLIDATED NUCLEAR SECURITY,contracts,6978141184.66,,,,,,,,,
RELADYNE,toxic_release,4655829.17,,,,,,16,1.0,0.0,25000.0
AMERICAN MEDICAL ASSOCIATION,lobbying,3151845.27,,,,,,,,,
NUCOR,toxic_release,0.0,45,81.0,0.0,21887675.0,298.600693,4,0.0,0.0,0.0
OWENS CORNING,toxic_release,1303881.65,108,167.0,0.0,25932454.0,227.03374,120,19.0,0.0,628962.0
UNITED LAUNCH ALLIANCE,contracts,2620441238.92,13,30.0,0.0,11726054.0,196.076382,13,0.0,0.0,1500.0
DEPUY SYNTHES PRODUCTS,doctor_payments,14623.07,1,1.0,0.0,127312.0,0.891184,6,0.0,0.0,0.0
FEDEX FREIGHT,injuries,8527.77,1019,3425.0,2.0,164684653.0,2634.954448,657,4.0,0.0,130122.0
BOOZ ALLEN HAMILTON,contracts,16294423944.31,4,2.0,0.0,279110.0,3.711206,1,0.0,0.0,0.0
ABBOTT LABORATORIES,doctor_payments,503501067.73,7,3.0,0.0,363009.0,4.107057,48,0.0,0.0,43936.5
KBR,contracts,4484297027.54,2,8.0,0.0,2137453.0,19.237077,1,0.0,0.0,0.0
L 3 COMMUNICATIONS,contracts,13589976.38,2,3.0,0.0,46744.0,0.607672,72,0.0,0.0,35526.0
LIVANOVA,doctor_payments,4549845.04,2,14.0,0.0,1063616.0,7.445312,1,1.0,0.0,7000.0
CORELOGIC,complaints,-7833571.79,,,,,,,,,
ASTRAZENECA UK,doctor_payments,1441918.2,,,,,,,,,
JOHNS HOPKINS UNIVERSITY,contracts,4108412114.95,,,,,,6,0.0,0.0,29380.0
ITT,contracts,14748157.2,2,0.0,0.0,108500.0,1.1935,4,0.0,0.0,3750.0
QUALCOMM,lobbying,177975.3,,,,,,22,0.0,0.0,0.0
SANOFI AVENTIS,doctor_payments,57954620.83,1,0.0,0.0,1159147.0,4.636588,13,1.0,0.0,333.33
SODEXO,injuries,-7241951.34,14466,3488.0,0.0,441144406.0,5370.30882,2,0.0,0.0,0.0
EQUIFAX,complaints,59063734.56,,,,,,2,0.0,0.0,0.0
LOS ALAMOS NATIONAL SECURITY,contracts,-2000000.0,,,,,,1,0.0,0.0,0.0
EXPERIAN INFORMATION SOLUTIONS,complaints,64265819.89,,,,,,,,,
AMERICAN CHEMISTRY COUNCIL,lobbying,13250.0,2,0.0,0.0,14280.0,0.12852,,,,
