-- S07 GLEIF x OpenSanctions: every sanctioned company target with an LEI-shaped ID, with its GLEIF record (row level)
LEI | OS_ID | OS_NAME | OS_COUNTRIES | OS_SANCTIONS | PROGRAM_IDS | DATASETS | FIRST_SEEN | LAST_SEEN | G_LEI | G_NAME | G_CTRY | G_CITY | G_ESTATUS | G_RSTATUS | G_LOU | G_REG0 | G_UPD | G_NEXT | G_VALID | G_CAT
2138009N5RO52M7FED50 | NK-atCF7WLuMjuE8rfXPHZxnG | RODELER LIMITED | cy | MiFID - https://www.cysec.gov.cy/CMSPages/GetFile.aspx?guid=762d983f-f9f2-4041-bcea-22382256f64f - 2015-10-12 |  | EU ESMA Sanctions;Legal Entity Identifier (LEI) Reference Data;PermID Open Data | 2024-03-21 16:29:48 | 2026-08-05 09:54:15 | 2138009N5RO52M7FED50 | RODELER LIMITED | CY | LIMASSOL | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2014-03-05 00:00:00+00:00 | 2021-12-23 00:05:11.303000+00:00 | 2021-12-22 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
2138009TX2YK5IXI9Z94 | NK-AKdszMje3cd6xjfxzRFNva | Hightrade Finance Ltd | vc | CYBER2 - Executive Order 13757 (Cyber);Reciprocal - Active - 2021-11-08 | US-CYB | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;US OFAC Press Releases;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL) | 2023-04-20 10:27:20 | 2026-08-05 18:53:01 | 2138009TX2YK5IXI9Z94 | NETWORK PLANET LTD. | VC | KINGSTOWN | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2019-07-01 00:00:00+00:00 | 2023-03-06 11:47:54.350000+00:00 | 2020-07-01 00:00:00+00:00 | PARTIALLY_CORROBORATED | GENERAL
213800AZB1DAC15MIZ02 | NK-Nky8Bc9MW2Be4nwsBx2ec4 | Proven Honour Capital Limited | gb;vg | CMIC-EO13959 - Executive Order 14032 (CMIC) - 2022-06-03 - 2021-08-02;Entity List (EL) - Bureau of Industry and Security - For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 - 2020-08-20;Reciprocal - Active - 2021-06-03 | US-BIS-EL;US-NS-CMIC | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;US OFAC Consolidated (non-SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL) | 2023-04-20 10:56:14 | 2026-08-05 18:53:01 | 213800AZB1DAC15MIZ02 | PROVEN HONOUR CAPITAL LIMITED | VG | ROAD TOWN | ACTIVE | ISSUED | 213800WAVVOPS85N2205 | 2018-01-05 00:00:00+00:00 | 2025-12-10 10:24:22.877000+00:00 | 2027-01-05 00:00:00+00:00 | PARTIALLY_CORROBORATED | GENERAL
213800D3GHTXSQWVUA71 | lei-213800D3GHTXSQWVUA71 | Celina Fondförvaltning AB | se | UCITS - 12 kap. 1 § lagen [2004:46] om värdepappersfonder - 2022-11-15 |  | EU ESMA Sanctions;Legal Entity Identifier (LEI) Reference Data;PermID Open Data | 2024-03-21 16:29:48 | 2026-08-05 09:54:15 | 213800D3GHTXSQWVUA71 | Celina Fondförvaltning AB | SE | Stockholm | ACTIVE | LAPSED | 549300O897ZC5H7CY412 | 2016-01-20 00:00:00+00:00 | 2025-07-03 23:01:33+00:00 | 2025-07-03 10:39:00+00:00 | FULLY_CORROBORATED | GENERAL
213800F8AMPULEKXFX22 | NK-kBV5HhYFXQvoC4XvQwVkNg | ARRICANO REAL ESTATE PLC | cy | 417/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, призводять до окупації території, експропріа | UA-SA1644 | Cyprus Companies and Corporate Officers;Legal Entity Identifier (LEI) Reference Data;Ukraine NSDC State Register of Sanctions | 2025-06-22 12:22:03 | 2026-08-05 16:22:02 | 213800F8AMPULEKXFX22 | ARRICANO REAL ESTATE PLC | CY | LIMASSOL | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2017-01-24 00:00:00+00:00 | 2021-05-05 15:10:46.747000+00:00 | 2019-02-02 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800JCL1FHBQK3M654 | NK-hjByiKxHx7YGHVGX7GfzG3 | HSBC North America Holdings Inc. | us | 2010-10-04 - 2018-08-07;2012-12-11;2013-02-28 - 2018-01-12;2016-02-05;2017-09-29 - 2023-08-18 | US-FED-ENF | Business Identifier Code (BIC) Reference Data;Legal Entity Identifier (LEI) Reference Data;US Federal Reserve Enforcement Actions | 2024-12-05 16:08:16 | 2026-08-05 09:54:15 | 213800JCL1FHBQK3M654 | HSBC NORTH AMERICA HOLDINGS INC. | US | WILMINGTON | ACTIVE | ISSUED | 213800WAVVOPS85N2205 | 2014-03-11 00:00:00+00:00 | 2026-03-02 11:05:45.530000+00:00 | 2027-03-31 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800I3615B4E1YU383 | NK-azc3Q5shw5aw4jRkGCrR3u | КаргоЛоджикЕйр Лтд. | gb | 279/2023 - active - 2023-05-12 - 2028-05-12 | UA-SA1644 | Legal Entity Identifier (LEI) Reference Data;UK Companies House People with Significant Control;Ukraine NSDC State Register of Sanctions | 2023-05-25 20:13:16 | 2026-08-05 16:22:02 | 213800I3615B4E1YU383 | CARGOLOGICAIR LTD. | GB | UXBRIDGE | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2018-03-14 00:00:00+00:00 | 2025-10-06 08:56:55.700000+00:00 | 2020-04-18 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800HTIY6D1KMBG757 | NK-DC4R48SCEMmbcURFzktAKy | Persia International Bank Plc | ae;gb;it | ;(UE) 2025/1980 du 29/09/2025 (UE Iran prolifération - R (UE) 267/2012) - Date d'inscription 16.11.2013, suspendue depuis le 16.1.2016 - Persia International Bank PLC est une entité détenue et contrôlée par Bank Mellat et Bank Tejarat. Tejarat Bank et Bank Mellat sont partiellement détenues et contrôlées par le gouvernement iranien. En outre, elles fournissent un soutien financier au gouvernement  | EU-IRN;GB-IRAN-NW;SECO-IRAN;US-IRAN | Belgian Financial Sanctions;Business Identifier Code (BIC) Reference Data;EU Council Official Journal Sanctioned Entities;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;OpenCorporates;PermID Open Data;Swiss SECO Sanctions/Embargoes;Taiwan Strategic High-Tech Commodities Entity List;UK Companies House Disqualified Directors;UK Companies House People with Significant Control;UK FCDO Sanctions List;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2023-04-20 10:27:20 | 2026-08-05 18:53:01 | 213800HTIY6D1KMBG757 | PERSIA INTERNATIONAL BANK PLC | GB | LONDON | ACTIVE | LAPSED | 529900F6BNUR3RJ2WH29 | 2014-12-11 01:00:00+01:00 | 2025-12-13 19:00:47+01:00 | 2025-12-13 09:23:04+01:00 | FULLY_CORROBORATED | GENERAL
213800HENP1FDZHJAF13 | NK-fLvsb2e5yrpdx9A9ZVxwKm | TRANS-SIBERIAN GOLD LIMITED | gb | ;RUSSIA-EO14024 - Executive Order 14024 (Russia);Reciprocal - Active - 2023-12-12 | US-RUSHAR | Legal Entity Identifier (LEI) Reference Data;OpenCorporates;PermID Open Data;Russian Unified State Register of Legal Entities;Taiwan Strategic High-Tech Commodities Entity List;UK Companies House People with Significant Control;UK Financial Instruments Reference Data System (FIRDS);US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2023-12-12 16:10:01 | 2026-08-05 18:53:01 | 213800HENP1FDZHJAF13 | TRANS-SIBERIAN GOLD PLC | GB | CAMBRIDGE | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2017-01-26 00:00:00+00:00 | 2025-03-10 11:33:25.007000+00:00 | 2022-01-26 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800HFBG8GID98ID84 | NK-5ojhVaStaUMxqyVZ5faa2Y | Велес Інтернешнл Лімітед | cy | ;191/2023 - active - 2023-04-01 - 2033-04-01 | UA-SA1644 | Business Identifier Code (BIC) Reference Data;Cyprus Companies and Corporate Officers;Legal Entity Identifier (LEI) Reference Data;Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2023-04-20 10:50:14 | 2026-08-05 16:22:02 | 213800HFBG8GID98ID84 | VELES INTERNATIONAL LIMITED | CY | NICOSIA | ACTIVE | ISSUED | 213800WAVVOPS85N2205 | 2014-02-11 00:00:00+00:00 | 2026-02-25 11:06:54.620000+00:00 | 2027-02-25 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
