-- S09 OFAC SDN list's own remarks: LEIs OFAC itself printed, joined to GLEIF (official key, not OpenSanctions matching)
ENT_NUM | SDN_NAME | SDN_TYPE | PROGRAM | LEI | REMARKS | G_LEI | G_NAME | G_CTRY | G_CITY | G_RSTATUS | G_ESTATUS | G_LOU | G_REG0 | G_UPD | G_NEXT | G_VALID | SDN_LOADED
54200 | CONTINENTAL SINOIL GROUP LIMITED |  | SDGT] [IFSR | 836800NDNIU7XUU8IS41 | Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Organization Established Date 08 Jul 2022; Company Number 3170204 (Hong Kong); Legal Entity Number 836800NDNIU7XUU8IS41; Business Registration Number 74219776 (Hong Kong); Linked To: SEPEHR ENERGY J | 836800NDNIU7XUU8IS41 | CONTINENTAL SINOIL GROUP LIMITED | CN | 香港 | LAPSED | ACTIVE | 655600IJ8LS3CCDA4421 | 2023-08-11 09:45:20+08:00 | 2025-11-20 00:10:12+08:00 | 2025-11-19 09:45:19+08:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
48638 | KARA INDUSTRIAL TRADING GMBH |  | IRAN-EO13871 | 549300BYIOZP5U0LN442 | Additional Sanctions Information - Subject to Secondary Sanctions; Organization Established Date 23 Sep 2014; V.A.T. Number DE29782687 (Germany); Legal Entity Number 549300BYIOZP5U0LN442 (Germany); Registration Number HRB 73611 (Germany); Linked To: KHOUZESTAN STEEL COMPANY. | 549300BYIOZP5U0LN442 | Kara Industrial Trading GmbH | DE | Düsseldorf | ISSUED | ACTIVE | 39120001KULK7200U106 | 2015-06-25 01:34:00+02:00 | 2026-04-27 08:54:04.050000+02:00 | 2027-06-22 15:45:00+02:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
17248 | LUKOIL OAO |  | UKRAINE-EO13662] [RUSSIA-EO14024 | 549300LCJ1UJXHYBWI24 | Website www.lukoil.ru; Email Address info@lukoil.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024. | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" | RU | Москва | LAPSED | ACTIVE | 253400M18U5TB02TW421 | 2017-08-10 04:56:00+03:00 | 2025-09-15 16:33:14.787000+03:00 | 2024-11-16 11:04:35.890000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
56405 | TR6 PETRO INDIA LLP |  | IRAN-EO13846 | 984500A5CB6A11D49852 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 17 Jun 2022; Identification Number ABB-4044 (India); Legal Entity Number 984500A5CB6A11D49852. | 984500A5CB6A11D49852 | TR6 PETRO INDIA LLP | IN | Pune | ISSUED | ACTIVE | 529900T8BM49AURSDO55 | 2024-08-08 11:01:34+00:00 | 2026-06-15 10:26:48+00:00 | 2027-08-08 11:01:35+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
54826 | MAX ENERGY FUEL TRADING L.L.C |  | IRAN-EO13902 | 549300GPZ1K88ECYWZ31 | Website www.maxenergyco.com; Organization Established Date 24 Nov 2016; Commercial Registry Number 1258008 (United Arab Emirates); License 770968 (United Arab Emirates); Chamber of Commerce Number 280183 (United Arab Emirates); Legal Entity Number 549300GPZ1K88ECYWZ31; Economic Register Number (CBLS | 549300GPZ1K88ECYWZ31 | MAX ENERGY FUEL TRADING L.L.C | AE | DUBAI | LAPSED | ACTIVE | 213800WAVVOPS85N2205 | 2018-10-02 14:31:00+00:00 | 2023-07-31 17:11:36.903000+00:00 | 2022-10-05 06:13:00+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
55897 | HENGYANG PETROCHEMICAL LOGISTICS LIMITED |  | IRAN-EO13846 | 529900DDOTJZ269JMY62 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 2002; Business Registration Number 200807923K (Singapore); Registration Number 529900DDOTJZ269JMY62 (Singapore). | 529900DDOTJZ269JMY62 | HENGYANG PETROCHEMICAL LOGISTICS LIMITED | SG | Singapore | LAPSED | ACTIVE | 5299000J2N45DDNE4Y28 | 2019-09-11 16:30:22+02:00 | 2026-02-28 12:42:05+01:00 | 2020-09-11 16:30:22+02:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
36023 | SHANDONG SEA RIGHT PETROCHEMICAL CO., LTD. |  | SDGT] [IFSR | 300300F6NDTLFTB20270 | Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Organization Established Date 22 Aug 2006; Organization Code 792470309 (China); Legal Entity Number 300300F6NDTLFTB20270 (China); Registration Number 371100228041077 (China); Unified Social Credit C | 300300F6NDTLFTB20270 | 山东海右石化集团有限公司 | CN | 日照市 | LAPSED | ACTIVE | 655600IJ8LS3CCDA4421 | 2020-08-26 08:10:37+08:00 | 2023-02-21 20:57:21+08:00 | 2024-02-21 08:10:36+08:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
55899 | CHEMOVICK PRIVATE LIMITED |  | IRAN-EO13846 | 8945007UJCY0G41L6C70 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 20 Jun 2022; C.I.N. U51909MH2022PTC384952 (India); Tax ID No. 27AAKCC3982G1ZD (India); Legal Entity Number 8945007UJCY0G41L6C70. | 8945007UJCY0G41L6C70 | CHEMOVICK PRIVATE LIMITED | IN | Mumbai | ISSUED | ACTIVE | 485100001PLJJ09NZT59 | 2022-08-26 12:12:00+00:00 | 2025-08-04 10:07:51+00:00 | 2026-08-26 00:00:00+02:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
40776 | CONFIDERI PTE LTD |  | RUSSIA-EO14024 | 984500E975B997FA5E48 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 2010; Legal Entity Number 984500E975B997FA5E48; Registration Number 201207051Z (Singapore). | 984500E975B997FA5E48 | CONFIDERI PTE. LTD. | SG | Singapore | LAPSED | ACTIVE | 529900T8BM49AURSDO55 | 2020-05-07 18:42:48+00:00 | 2026-03-26 19:09:47+00:00 | 2021-05-07 20:10:57+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
55874 | C. J. SHAH AND CO. |  | IRAN-EO13846 | 335800VANQ3ETAVNHT54 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 26 Mar 1961; Tax ID No. 27AAAFC5600N2ZI (India); Legal Entity Number 335800VANQ3ETAVNHT54. | 335800VANQ3ETAVNHT54 | C. J. SHAH & CO | IN | MUMBAI | ISSUED | ACTIVE | 335800FVH4MOKZS9VH40 | 2018-02-15 13:22:47.001000+00:00 | 2026-01-20 11:19:48.169000+00:00 | 2027-02-14 18:30:00.001000+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
