domain,name,tier,bulk,horizon,have,why,have_v
Healthcare & Clinical,UDI / Device Identifier (DI) — GUDID,STEEL,yes,now,no — FDA(6 tables) present but device-listing/GUDID data not confir...,"Without DI as a join key, Ripple can't trace an FDA device recall or MAUDE injury cluster down to which hospitals actually bought and imp...",no
Healthcare & Clinical,FDA Establishment Identifier (FEI),STEEL,yes,now,"unclear — FDA(6 tables) present, FEI may already ride along unlabel...","A single unsafe compounding pharmacy or device plant can rack up failures across multiple FDA centers (drugs, devices, tissue) that never...",unclear
Healthcare & Clinical,Medicare Beneficiary Identifier (MBI) / legacy HICN,STEEL,no,nice-to-have-later,"no, and structurally cannot without a CMS Data Use Agreement","Patient-level linkage (e.g., 'this nursing home keeps discharging the same fragile patients into the ER and back') can only be inferred a...",no
Healthcare & Clinical,NPDB Report Number (National Practitioner Data Bank),STEEL,yes,nice-to-have-later,no — nothing in Ripple's agency list resembles NPDB; a genuine but ...,"This is the exact record behind the 'doctor gets disciplined, moves states, keeps hurting patients' pattern — but the public NPDB file is...",no
Healthcare & Clinical,NCPDP Provider ID (pharmacy identifier),STEEL,unclear,now,unclear but plausible — CMS(49 tables) is Ripple's largest source a...,"Pill-mill pharmacies with outsized opioid dispensing volumes are tracked in claims data by NCPDP ID, not always by DEA number in every fe...",unclear
Healthcare & Clinical,HIOS ID / Standard Component ID (health plan/issuer identifier),STEEL,yes,now,unclear — CMS(49 tables) is large; plausible an ACA marketplace/MLR...,"Junk/skimpy plans, high-denial insurers, and MLR-rebate-owed patterns live in separate CMS filing systems keyed only by HIOS ID. Without ...",unclear
Healthcare & Clinical,CDC NHSN OrgID (facility ID for healthcare-associated infection surveillance),STEEL,no,nice-to-have-later,"no, and can't get it in bulk — flagging as a documented dead end so...","Hospital-acquired infection and antibiotic-resistance patterns are squarely Ripple's kind of hidden institutional harm, but CDC explicitl...",no
Healthcare & Clinical,OPTN/UNOS Donor ID & Candidate ID (organ transplant),STEEL,no,nice-to-have-later,no — HRSA(2 tables) present but transplant/OPTN data not confirmed ...,"Transplant waitlist deaths and allocation bias — who waits longest, who gets bumped, by race/wealth/geography — is a textbook hidden-harm...",no
Healthcare & Clinical,FDA HCT/P (blood/tissue) Establishment Registration,STEEL,unclear,nice-to-have-later,no — would piggyback on the FEI acquisition above,Contaminated tissue/allograft or blood-borne pathogen transmission outbreaks are traceable only if establishment registration links to re...,no
Healthcare & Clinical,PTAN (Provider Transaction Access Number) — documented dead end,STEEL,no,nice-to-have-later,"no, and cannot legally acquire in bulk","N/A — sources explicitly state PTANs are private, not publicly disclosed, and used only to authenticate a provider calling their MAC. Not...",no
Healthcare & Clinical,340B ID (HRSA Office of Pharmacy Affairs Information System / OPAIS covered-entity ID),STEEL,yes,now,no — HRSA(1 table) present but not confirmed to be 340B/OPAIS data;...,340B is one of the most-investigated healthcare-money stories in journalism right now — hospitals and contract pharmacies pocketing the s...,no
Healthcare & Clinical,CHPL Product/Developer ID (ONC Certified Health IT Product List),STRONG,yes,now,no — nothing in the agency list touches health-IT certification; a ...,"EHR usability failures — alert fatigue, wrong-patient orders, misrouted lab results — cluster by vendor/product. Without linking a facili...",no
Healthcare & Clinical,Open Payments Covered Recipient Profile ID,STRONG,yes,now,plausibly yes — if CMS(49 tables) already includes an Open Payments...,Doctors who take the most drug/device money are one of Ripple's clearest 'who gets hurt' angles (patients prescribed the sponsor's drug o...,other
Healthcare & Clinical,SAMHSA Facility ID (Behavioral Health Treatment Locator / N-SSATS),STRONG,yes,now,"no — SAMHSA is a confirmed, real acquisition gap (agency not in Rip...","Patient-brokering and 'sober home' fraud schemes — facilities that churn insured addiction patients for billing, sometimes with fatal rel...",no
Healthcare & Clinical,American Hospital Association (AHA) ID,STRONG,no,nice-to-have-later,"no — not a government source, no confirmed foothold; the AHA Annual...",Hospital consolidation hides who's really responsible when a health system closes rural ERs or raises prices after a merger. AHA ID is th...,no
Healthcare & Clinical,IHS Facility Location Code (Indian Health Service),STRONG,unclear,nice-to-have-later,"no — genuine acquisition gap, IHS not in the agency list at all; th...","Chronic understaffing, closures, and care-quality gaps at IHS facilities are a distinct, under-covered harm pattern for Native American p...",no
Healthcare & Clinical,PECOS Enrollment ID / Associate Control ID,STRONG,unclear,now,plausibly yes — CMS(49 tables) is Ripple's single largest source an...,Ownership-change fraud — a sanctioned nursing-home operator re-enrolling under a shell entity — shows up as a new PECOS enrollment/associ...,other
Healthcare & Clinical,FSMB Physician Data Center Profile (DocInfo.org),STRONG,unclear,nice-to-have-later,no,State-hopping disciplined physicians is one of the clearest concrete accountability patterns in healthcare — no single state licensing bo...,no
Healthcare & Clinical,Nursys ID (NCSBN nurse licensure database),STRONG,unclear,nice-to-have-later,no,"Disciplined or license-revoked nurses moving between states is the same harm pattern as physician state-hopping, but affects a much large...",no
Healthcare & Clinical,UPIN (Unique Physician Identification Number) — legacy pre-NPI identifier,STRONG,unclear,now,unclear — HHS(2 tables) present; if one of those is the OIG LEIE ex...,This is exactly the 'older/legacy identifier system being phased out' trap: any investigation reaching back before 2007 (long-running pil...,unclear
Healthcare & Clinical,State Medical/Nursing/Pharmacy Board License Number,STRONG,unclear,nice-to-have-later,no — no state licensing board of any kind appears anywhere in Rippl...,"State-hopping disciplined clinicians is the marquee accountability story here, and FSMB/Nursys (already flagged) are commercial aggregato...",no
Healthcare & Clinical,FDA Disqualified / Restricted / Debarred Clinical Investigators List,STRONG,yes,now,no — FDA(6 tables) present but this specific disqualified-investiga...,This is a direct 'who gets hurt' list — patients enrolled as human subjects under a researcher FDA has already found faking data or viola...,no
Healthcare & Clinical,HRSA Health Center Program / UDS Site ID (FQHC),STRONG,yes,now,unclear — HRSA(1 table) present; plausibly Health Center Program da...,"FQHCs are the front-line safety-net clinics for the exact underserved populations HPSA/MUA flags — when one closes, loses federal grant f...",unclear
Healthcare & Clinical,HRSA HPSA/MUA Designation ID (Health Professional Shortage Area / Medically Underserved Area),WEAK,yes,now,no — HRSA(2 tables) present but shortage-area designation data not ...,"When a rural hospital or clinic closes in an area already flagged HPSA/MUA, that's a concrete, officially-documented 'who gets hurt' stor...",no
Healthcare & Clinical,VAERS ID (Vaccine Adverse Event Reporting System report number),WEAK,yes,now,no — CDC(9 tables)/FDA(6 tables) present but VAERS specifically not...,"Bad-vaccine-lot or manufacturer-specific safety-signal clustering is exactly the pattern-detection Ripple's mission targets, but each rep...",no
Healthcare & Clinical,ECFMG/USMLE ID (international medical graduate identifier),WEAK,no,nice-to-have-later,no,Patients treated by doctors from substandard offshore medical schools that keep getting accredited despite poor USMLE pass rates and high...,no
Healthcare & Clinical,ABMS Board Certification / Diplomate status,WEAK,no,nice-to-have-later,no,"Uncertified or certification-lapsed specialists performing high-risk procedures is a real 'who gets hurt' story, but there's no numeric I...",no
Healthcare & Clinical,Joint Commission Organization ID,WEAK,no,nice-to-have-later,no — Joint Commission is a private accreditor not in Ripple's agenc...,"A hospital that loses or is at risk of losing Joint Commission accreditation, or racks up National Patient Safety Goal citations, is flag...",no
Healthcare & Clinical,HHS OCR Breach Portal record (HIPAA Breach of Unsecured PHI),WEAK,yes,now,"unclear — HHS(2 tables) present, breach portal data not confirmed a...","Patient data breaches (ransomware attacks on hospitals, stolen laptops, insider snooping) are a well-established investigative-journalism...",unclear
