source,schema_name,table_name,model,clock,clock_column,grain,dtype,has_view,n_rows,why
CIVIL_RIGHTS.CIVIL_RIGHTS__FED_NARA_WRA_AAD,CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,civil_rights__fed_nara_wra_aad,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,consumer_protection__fed_cfpb_complaints,reported,DATE_RECEIVED,day,DATE,true,17168287,"try_to_date on the left 10 characters of CFPB's 'Date received': the day the agency received the complaint — the harm itself has no date anywhere in this source, so this reporting stamp is the honest axis for all 17.2M rows."
CONSUMER_SAFETY.CONSUMER_SAFETY__FED_CPSC_NEISS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_CPSC_NEISS,consumer_safety__fed_cpsc_neiss,happened,TREATMENT_DATE,day,DATE,true,9794971,"try_to_date(""TREATMENT_DATE"",'MM/DD/YYYY') - the day the patient was treated in the emergency department for the injury."
CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,consumer_safety__fed_nhtsa_complaints,happened,FAIL_DATE,day,DATE,true,2227941,"try_to_date(C8,'YYYYMMDD') - the day the component failed or the incident occurred; the year-0003 minimum is source typos, not the cast."
CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,consumer_safety__fed_nhtsa_investigations,decided,OPEN_DATE,day,DATE,true,154209,"try_to_date(C7,'YYYYMMDD') - the day NHTSA opened the investigation, an agency action."
CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_RECALLS,consumer_safety__fed_nhtsa_recalls,happened,NOTIFICATION_DATE,day,DATE,true,242993,"try_to_date(C13,'YYYYMMDD') aliased from NHTSA's ODATE - the day owners were notified of the recall; the 11 far-future rows (max 3019) are source typos, and the staging model also holds RCDATE (report received) which the mart does not expose."
CORE.DIM_COUNTY,CORE,DIM_COUNTY,dim_county,none,,none,,false,3222,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
CORE.DIM_DATE,CORE,DIM_DATE,dim_date,none,,none,,false,31411,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
CORE.DIM_STATE,CORE,DIM_STATE,dim_state,none,,none,,false,56,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
CORE.DIM_TRACT,CORE,DIM_TRACT,dim_tract,none,,none,,false,85391,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
CORE.XWALK_ZCTA_COUNTY,CORE,XWALK_ZCTA_COUNTY,xwalk_zcta_county,none,,none,,false,46960,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,corporate_registry__fed_icij_offshoreleaks_addresses,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,corporate_registry__fed_icij_offshoreleaks_entities,happened,INCORPORATION_DATE,day,DATE,true,814344,"try_to_date(INCORPORATION_DATE,'DD-MON-YYYY') - the day the offshore entity was incorporated."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,corporate_registry__fed_icij_offshoreleaks_intermediaries,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,corporate_registry__fed_icij_offshoreleaks_officers,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,corporate_registry__fed_icij_offshoreleaks_others,happened,INCORPORATION_DATE,day,DATE,true,2989,"try_to_date(INCORPORATION_DATE,'DD-MON-YYYY') - the day the foundation/partnership was formed."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_RELATIONSHIPS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_RELATIONSHIPS,corporate_registry__fed_icij_offshoreleaks_relationships,span_start,START_DATE,day,DATE,true,3339267,"try_to_date(START_DATE,'DD-MON-YYYY') - when the relationship (officer_of, intermediary_of, registered_address) began, opening the edge's period."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,corporate_registry__fed_irs_eo_bmf,decided,RULING_DATE,day,DATE,true,1983563,"try_to_date(RULING||'01','YYYYMMDD') - the month the IRS ruled the organization tax-exempt; RULING is a YYYYMM string per the staging header, so the day part is synthetic."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_ES_BORME,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,corporate_registry__intl_es_borme,reported,DATE,day,DATE,true,3,"try_to_date(DATE,'YYYY-MM-DD') in staging - the BORME gazette date on which the corporate act was published (publication, not necessarily when the act itself occurred)."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_IE_CRO,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,corporate_registry__intl_ie_cro,happened,INCORPORATION_DATE,day,DATE,true,821693,"try_to_date(COMPANY_REG_DATE,'YYYY-MM-DD') - the day the Irish company was incorporated; the staging comment records that its 1970 rows were re-checked and are real, not the epoch trap."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,corporate_registry__intl_uk_companies_house,happened,INCORPORATION_DATE,day,DATE,true,5734780,"try_to_date(""IncorporationDate"",'DD/MM/YYYY') - the day the company was incorporated; the in-file 2026-08-18 note says only 9 rows sit at 1970-01-01 and that the census's 2,237 epoch count and 1327 minimum could NOT be reproduced live."
CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,corporate_registry__uk_companies_house_psc,happened,DOB_YEAR,year,NUMBER,true,7000000,"try_to_number(DOB_YEAR) - the beneficial owner's birth year, the only clock among the two columns offered; note the staging model also carries notified_on and ceased_on, which are far better table clocks but were not in this batch."
CRIMINAL_JUSTICE.CRIMINAL_JUSTICE__FED_BJS_DATA,CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,criminal_justice__fed_bjs_data,reported,YEAR,year,TEXT,true,1000,"Raw passthrough of YEAR (no cast): the NCVS data year. LOW - the compiled SQL shows only a passthrough, so whether it means the incident year or the collection year is not established from files; treated as the survey year."
DBT_CROGERS.LAND_AND_TERRITORY__FED_BIA_TRIBAL_GEO,DBT_CROGERS,LAND_AND_TERRITORY__FED_BIA_TRIBAL_GEO,land_and_territory__fed_bia_tribal_geo,none,,none,,false,1,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ECONOMICS.ECONOMICS__FED_BLS_QCEW,ECONOMICS,ECONOMICS__FED_BLS_QCEW,economics__fed_bls_qcew,happened,YEAR,year,NUMBER,true,3619437,"try_to_number(YEAR) in the mart SQL; the row is a county-industry-ownership measurement for that calendar year, so the year is when the measured thing was true."
ECONOMICS.ECONOMICS__FED_DOL_FORM5500,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,economics__fed_dol_form5500,happened,PLAN_EFF_DATE,day,DATE,true,33484,"try_to_date(PLAN_EFF_DATE) is when the benefit plan came into existence, a real-world event, but it predates the filing by decades so it must not be used to place the filing; it is also the likely source of the census floor of 1878-01-01 and of some of the 71 epoch-1970 rows, since the cast is a bar"
ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,economics__fed_fac_single_audit,reported,FAC_ACCEPTED_DATE,day,DATE,true,411638,"try_to_date(FAC_ACCEPTED_DATE) is when the Federal Audit Clearinghouse accepted the submission; it dates the filing event, is present on essentially every row, and drives the census ceiling of 2026-07-26."
