column_name,plain,confidence,varies,author,written_on
_SOURCE_RUN_ID,"A label for the load run that brought this row in, usually a random ID but sometimes a name like manual-1785965790 or a file name. One table can hold many run IDs. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
_INGESTED_AT,"When this row was loaded into the warehouse. Usually a date and time, but some tables store a long number counting microseconds since 1970, and a few hold broken dates with impossible years like 56645445. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
STATE,"The state, usually as two letters like TX, but some tables spell out the name like Texas or United States. A few hold junk like active or a region name, and some leave it empty.",checked,no,claude-code,2026-09-23
_LOADED_AT,"When this row was loaded into the warehouse. Usually a date and time, but some tables store it as a long number counting microseconds since 1970. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
CITY,"The city or town name, in capitals or mixed case, with spellings not cleaned. Some rows hold fillers like UNKNOWN or TBD, and one table leaves it empty.",checked,no,claude-code,2026-09-23
_SRC_SHA256,"A fingerprint of the source file this row came from, used to spot a changed file. Some tables hold the placeholder ""streamed-see-source-zip"" or leave it empty. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
ZIP_CODE,"The ZIP code, stored as text, as 5 digits or 9 with or without a dash. Some rows hold junk like XXXXX or 00000 or a 4-digit code that lost its leading zero, and two tables leave it empty.",checked,no,claude-code,2026-09-23
EIN,"The organization's 9-digit federal tax ID number, stored as text. Some rows hold 000000000 as a filler or only 8 digits because a leading zero was lost, and several tables leave it empty.",checked,no,claude-code,2026-09-23
ID,,sampled,yes,claude-code,2026-09-23
LATITUDE,"How far north the place is, usually in decimal degrees. Some rows hold 0 or the word None instead of a real spot, the aviation table writes it like 481243N, and several tables leave it empty.",checked,no,claude-code,2026-09-23
LONGITUDE,"How far east or west the place is, usually in decimal degrees; U.S. places are negative. Some rows hold 0 or the word None instead of a real spot, the aviation table writes it like 0955859W, and several tables leave it empty.",checked,no,claude-code,2026-09-23
YEAR,"The year the row covers, like 2021. A few tables use a range like 2020-2022, and three tables leave it empty.",checked,no,claude-code,2026-09-23
NPI,"The doctor's or clinic's 10-digit National Provider Identifier, stored as text. Some tables leave it mostly blank or empty, and the SAM exclusions table uses 0000000000 as a filler.",checked,no,claude-code,2026-09-23
NAME,"The name of whatever the row is about: a person, company, bank, county, address or dataset, depending on the table. Spelling is not cleaned, fillers like UNNAMED or None show up, and one table leaves it empty.",checked,no,claude-code,2026-09-23
TITLE,,sampled,yes,claude-code,2026-09-23
ZIP,"The ZIP code, stored as text, as 5 digits or 9 with or without a dash. Fillers like 00000, UNKNO or a lone dash show up, some codes lost a leading zero like 8721, and three tables leave it empty.",checked,no,claude-code,2026-09-23
_SRC_FILE,"The name of the source file this row was read from, like 2___Plant_Y2024.xlsx. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
COUNTY,"The county, usually as a name like Harris, though some tables add the word County and the federal court tables use five-digit number codes, including 88888, which needs a lookup. The UK company table holds UK counties, and one table leaves it empty.",checked,no,claude-code,2026-09-23
UTILITY_NAME,"The name of the power company, utility or other plant operator, like Georgia Power Co or Walmart Stores. Some rows hold a filler like Adjustment 2024 instead of a real company.",checked,no,claude-code,2026-09-23
STATUS,,sampled,yes,claude-code,2026-09-23
RECORD_ID,,sampled,yes,claude-code,2026-09-23
COUNTRY,"The country, written different ways by table: a full name, a two- or three-letter code, or a number code that needs a lookup. Some rows hold a region like World or a UK nation like England, and two tables leave it empty.",checked,no,claude-code,2026-09-23
DESCRIPTION,,sampled,yes,claude-code,2026-09-23
DATA_YEAR,"The year the data covers, like 2024. One table runs into future years like 2032.",checked,no,claude-code,2026-09-23
STATE_NAME,"The state's full name, like Texas, in capitals in some tables. Territories like Guam show up, one table lists New York City as its own entry, and one table leaves it empty.",checked,no,claude-code,2026-09-23
FACILITY_NAME,"The name of the plant, site or building, as the agency wrote it. Generic fillers like RESIDENCE, UNKNOWN, WELL or HOME are common in some tables.",checked,no,claude-code,2026-09-23
STATE_CODE,"The state, as two letters like TX in some tables and as a number code like 48 or 06 in others, which needs a lookup and sometimes drops its leading zero. One table writes it like US_TX, and one leaves it empty.",checked,no,claude-code,2026-09-23
DATE_CREATED,"When the source created this record in its own database, not when the event happened.",checked,no,claude-code,2026-09-23
CCN,"The facility's 6-character Medicare certification number, stored as text; some hold letters, like 38T061. It is almost always blank in the three Open Payments tables.",checked,no,claude-code,2026-09-23
FIRST_NAME,The person's first name. Some tables write it in capitals.,checked,no,claude-code,2026-09-23
DATE_MODIFIED,When the source last changed this record in its own database.,checked,no,claude-code,2026-09-23
STATE_FIPS,"The state's number code, like 48 or 06, which needs a lookup. Several tables drop the leading zero so 6 means 06, some rows hold other codes like C1, TX, 00 or N/A, and three tables leave it empty.",checked,no,claude-code,2026-09-23
COUNTY_NAME,"The county name. Casing varies and some tables add County, Parish or the state, like Garza County, TX, so clean it before matching. One table uses Undetermined as a filler, and the rail casualty table leaves it mostly blank.",checked,no,claude-code,2026-09-23
LAST_NAME,The person's last name. Some tables write it in capitals.,checked,no,claude-code,2026-09-23
NAICS_CODE,"The industry code, usually six digits like 722110, which needs a lookup to read. Some tables hold shorter codes like 5416, the OSHA inspections table fills most rows with 000000, and one table leaves it empty.",checked,no,claude-code,2026-09-23
SOURCE_ID,"A short name for the source feed the row came from, like fed_cfpb_complaints. In the ITIS other-sources table it is a plain number instead, which needs a lookup.",checked,no,claude-code,2026-09-23
UPDATE_DATE,"When the source last updated this record. Mostly a date; some tables store date and time, one as text.",checked,no,claude-code,2026-09-23
ADDRESS_LINE_1,"The first line of the street address, like 13 STATION ROAD.",checked,no,claude-code,2026-09-23
CIK,"The company's SEC filer number. Some tables pad it to 10 digits with leading zeros and some do not, so strip zeros before matching.",checked,no,claude-code,2026-09-23
ACTIVITY_ID,"The ID number for one activity: an EPA inspection, violation or enforcement action, or one reported spending item in the Texas lobby tables.",checked,no,claude-code,2026-09-23
ADDRESS_LINE_2,"The second address line, often a suite or floor but sometimes a street or area name. Blank for many rows, one table leaves it empty, and two fill it with a lone dash.",checked,no,claude-code,2026-09-23
_SOURCE_URL,"The web address the data was downloaded from. Added by your pipeline, not the source.",checked,no,claude-code,2026-09-23
UTILITY_NUMBER,"The Energy Department's ID number for the utility. 99999 is a filler that lines up with the Adjustment rows, not a real utility.",checked,no,claude-code,2026-09-23
ADDRESS,"The full address in one line of text, messy and not split into parts. Some rows hold notes instead, like UNKNOWN, Incarcerated or Moved Out of State, and one table leaves it empty.",checked,no,claude-code,2026-09-23
GENDER,"The person's sex, written differently by table: Male or Female, M or F, m or f, or Male Owned for businesses. Some rows say Unknown or Unanswered, the clinical trials table mostly says ALL, and one table leaves it empty.",checked,no,claude-code,2026-09-23
PGM_SYS_ID,"The ID a specific EPA program uses for the facility, like a permit number. Formats differ by program.",checked,no,claude-code,2026-09-23
FIPS,"The county's five-digit number code, like 06037. One table holds two-digit state codes instead, and nine tables leave it empty.",checked,no,claude-code,2026-09-23
ORGANIZATION_NAME,"The name of the organization, like a charity, clinic, home health agency or government office. Some rows hold loose labels like Private Practice or Trust #1, and the judge positions table leaves it mostly blank.",checked,no,claude-code,2026-09-23
COMPANY_NAME,"The company's name as the source wrote it, so one company can show up several ways, like Wal-Mart Stores and Walmart Inc. One table leaves it empty.",checked,no,claude-code,2026-09-23
CODE,,sampled,yes,claude-code,2026-09-23
STREET_ADDRESS,"The street address, like 4201 IVAR AVE. Some rows hold fillers or directions instead, like TBD, LAT/LONG_USED, PORTABLE SOURCE or 5 MI NE OF.",checked,no,claude-code,2026-09-23
DISTRICT,,sampled,yes,claude-code,2026-09-23
BIOGUIDE,"The member of Congress's official ID, a letter and six digits like A000383.",checked,no,claude-code,2026-09-23
PARTY,,sampled,yes,claude-code,2026-09-23
DATE,,sampled,yes,claude-code,2026-09-23
RECIPIENT_NAME,"Who received the money, like a company, agency or candidate. In the federal assistance table many rows say REDACTED or MULTIPLE RECIPIENTS instead of a name.",checked,no,claude-code,2026-09-23
ENTITY,"The country or region name, like Albania or World.",checked,no,claude-code,2026-09-23
COUNTY_CODE,"The county's number code, written different ways: three digits like 001, sometimes without leading zeros like 3, five digits with the state like 11001, or state letters plus digits like FL095. One table uses name codes like US_SD_CLARK, and the rail casualty table leaves it mostly blank.",checked,no,claude-code,2026-09-23
PROVIDER_NAME,,sampled,yes,claude-code,2026-09-23
PERIOD,"The time span the row covers. The SEC tables write a statement end date like 20231231, while others use a quarter number, a year, TTM, or 12 month-ending.",checked,no,claude-code,2026-09-23
CONGRESS,"Which Congress, by number, like 118. Each Congress lasts two years.",checked,no,claude-code,2026-09-23
COUNTY_FIPS,"The county's five-digit number code, like 01001, stored as text. One table holds only the three-digit county part like 017, one holds N/A, and two leave it empty.",checked,no,claude-code,2026-09-23
STATE_ABBR,"The state, as two letters like TX. Territories like PR and GU show up, and one table leaves it empty.",checked,no,claude-code,2026-09-23
REGION,,sampled,yes,claude-code,2026-09-23
REGISTRY_ID,"The EPA's 12-digit master ID for a facility, starting with 110. Links one site across EPA programs.",checked,no,claude-code,2026-09-23
SOURCE,,sampled,yes,claude-code,2026-09-23
FILING_ID,"The ID of one filing or report. Some tables use long random-looking codes, others plain numbers.",checked,no,claude-code,2026-09-23
FILER_ID,"The ID of the person or group that filed the report, like a lobbyist or committee.",checked,no,claude-code,2026-09-23
REPORT_ID,The ID of one report or filing. One table holds N/A instead.,checked,no,claude-code,2026-09-23
FORM,"The SEC form type, like 10-K for an annual report or 10-Q for a quarterly one.",checked,no,claude-code,2026-09-23
SIC,"The company's four-digit industry code, like 7372 for software. Needs a lookup to read.",checked,no,claude-code,2026-09-23
ACCESSION_NUMBER,"The SEC's unique number for one filing, like 0001193125-24-036425. The Health Canada drug table reuses the name for its own short codes like P9864 and leaves it mostly blank.",checked,no,claude-code,2026-09-23
UTILITY_ID,The Energy Department's ID number for the utility.,checked,no,claude-code,2026-09-23
BA_CODE,"The short code for the grid operator that balances power in the area, like MISO or PJM.",checked,no,claude-code,2026-09-23
CITY_TOWN,The city or town name.,checked,no,claude-code,2026-09-23
TSN,"The species' ID number in the federal species list, ITIS. Links a plant or animal across the ITIS tables.",checked,no,claude-code,2026-09-23
INCORPORATION_DATE,"The date the company or organization was legally formed. The Irish registry uses 1901-01-01 as a stand-in date on hundreds of rows, and one small offshore-leaks table leaves it mostly blank.",checked,no,claude-code,2026-09-23
ORG_NAME,"The name of the organization, like a charity, campaign committee, university or pharmacy chain. In the drinking-water table it often holds a person's name instead, and two tables leave it mostly blank.",checked,no,claude-code,2026-09-23
PLANT_NAME,The name of the power plant.,checked,no,claude-code,2026-09-23
CATEGORY,,sampled,yes,claude-code,2026-09-23
NPDES_ID,"The EPA water-pollution permit number for the site: two state letters then seven characters, like TX0026433.",checked,no,claude-code,2026-09-23
CYCLE,"The two-year election cycle, named by its end year, like 2026.",checked,no,claude-code,2026-09-23
CAND_ID,"The Federal Election Commission's ID for the candidate. The first letter says the race: H for House, S for Senate, P for President.",checked,no,claude-code,2026-09-23
ADSH,"The SEC's unique number for the filing, like 0001628280-24-043777. Use it to join the SEC financial tables.",checked,no,claude-code,2026-09-23
