db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_RAW,LANDING,FED_NOAA_AIS,58106517,1510587392,22,1,0,date_col|lat|lon|origin|severity
LIBRARY_MARTS,MARITIME,MARITIME__FED_NOAA_AIS,58104610,2474664448,27,10,4,date_col|geom|lat|lon|name_id|origin|severity
LIBRARY_RAW,LANDING,FED_FRACFOCUS_REGISTRY,7200550,350304768,34,0,0,count_meas|date_col|lat|lon|origin|outcome|rate_meas|seq_order
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,7200550,480380928,35,8,2,count_meas|county|date_col|lat|lon|name_id|origin|outcome|rate_meas|seq_order|state
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USGS_WATER,6694816,43189248,15,3,0,count_meas|county|date_col|lat|lon|name_id|severity|state
LIBRARY_RAW,LANDING,FED_USGS_WATER,6694816,29176320,18,1,0,count_meas|county|date_col|lat|lon|name_id|origin|severity|state
LIBRARY_MARTS,_RESTORE_20260731,UNCATEGORIZED__FED_EPA_FRS_FULL,5300149,329713152,34,5,2,address|city|count_meas|country|county|date_col|entity_id|fips|lat|lon|name_id|origin|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,FED_EPA_FRS_FULL,5300149,342178304,37,0,1,address|city|count_meas|country|county|date_col|entity_id|fips|lat|lon|name_id|origin|seq_order|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,5300149,316558848,26,2,3,address|city|count_meas|county|date_col|entity_id|fips|flag_bool|lat|lon|name_id|origin|severity|state|zip
LIBRARY_RAW,LANDING,FED_EPA_ECHO,3157891,429934592,136,1,0,address|amount|city|count_meas|county|date_col|entity_id|fips|flag_bool|lat|lon|naics_sic|name_id|origin|outcome|rate_meas|seq_order|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,3135554,172973568,42,15,3,address|amount|city|count_meas|county|date_col|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_FDIC_SOD_BRANCH_DEPOSITS,2823000,276342784,84,0,0,address|amount|city|date_col|entity_id|fips|lat|lon|origin|severity|zip
