subject,tier,title,question,why_it_matters,tables,joins_on,visual,notes
HEALTH,crawl,"Pills shipped per county, the DEA ledger","Which counties received the most opioid doses per resident, and in which years?",The reader sees their own county on a map of the flood.,HEALTH__FED_DEA_ARCOS,single table,map,178M rows. Buyer address gives county. Morphine-equivalent column already there.
HEALTH,crawl,"Overdose deaths month by month, state by state",Which states' overdose deaths kept climbing after the national peak?,The national curve hides states still getting worse.,HEALTH__FED_CDC_OVERDOSE,single table,timeline,Has a reporting-completeness column. Show it as a shaded band.
HEALTH,crawl,"Overdose death rate by county, year by year",Where did the overdose wave start and where did it spread?,An animated map turns a statistic into a movement.,HEALTH__FED_CDC_DRUG_POISONING_COUNTY,single table,map,"Rates are given as ranges, not points. Plot the midpoint and say so."
HEALTH,crawl,Meals priced just under $125,Which drug companies' meal payments bunch right under the reporting line?,Pattern that looks like someone gaming a rule.,HEALTH__PHARMA_MEAL_CAP_FINGERPRINT,single table,other,Already-built table. A histogram with a spike at $124 is the whole chart.
HEALTH,crawl,Who pays doctors the most,"Which companies paid the most money to doctors, and for what?",The names are household brands.,HEALTH__FED_CMS_OPEN_PAYMENTS,single table,ranking,15M rows. Also a by-manufacturer rollup in PUBLIC.
HEALTH,crawl,Nursing home star ratings by owner type,Do for-profit and chain-owned homes score worse than nonprofit ones?,Families pick homes by stars and never see who owns them.,HEALTH__FED_CMS_NURSING_HOME,single table,other,Ownership and chain columns in the same row as stars and fines.
HEALTH,crawl,Private equity in home health,"What share of home health agencies have a private-equity or REIT owner, by state?",A quiet takeover of care for the elderly.,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,single table,map,"Entity-type column names PE, LLC, nonprofit, REIT outright."
HEALTH,crawl,Nonprofit hospital executive pay,"Which nonprofit hospital officers earn the most, and how does pay compare to hospital revenue?",Charity status next to seven-figure salaries.,HEALTH__HOSPITAL_OFFICER_PAY,single table,ranking,Built from 990 filings. Hours-worked column lets you compute pay per hour.
HEALTH,crawl,Hospital profit margin against charity care,Do the most profitable hospitals give the least charity care?,The scatter answers a question people argue about.,HEALTH__FED_CMS_HCRIS,single table,other,"One row per hospital per fiscal year, so it can animate."
HEALTH,crawl,Dialysis clinic death rates by owner,Do dialysis chains have higher patient death rates than independents?,Two companies run most of the country's dialysis.,HEALTH__FED_CMS_DIALYSIS,single table,ranking,"Death rate, readmission, infection, transplant waitlist all in one row."
HEALTH,crawl,Medical device recalls over time,"Which device makers recall the most, and are serious recalls rising?",Implants and pumps people carry in their bodies.,HEALTH__FED_FDA_DEVICE_ENFORCEMENT,single table,timeline,Recall class column gives severity.
HEALTH,crawl,Device injury reports by maker,Which devices show up most in injury and death reports since 2020?,The raw report count is a shock on its own.,HEALTH__FED_FDA_MAUDE,single table,ranking,2020 onward only.
HEALTH,crawl,Drug side-effect reports that ended in death,"Which reported outcomes dominate, and how did the report count grow by year?",Millions of reports nobody reads.,HEALTH__FED_FDA_FAERS_OUTC|HEALTH__FED_FDA_FAERS_DEMO|HEALTH__FED_FDA_FAERS_INDI,"stack, same shape",timeline,Three tables share a report ID but that key is not in the join catalog. Treat each as single until proven.
HEALTH,crawl,"Clinical trials: who sponsors, where they run","Which sponsors run the most trials, and which countries host them?",A world map of where medicine gets tested.,HEALTH__FED_CLINICALTRIALS,single table,map,600K trials. Phase and status columns give a funnel too.
HEALTH,crawl,"Measles week by week, 2024","Which states drove the 2024 measles count, week by week?",A disease that was gone coming back on a chart.,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,single table,timeline,1.9M rows across all reportable diseases. Pick one disease per chart.
HEALTH,crawl,"Leading causes of death by state, 1999 to 2017",Which cause of death rose fastest in each state?,"Small multiples, one per state, tell fifty stories.",HEALTH__FED_CDC_LEADING_CAUSES_STATE,single table,timeline,Has national total rows. Filter them out or they dominate.
