id,where_it_stands,question,n_tables,all_live,tables_with_live_rows,live_rows_total
1,part done,Are doctors banned from Medicare still showing up on hospice paperwork?,4,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193) | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS (6,066) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS (14,425)",2364500
2,found something,"Which nursing home owners get fined the most per home, and does it repeat?",3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180)",449372
3,nothing there,Do banks that lend money also own the polluting sites?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF (5,399) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK (5,300,149)",5305548
4,found something,Do addiction doctors get paid more by drugmakers when they prescribe more?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS (1,558) | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG (25,869,521) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022 (13,306,564)",39177643
5,part done,Do people get worse loan terms right after a hurricane or flood?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920) | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC (44,992,667)",71243587
6,part done,Do dialysis chains that dominate a rural area have worse patient outcomes?,5,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_DIALYSIS (7,557) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES (12,456,456) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE (503,917) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",30613170
7,found something,Are banned doctors working at clinics serving poor neighborhoods?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES (19,038) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS (57,101) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816)",159955
8,part done,"When a county's jail population spikes, does drug overdose rise later?",3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS (165,531) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY (53,387)",347425
9,part done,Do the biggest polluters also pay their workers the least?,3,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY (136,005) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",3887442
10,part done,Are the suppliers who bill the most also getting kickback-like payments?,1,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER (381,228)",381228
11,part done,Do money-losing hospitals still have doctors taking big drug company payments?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 (14,700,786)",17041056
12,part done,Do hospitals with financial trouble also have padded ventilator equipment billing?,4,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_LTCH (311) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",17689980
13,same as another,Do owners re-register the business right after getting fire-safety fines?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES (200,030) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS (14,425)",214455
14,nothing there,Are clinics claiming to be 'rural' actually sitting in cities?,1,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS (5,530)",5530
15,found something,Are banned companies still getting paid on disaster relief contracts?,2,Y,"LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",93321752
16,nothing there,Are any of them on the federal fraud exclusion list?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM (1,037) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816)",84853
17,missing a piece,Same as #3 but through a different bank record,2,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA (27,836) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK (5,300,149)",5327985
18,part done,Do they order more of that device at the hospital they work for?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE (116,182)",15501229
19,nothing there,Do the ones taking industry payments still get top bonuses?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE (503,917) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS (1,416,883)",1920800
20,found a little,"Are the same people running both, and is that a conflict?",1,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193)",2260193
21,part done,Do hospital employees get paid less than the local average wage?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437)",3699514
22,found something,Do those same neighborhoods have more toxic factories today?,4,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY (64,990) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023 (78,647) | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY (10,154) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",285791
23,found something,How much money did banned suppliers still collect?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL (440,670)",524486
24,not started,"Nothing to compare yet, program just started",1,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS (6,637)",6637
25,found a little,Are centers whose local site shut down still collecting Medicare money as if open?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS (11,063) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS (165,531)",221023
26,part done,Does housing sit empty after a big storm instead of getting rebuilt?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS (1,780,730) | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS (13,550)",1794280
27,found something,Are any of them already banned for past fraud?,4,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS (7,240) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS (6,880) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193)",2358129
28,part done,Do homes exaggerate patient sickness to get paid more?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY (31,403,215) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479)",31836407
29,part done,Do hospitals near the most toxic sites fail financially more often?,3,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY (64,990) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429)",189496
30,found something,"Do new owners appear right after a home gets penalized, like a shell game?",2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS (14,425) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180)",30605
31,found a little,Do hospital-owned home health agencies perform worse but cost more?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS (9,175) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS (11,508) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH (12,392)",33075
