table,happened_col,downstream_role,downstream_col,unit,n_rows,n_periods,median_lag,early_lag,late_lag,pct_reported_within_year,early_prompt_rate,late_prompt_rate,prompt_rate_shift,tail_buffer_years,completed_cases_only,pct_negative,pct_unreported,pct_slow,clocks_reversed,retroactive_archive,n_cohorts_comparable,strangeness,notes
FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC,CAND_ELECTION_YR,reported,FEC_ELECTION_YR,years,8618,42,0.0,42.0,-82.0,0.5306,0.0,1.0,1.0,2,True,0.0326,0.0,0.476,False,False,10,1.0,"3.3% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year rose from 0% to 100% (cohorts up to 2104, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 48% took more than a year to appear"
FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE,CAND_ELECTION_YR,reported,FEC_ELECTION_YR,years,30530,48,0.0,36.0,-84.0,0.587,0.0,1.0,1.0,4,True,0.0545,0.0,0.4144,False,False,17,1.0,"5.4% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year rose from 0% to 100% (cohorts up to 2102, waiting out a 4-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 41% took more than a year to appear"
TRANSPORT.TRANSPORT__FED_FAA_REGISTRY,YEAR_MFR,decided,LAST_ACTION_DATE,years,246006,115,-9.0,60.0,-55.0,0.6667,0.0,1.0,1.0,10,True,0.6808,0.0,0.2925,False,False,89,1.0,"68.1% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year rose from 0% to 100% (cohorts up to 2016, waiting out a 10-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 29% took more than a year to appear"
ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,EVENT_ACTUAL_DATE,reported,FIRST_REPORTED_DATE,days,394075,43,99.0,4536.9453125,-3017.0,0.7466,0.0,1.0,1.0,2,True,0.2541,0.0,0.2534,False,False,37,1.0,"25.4% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year rose from 0% to 100% (cohorts up to 2097, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 25% took more than a year to appear"
HEALTH.HEALTH__FED_FDA_FAERS_DEMO,EVENT_DT,reported,FDA_DT,days,4778271,99,1084.723316912972,36554.0,-32634.0,0.7705,0.0,0.9003,0.9,4,False,0.0003,0.848,0.2299,False,False,24,0.9,"85% never got a reported date at all; share reported within a year rose from 0% to 90% (cohorts up to 2098, waiting out a 4-year tail)"
ENVIRONMENT.ENVIRONMENT__EPA_PENALTY_GAP,DATE_LAST_INSPECTION,decided,DATE_LAST_FORMAL_ACTION,days,52494,46,-1083.3999999999999,14517.0,-1561.4285714285713,0.6885,0.297,0.8128,0.516,2,False,0.6969,0.5362,0.1831,False,True,23,0.871,"69.7% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; 54% never got a reported date at all; share reported within a year rose from 30% to 81% (cohorts up to 2024, waiting out a 2-year tail); assembled retroactively: the earliest records were entered ~14517 days after the fact, recent ones ~1561 -- that is the archive being built, not reporting speeding up"
ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO,DATE_LAST_INSPECTION,decided,DATE_LAST_FORMAL_ACTION,days,565447,57,-648.0,19269.0,-2721.307619047618,0.6879,0.4138,0.7434,0.33,5,False,0.6607,0.8046,0.195,False,True,39,0.826,"66.1% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; 80% never got a reported date at all; share reported within a year rose from 41% to 74% (cohorts up to 2021, waiting out a 5-year tail); assembled retroactively: the earliest records were entered ~19269 days after the fact, recent ones ~2721 -- that is the archive being built, not reporting speeding up"
SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,AWARD_YEAR,reported,SOLICITATION_YEAR,years,219503,44,-1.0,,-1.0,0.9988,0.9994,1.0,0.001,2,False,0.526,0.3934,0.0012,False,False,21,0.657,"52.6% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed"
HEALTH.HEALTH__FED_CMS_POS_OTHER,CHOW_DT,decided,CRTFCTN_DT,days,4757,49,603.0,2372.0,-975.0,0.5188,0.8307,0.434,0.397,10,True,0.4997,0.0,0.4555,False,False,24,0.625,"50.0% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year fell from 83% to 43% (cohorts up to 2016, waiting out a 10-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 46% took more than a year to appear"
HEALTH.HEALTH__XC_GUTTMACHER_MONTHLY_ABORTION,MONTH,reported,PUBLISHDATE,days,2040,4,,,,,,,0.0,2,False,0.0,1.0,0.0,False,False,0,0.6,100% never got a reported date at all
