key	a	b	a_ids	shared	pct_of_a	works
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	263187	263187	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	263187	263187	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	9716	9716	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	9716	9716	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	9716	9716	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	336124	336124	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	6028	6028	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	7675	7675	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	6699	6699	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	6491	6491	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	649583	649583	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	649583	649583	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	1354644	1354644	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	1354644	1354644	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	1772088	1772088	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	1772088	1772088	100.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	344109	336124	97.68	True
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	200	182	91.0	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	336124	263187	78.3	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	344109	263187	76.48	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	1772088	1354644	76.44	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	1772088	1354644	76.44	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	649583	381111	58.67	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	1772088	649583	36.66	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	1772088	649583	36.66	True
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	1354644	381111	28.13	True
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	48984	10413	21.26	True
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	48984	10413	21.26	True
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	48984	8756	17.88	True
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	55635	7675	13.8	True
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	55635	6699	12.04	True
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	55635	6491	11.67	True
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	55635	6028	10.83	True
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	48984	4287	8.75	True
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	263187	9716	3.69	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	336124	9716	2.89	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	344109	9716	2.82	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS.ACCESSION_NUMBER	48984	682	1.39	False
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	69259	682	0.98	False
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	649583	4287	0.66	False
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	1354644	8756	0.65	False
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	1772088	10413	0.59	False
ACCESSION	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	1772088	10413	0.59	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	200	1	0.5	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	200	1	0.5	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	200	1	0.5	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	200	1	0.5	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	200	1	0.5	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6169	26	0.42	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6304	25	0.4	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6491	25	0.39	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6231	24	0.39	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6028	23	0.38	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	48984	182	0.37	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	48984	179	0.37	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6541	23	0.35	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	6699	22	0.33	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	7009	23	0.33	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	48984	155	0.32	False
ACCESSION	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	55635	179	0.32	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	48984	150	0.31	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	48984	144	0.29	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	7675	22	0.29	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	9716	13	0.13	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	48984	23	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	48984	25	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	48984	24	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	48984	23	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	48984	23	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	48984	25	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	48984	26	0.05	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	344109	155	0.05	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	263187	144	0.05	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	48984	22	0.04	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	48984	22	0.04	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	336124	150	0.04	False
ACCESSION	ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	48984	13	0.03	False
ACCESSION	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	6169	1	0.02	False
