-- S01 Leiden Russian ops: every row (150), to read and tally locally
INCIDENTYEAR | INCIDENTMONTH | INCIDENTDATERANGE | INCIDENTDATESTART | INCIDENTDATEEND | WHAT | C_WHERE | EVENTCATEGORY | EVENTCATEGORY2 | APPARENTGOAL1 | APPARENTGOAL2 | TARGETTYPE | TARGETTYPE2 | DISPOSABLEAGENTSINVOLVED | FOR_DISCUSSION | NOTE
2022 | January | Yes | 2022-01-01 00:00:00 | 2022-12-31 00:00:00 | Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic | North Sea; Baltic Sea | Reconnaissance | Does not apply | Preparation for potential sabotage | Does not apply | Energy / communications infrastructure | Does not apply |  | No | Ongoing for years.
2022 | March | Yes | 2022-03-01 00:00:00 | 2022-08-30 00:00:00 | Following Ru invasion, Marsalek-led Bulgarian spyring began a disinfo operation in Austria and Germany with stickers and graffiti. | Austria; Germany | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | Yes | No | One of several operations conducted by the Bulgarian spy ring that was arrested in the UK in early 2023. Start and end-date not certain, but began shortly after invasion of Ukraine and seem to have en
2022 | April | No | DNA | DNA | Spraypainting 'KILLNET HACKED YOU' on Cyber Defence Centre, Tallinn | Estonia | Vandalism | Does not apply | Disrupt daily life | Does not apply | Military / weapons production infrastructure | Does not apply |  | No | 
2022 | April | No | DNA | DNA | Pro-Russian rallies / protest / vehicle parades in various European cities. Various experts suggest likely (partly) result of top-down pressure on Russian expats. | Germany; Greece; Ireland; Cyprus | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | Unknown | No | 
2022 | May | No | DNA | DNA | Spionage of Lielvarde military airfield, near Rembate, Latvia | Latvia | Reconnaissance | Does not apply | Preparation for potential sabotage | Does not apply | Military / weapons production infrastructure | Does not apply |  | No | 
2022 | May | Yes | 2022-05-01 00:00:00 | 2022-12-31 00:00:00 | Operation Doppelganger: Russian influence campaign that used faked websites (e.g., Der Spiegel, WaPo) to undermine Western support for Ukraine. Social Design Agency. Part of 'Comprehensive Counter Cam | Germany; France; United Kingdom; Italy; United States; Ukraine; Latvia; Poland; The Netherlands | Influence operation | Does not apply | Compromise domestic / EU politics | Does not apply | Internet / Social media / News | Does not apply |  | No | See also: https://mpf.se/psychological-defence-agency/publications/archive/2025-05-15-beyond-operation-doppelganger-a-capability-assessment-of-the-social-design-agency
2022 | June | Yes | 2022-06-01 00:00:00 | 2022-12-31 00:00:00 | Children of war campaign (Kinder des Krieges). Kremlin-backed and AFD supported campaign to sway public opinion against supporting Ukraine. | Germany | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | No | No | 
2022 | July | No | DNA | DNA | Arms factory fire / explosion in Karnobat, Bulgaria 2022 | Bulgaria | Sabotage | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Military / weapons production infrastructure | Does not apply |  | No | 
2022 | September | Yes | 2022-09-01 00:00:00 | 2022-12-31 00:00:00 | Building (far) left & (far) right-wing anti-war coaltion in Germany (Wagenknecht / AfD) | Germany | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Compromise domestic / EU politics | Politician(s) | Does not apply |  | No | 
2022 | September | Yes | 2022-09-01 00:00:00 | 2022-10-31 00:00:00 | Russian nationals flying drones over Norwegian airports, energy infrastructure, photographing | Norway | Reconnaissance | Disruption | Preparation for potential sabotage | Disrupt (civil) aviation | Energy / communications infrastructure | Civil aviation |  | No | 
2022 | October | Yes | 2022-10-01 00:00:00 | 2022-12-31 00:00:00 | Plot to use IMSI catchers to identify and locate Ukrainian soldiers training to operate Patriot missile batteries, to use as targeting information. Base being targeted was Patch Barracks near Stuttgar | United Kingdom; Germany | Reconnaissance | Does not apply | Preparation for potential sabotage | Does not apply | Military / weapons production infrastructure | Does not apply | Yes | No | Plot carried on until early 2023 but recorded in 2022 to avoid double-counting. One of several operations conducted by the Bulgarian spy ring that was arrested in the UK in early 2023.
2022 | November | Yes | 2022-11-01 00:00:00 | 2022-12-31 00:00:00 | Six letter bombs sent to targets in Spain in Nov & Dec. Targeted Prime Minister, US & UKR embassies, defence ministry, arms manufacturer. Russian Imperial Movement suspected, acting on behalf of Ru in | Spain | Terrorism | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Politician(s) / Official(s) | Military / weapons production infrastructure | No | No | Goal seems to be to signal intent / capability. But that could be argued for all of these operations. Going with undermining support for Ukraine as overarching motivation.
2022 | December | No | DNA | DNA | Russian agents provocateur use two demonstrations in Paris to spread anti-Ukrainian propaganda. Presenting a protest about something else entirely as being against Western support for Ukraine. | France | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | Unknown | No | Grouped these demonstrations by country / year. Not listing each demonstration individually.
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-12-31 00:00:00 | Building (far) left & (far) right-wing anti-war coaltion in Germany (Wagenknecht / AfD) | Germany | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Compromise domestic / EU politics | Politician(s) | Does not apply |  | No | 
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-04-30 00:00:00 | Russian agents provocateur use demonstrations across Europe to spread anti-Ukrainian propaganda. Presenting a protest about something else entirely as being against Western support for Ukraine. | The Netherlands; Belgium; France; Spain | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | Unknown | No | 
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-12-31 00:00:00 | Operation Doppelganger: Russian influence campaign that used faked websites (e.g., Der Spiegel, WaPo) to undermine Western support for Ukraine. Social Design Agency. Part of 'Comprehensive Counter Cam | Germany; France; United Kingdom; Italy; United States; Ukraine; Latvia; Poland; The Netherlands | Influence operation | Does not apply | Compromise domestic / EU politics | Does not apply | Internet / Social media / News | Does not apply |  | No | See also: https://mpf.se/psychological-defence-agency/publications/archive/2025-05-15-beyond-operation-doppelganger-a-capability-assessment-of-the-social-design-agency
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-12-31 00:00:00 | Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic | North Sea; Baltic Sea | Reconnaissance | Does not apply | Preparation for potential sabotage | Does not apply | Energy / communications infrastructure | Does not apply |  | No | Ongoing for years.
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-12-31 00:00:00 | Monthly 'Peace demonstations' on the Dam in Amsterdam. Monthly since approximately the Russian invasion of Ukraine in 2022. Organized by Dutch peace activists, but supported & financed by Russian orga | The Netherlands | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | No | No | Appear to have begun in 2023 and to be ongoing in 2025. See: https://kyivindependent.com/who-is-behind-pro-russian-stop-zelensky-demonstrations-in-europe/
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-12-31 00:00:00 | Children of war campaign (Kinder des Krieges). Kremlin-backed and AFD supported campaign to sway public opinion against supporting Ukraine. | Germany | Influence operation | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply | No | No | 
