source_id,current_tier,detected_tier,detected_keys
FED_FAC_SINGLE_AUDIT,STEEL,NONE,
FED_FEC_CANDIDATES,STEEL,NONE,
FED_FEC_CAND_CMTE_LINKAGE,STEEL,NONE,
FED_FEC_COMMITTEES,STEEL,NONE,
FED_FEC_PAC_SUMMARY,STEEL,NONE,
FED_NHTSA_COMPLAINTS,STEEL,NONE,
FED_NHTSA_INVESTIGATIONS,STEEL,NONE,
FED_NHTSA_RECALLS,STEEL,NONE,
INT_GLEIF_RR,STEEL,NONE,
INT_UK_COMPANIES_HOUSE,STEEL,NONE,
fed_bia_tribal_geo,GEO,NONE,
fed_bjs_data,GEO,NONE,
fed_bop_statistics,PROBABILISTIC,NONE,
fed_cbp_encounters,GEO,NONE,
fed_cdc_nndss_weekly_2024,STEEL,NONE,
fed_cdc_suicide_rates,PROBABILISTIC,NONE,
fed_cftc_cot_financial,STEEL,NONE,
fed_cftc_cot_futures,STEEL,NONE,
fed_cisa_kev,PROBABILISTIC,NONE,
fed_clinicaltrials,STEEL,NONE,
fed_cms_main,STEEL,NONE,
fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,STEEL,NONE,
fed_cms_medicare_durable_medical_equipment_devices_supplies_by_suppl,STEEL,NONE,
fed_cms_medicare_inpatient_hospitals_by_provider,STEEL,NONE,
fed_cms_medicare_inpatient_hospitals_by_provider_and_service,STEEL,NONE,
fed_cms_medicare_outpatient_hospitals_by_provider_and_service,STEEL,NONE,
fed_cms_nadac,STEEL,NONE,
fed_cms_nursing_home,STEEL,GEO,STATE;ZIP
fed_cms_nursing_home_deficiencies,STEEL,GEO,STATE;ZIP
fed_cms_nursing_home_fire_deficiencies,STEEL,GEO,STATE;ZIP
fed_cms_nursing_home_penalties,STEEL,GEO,STATE;ZIP
fed_courtlistener_financial_disclosures,STEEL,NONE,
fed_courtlistener_investments,STEEL,NONE,
fed_courtlistener_judges,GEO,NONE,
fed_courtlistener_positions,STEEL,NONE,
fed_cpsc_neiss,STEEL,NONE,
fed_cpsc_neiss_codes,STEEL,NONE,
fed_densho_ddr,GEO,NONE,
fed_dhs_ohss,PROBABILISTIC,NONE,
fed_dhs_yearbook,GEO,NONE,
fed_doj_fca_settlements,STEEL,NONE,
fed_dol_form5500,STEEL,NONE,
fed_dol_oflc,STRONG,NONE,
fed_dot_bts,PROBABILISTIC,NONE,
fed_ed_edfacts,PROBABILISTIC,NONE,
fed_epa_egrid_plant_2022,GEO,NONE,
